date,browser,visits
2024-01-04,Chrome,454914
2024-01-04,Safari,182961
2024-01-04,Edge,54165
2024-01-04,Firefox,27669
2024-01-04,Safari (in-app),25682
2024-01-04,Android Webview,21597
2024-01-04,Samsung Internet,11467
2024-01-04,Opera,3922
2024-01-04,Mozilla Compatible Agent,2088
2024-01-04,Amazon Silk,1010
2024-01-04,YaBrowser,1005
2024-01-04,Internet Explorer,401
2024-01-04,Opera Mini,393
2024-01-04,(not set),373
2024-01-04,Whale Browser,210
2024-01-04,UC Browser,154
2024-01-04,Android Runtime,133
2024-01-04,Mozilla,106
2024-01-04,Coc Coc,91
2024-01-04,PaleMoon,34
2024-01-04,SeaMonkey,33
2024-01-04,Android Browser,30
2024-01-04,Meta Quest Browser,28
2024-01-04,Puffin,25
2024-01-04,Aloha Browser,17
2024-01-04,Seznam,15
2024-01-04,DuckDuckGo Browser,9
2024-01-04,Waterfox,8
2024-01-04,BlackBerry,7
2024-01-04,BrowserNG,2
2024-01-04,Maxthon,2
2024-01-04,Nintendo Browser,2
2024-01-04,Nokia Browser,2
2024-01-04,Iron,1
2024-01-04,Lynx,1
2024-01-04,Netscape,1
2024-01-04,Phoenix Browser,1
2024-01-03,Chrome,424874
2024-01-03,Safari,173207
2024-01-03,Edge,50746
2024-01-03,Firefox,27355
2024-01-03,Safari (in-app),15626
2024-01-03,Android Webview,14360
2024-01-03,Samsung Internet,10863
2024-01-03,Opera,3960
2024-01-03,Mozilla Compatible Agent,2060
2024-01-03,Amazon Silk,1025
2024-01-03,YaBrowser,1011
2024-01-03,Opera Mini,405
2024-01-03,(not set),343
2024-01-03,Internet Explorer,295
2024-01-03,Whale Browser,217
2024-01-03,UC Browser,148
2024-01-03,Android Runtime,113
2024-01-03,Mozilla,100
2024-01-03,Coc Coc,93
2024-01-03,SeaMonkey,47
2024-01-03,PaleMoon,38
2024-01-03,Android Browser,34
2024-01-03,Puffin,21
2024-01-03,Meta Quest Browser,14
2024-01-03,Aloha Browser,11
2024-01-03,DuckDuckGo Browser,9
2024-01-03,Seznam,9
2024-01-03,Waterfox,7
2024-01-03,BlackBerry,4
2024-01-03,Phoenix Browser,3
2024-01-03,Maxthon,2
2024-01-03,Lynx,1
2024-01-03,Netscape,1
2024-01-03,Nintendo Browser,1
2024-01-03,Playstation 4,1
2024-01-02,Chrome,425376
2024-01-02,Safari,184036
2024-01-02,Edge,48442
2024-01-02,Firefox,27076
2024-01-02,Safari (in-app),13912
2024-01-02,Android Webview,12841
2024-01-02,Samsung Internet,11797
2024-01-02,Opera,4010
2024-01-02,Mozilla Compatible Agent,1876
2024-01-02,YaBrowser,1099
2024-01-02,Amazon Silk,1083
2024-01-02,Opera Mini,367
2024-01-02,(not set),322
2024-01-02,Internet Explorer,236
2024-01-02,Whale Browser,207
2024-01-02,Android Runtime,147
2024-01-02,UC Browser,141
2024-01-02,Mozilla,113
2024-01-02,Coc Coc,89
2024-01-02,SeaMonkey,52
2024-01-02,PaleMoon,36
2024-01-02,Meta Quest Browser,29
2024-01-02,Aloha Browser,25
2024-01-02,Puffin,25
2024-01-02,Android Browser,18
2024-01-02,Waterfox,10
2024-01-02,DuckDuckGo Browser,8
2024-01-02,Seznam,6
2024-01-02,BlackBerry,3
2024-01-02,Konqueror,2
2024-01-02,Vivaldi,2
2024-01-02,IE with Chrome Frame,1
2024-01-02,Iron,1
2024-01-02,Lunascape,1
2024-01-02,Lynx,1
2024-01-02,Maxthon,1
2024-01-02,Netscape,1
2024-01-02,Phoenix Browser,1
2024-01-01,Chrome,393284
2024-01-01,Safari,196144
2024-01-01,Edge,27708
2024-01-01,Firefox,20224
2024-01-01,Safari (in-app),15013
2024-01-01,Samsung Internet,14916
2024-01-01,Android Webview,13643
2024-01-01,Opera,3378
2024-01-01,Mozilla Compatible Agent,1431
2024-01-01,Amazon Silk,1274
2024-01-01,YaBrowser,926
2024-01-01,(not set),381
2024-01-01,Opera Mini,355
2024-01-01,Whale Browser,220
2024-01-01,UC Browser,127
2024-01-01,Internet Explorer,93
2024-01-01,Android Runtime,90
2024-01-01,Mozilla,84
2024-01-01,Coc Coc,82
2024-01-01,PaleMoon,36
2024-01-01,SeaMonkey,34
2024-01-01,Android Browser,26
2024-01-01,Meta Quest Browser,26
2024-01-01,Puffin,23
2024-01-01,Aloha Browser,22
2024-01-01,Seznam,19
2024-01-01,Waterfox,12
2024-01-01,DuckDuckGo Browser,10
2024-01-01,Phoenix Browser,4
2024-01-01,Nokia Browser,3
2024-01-01,BlackBerry,2
2024-01-01,Maxthon,2
2024-01-01,Netscape,2
2024-01-01,Nintendo Browser,2
2024-01-01,Iron,1
2024-01-01,Konqueror,1
2024-01-01,Playstation 4,1
2024-01-01,YE,1
2023-12-31,Chrome,343382
2023-12-31,Safari,194491
2023-12-31,Edge,24055
2023-12-31,Safari (in-app),22242
2023-12-31,Android Webview,20259
2023-12-31,Firefox,18431
2023-12-31,Samsung Internet,15282
2023-12-31,Opera,3557
2023-12-31,Mozilla Compatible Agent,1642
2023-12-31,Amazon Silk,1160
2023-12-31,YaBrowser,756
2023-12-31,(not set),439
2023-12-31,Opera Mini,405
2023-12-31,Whale Browser,167
2023-12-31,UC Browser,153
2023-12-31,Internet Explorer,89
2023-12-31,Mozilla,81
2023-12-31,Coc Coc,65
2023-12-31,Android Runtime,57
2023-12-31,PaleMoon,45
2023-12-31,SeaMonkey,38
2023-12-31,Puffin,28
2023-12-31,Waterfox,21
2023-12-31,Meta Quest Browser,20
2023-12-31,Android Browser,18
2023-12-31,Aloha Browser,14
2023-12-31,Seznam,10
2023-12-31,DuckDuckGo Browser,9
2023-12-31,Phoenix Browser,7
2023-12-31,BlackBerry,4
2023-12-31,Maxthon,4
2023-12-31,Galeon,1
2023-12-31,Iron,1
2023-12-31,Netscape,1
2023-12-30,Chrome,308287
2023-12-30,Safari,182616
2023-12-30,Edge,25439
2023-12-30,Firefox,18888
2023-12-30,Safari (in-app),16782
2023-12-30,Android Webview,15789
2023-12-30,Samsung Internet,12795
2023-12-30,Opera,3548
2023-12-30,Mozilla Compatible Agent,1842
2023-12-30,Amazon Silk,1107
2023-12-30,YaBrowser,848
2023-12-30,Opera Mini,374
2023-12-30,(not set),283
2023-12-30,Whale Browser,196
2023-12-30,UC Browser,147
2023-12-30,Coc Coc,101
2023-12-30,Internet Explorer,79
2023-12-30,Mozilla,78
2023-12-30,Android Runtime,65
2023-12-30,PaleMoon,44
2023-12-30,Puffin,30
2023-12-30,Android Browser,29
2023-12-30,SeaMonkey,29
2023-12-30,Meta Quest Browser,26
2023-12-30,Aloha Browser,21
2023-12-30,Waterfox,13
2023-12-30,Seznam,9
2023-12-30,Netscape,3
2023-12-30,BlackBerry,2
2023-12-30,DuckDuckGo Browser,2
2023-12-30,IE with Chrome Frame,1
2023-12-30,Konqueror,1
2023-12-30,Lynx,1
2023-12-30,Maxthon,1
2023-12-30,NetFront,1
2023-12-30,Phoenix Browser,1
2023-12-29,Chrome,322106
2023-12-29,Safari,182812
2023-12-29,Edge,31824
2023-12-29,Firefox,20611
2023-12-29,Safari (in-app),18424
2023-12-29,Android Webview,16957
2023-12-29,Samsung Internet,12789
2023-12-29,Opera,3281
2023-12-29,Mozilla Compatible Agent,1612
2023-12-29,Amazon Silk,1004
2023-12-29,YaBrowser,955
2023-12-29,(not set),581
2023-12-29,Opera Mini,361
2023-12-29,Whale Browser,290
2023-12-29,UC Browser,157
2023-12-29,Internet Explorer,149
2023-12-29,Android Browser,93
2023-12-29,Mozilla,87
2023-12-29,Coc Coc,77
2023-12-29,Android Runtime,71
2023-12-29,PaleMoon,40
2023-12-29,SeaMonkey,32
2023-12-29,Puffin,25
2023-12-29,Meta Quest Browser,23
2023-12-29,Seznam,15
2023-12-29,Aloha Browser,13
2023-12-29,Waterfox,12
2023-12-29,Phoenix Browser,10
2023-12-29,DuckDuckGo Browser,5
2023-12-29,BlackBerry,4
2023-12-29,Netscape,2
2023-12-29,Playstation Vita Browser,2
2023-12-29,Maxthon,1
2023-12-29,NetFront,1
2023-12-28,Chrome,370771
