date,mobile_device,visits
2024-01-04,iPhone,160283
2024-01-04,Chrome,160099
2024-01-04,Safari,96490
2024-01-04,ChromeBook,65484
2024-01-04,Edge,52853
2024-01-04,Firefox,21282
2024-01-04,(not set),15033
2024-01-04,iPad,8308
2024-01-04,HA75A6500UWT,2813
2024-01-04,Opera,2790
2024-01-04,SM-S918U,2213
2024-01-04,SM-S908U,2177
2024-01-04,Pixel 7,1969
2024-01-04,SM-S901U,1940
2024-01-04,Firefox for Android,1841
2024-01-04,Pixel 6,1788
2024-01-04,iPhone 11,1748
2024-01-04,Pixel 6a,1639
2024-01-04,Pixel 7 Pro,1613
2024-01-04,iPhone 13,1572
2024-01-04,SM-G991U,1490
2024-01-04,SM-S911U,1315
2024-01-04,SM-S918B,1265
2024-01-04,SM-G998U,1138
2024-01-04,Pixel 6 Pro,1076
2024-01-04,SM-A528B,1076
2024-01-04,iPhone 14 Pro,1016
2024-01-04,iPhone 14 Pro Max,1011
2024-01-03,Chrome,153074
2024-01-03,iPhone,149856
2024-01-03,Safari,89678
2024-01-03,ChromeBook,52537
2024-01-03,Edge,49336
2024-01-03,Firefox,21410
2024-01-03,(not set),13864
2024-01-03,iPad,7459
2024-01-03,Opera,2914
2024-01-03,HA75A6500UWT,2750
2024-01-03,SM-S908U,2089
2024-01-03,SM-S918U,2079
2024-01-03,Firefox for Android,1732
2024-01-03,SM-S901U,1707
2024-01-03,Pixel 7,1664
2024-01-03,Pixel 6a,1567
2024-01-03,Pixel 6,1536
2024-01-03,Pixel 7 Pro,1414
2024-01-03,SM-G991U,1354
2024-01-03,SM-S911U,1234
2024-01-03,SM-G998U,1223
2024-01-03,SM-S918B,1046
2024-01-02,iPhone,164678
2024-01-02,Chrome,157747
2024-01-02,Safari,87431
2024-01-02,Edge,47258
2024-01-02,ChromeBook,35335
2024-01-02,Firefox,20923
2024-01-02,(not set),13485
2024-01-02,iPad,7887
2024-01-02,Opera,2912
2024-01-02,HA75A6500UWT,2825
2024-01-02,SM-S908U,2040
2024-01-02,Firefox for Android,2001
2024-01-02,SM-S918U,1933
2024-01-02,Pixel 7,1919
2024-01-02,SM-S901U,1715
2024-01-02,Pixel 6a,1669
2024-01-02,Pixel 6,1632
2024-01-02,Pixel 7 Pro,1464
2024-01-02,SM-G991U,1412
2024-01-02,SM-S911U,1316
2024-01-02,SM-S918B,1281
2024-01-02,SM-G998U,1137
2024-01-02,SM-A528B,1124
2024-01-01,iPhone,189666
2024-01-01,Chrome,96833
2024-01-01,Safari,61927
2024-01-01,Edge,26416
2024-01-01,Firefox,14561
2024-01-01,(not set),9421
2024-01-01,iPad,8946
2024-01-01,ChromeBook,8384
2024-01-01,SM-S918U,3740
2024-01-01,SM-S908U,3694
2024-01-01,SM-S901U,3298
2024-01-01,Pixel 7,3025
2024-01-01,HA75A6500UWT,2823
2024-01-01,Pixel 6,2703
2024-01-01,Pixel 6a,2683
2024-01-01,SM-G991U,2626
2024-01-01,Pixel 7 Pro,2532
2024-01-01,SM-S911U,2439
2024-01-01,Firefox for Android,2376
2024-01-01,Opera,2292
2024-01-01,SM-A146U,2076
2024-01-01,SM-G998U,1990
2024-01-01,SM-S918B,1681
2024-01-01,Pixel 6 Pro,1669
2024-01-01,SM-S916U,1547
2024-01-01,SM-S906U,1473
2024-01-01,SM-A326B,1424
2024-01-01,moto g pure,1389
2024-01-01,SM-A528B,1354
2024-01-01,Pixel 8 Pro,1310
2024-01-01,Pixel 7a,1206
2024-01-01,SM-G996U,1107
2024-01-01,SM-G991B,1047
2024-01-01,SM-A136U,1036
2023-12-31,iPhone,186777
2023-12-31,Chrome,91384
2023-12-31,Safari,58714
2023-12-31,Edge,22519
2023-12-31,Firefox,13244
2023-12-31,(not set),8339
2023-12-31,iPad,7471
2023-12-31,ChromeBook,5664
2023-12-31,HA75A6500UWT,2826
2023-12-31,SM-S908U,2628
2023-12-31,Pixel 7,2618
2023-12-31,SM-S918U,2615
2023-12-31,Firefox for Android,2456
2023-12-31,Opera,2318
2023-12-31,SM-S901U,2241
2023-12-31,Pixel 6,2216
2023-12-31,Pixel 6a,2188
2023-12-31,Pixel 7 Pro,2186
2023-12-31,SM-G991U,1827
2023-12-31,SM-S918B,1659
2023-12-31,SM-S911U,1651
2023-12-31,SM-G998U,1484
2023-12-31,SM-A528B,1458
2023-12-31,Pixel 6 Pro,1380
2023-12-31,iPhone 13,1263
2023-12-31,iPhone 11,1226
2023-12-31,SM-A146U,1151
2023-12-31,SM-G991B,1115
2023-12-31,Pixel 8 Pro,1113
2023-12-31,SM-S906U,1083
2023-12-31,SM-S916U,1052
2023-12-31,SM-A326B,1003
2023-12-30,iPhone,168355
2023-12-30,Chrome,87840
2023-12-30,Safari,58365
2023-12-30,Edge,24374
2023-12-30,Firefox,13981
2023-12-30,ChromeBook,12831
2023-12-30,(not set),7670
2023-12-30,iPad,6840
2023-12-30,HA75A6500UWT,2811
2023-12-30,Opera,2513
2023-12-30,SM-S918U,2200
2023-12-30,SM-S908U,2157
2023-12-30,Firefox for Android,2121
2023-12-30,Pixel 7,1936
2023-12-30,SM-S901U,1896
2023-12-30,Pixel 6a,1874
2023-12-30,Pixel 6,1841
2023-12-30,Pixel 7 Pro,1794
2023-12-30,SM-G991U,1559
2023-12-30,SM-S911U,1410
2023-12-30,SM-S918B,1364
2023-12-30,Pixel 6 Pro,1206
2023-12-30,SM-G998U,1182
2023-12-30,SM-A528B,1137
2023-12-29,iPhone,172945
2023-12-29,Chrome,102232
2023-12-29,Safari,60380
2023-12-29,Edge,30662
2023-12-29,Firefox,15680
2023-12-29,(not set),9625
2023-12-29,ChromeBook,9235
2023-12-29,iPad,6829
2023-12-29,HA75A6500UWT,2817
2023-12-29,Opera,2307
2023-12-29,SM-S918U,2005
2023-12-29,SM-S908U,1994
2023-12-29,Firefox for Android,1975
2023-12-29,Pixel 7,1912
2023-12-29,SM-S901U,1801
2023-12-29,Pixel 6a,1750
2023-12-29,Pixel 6,1669
2023-12-29,Pixel 7 Pro,1629
2023-12-29,SM-G991U,1446
2023-12-29,SM-S918B,1277
2023-12-29,SM-A528B,1241
2023-12-29,SM-S911U,1238
2023-12-29,SM-G998U,1194
2023-12-29,Pixel 6 Pro,1078
2023-12-29,SM-A146U,1016
2023-12-28,iPhone,176767
2023-12-28,Chrome,148439
2023-12-28,Safari,61997
2023-12-28,Edge,34572
2023-12-28,Firefox,17389
2023-12-28,ChromeBook,12163
2023-12-28,(not set),10834
2023-12-28,iPad,6520
2023-12-28,HA75A6500UWT,2816
2023-12-28,Opera,2524
2023-12-28,SM-S908U,1960
2023-12-28,SM-S918U,1960
2023-12-28,Firefox for Android,1923
2023-12-28,Pixel 7,1837
2023-12-28,SM-S901U,1818
2023-12-28,Pixel 6a,1684
2023-12-28,Pixel 6,1607
2023-12-28,Pixel 7 Pro,1558
2023-12-28,SM-G991U,1471
2023-12-28,SM-S918B,1277
2023-12-28,SM-S911U,1256
2023-12-28,SM-G998U,1161
2023-12-28,SM-A528B,1108
2023-12-28,SM-A146U,1028
2023-12-27,Chrome,234328
2023-12-27,iPhone,172533
2023-12-27,Safari,64304
2023-12-27,Edge,37073
2023-12-27,Firefox,16460
2023-12-27,ChromeBook,13205
2023-12-27,(not set),10380
2023-12-27,iPad,6285
2023-12-27,HA75A6500UWT,2804
2023-12-27,Opera,2506
2023-12-27,Firefox for Android,1917
