date,device,visits
2024-01-04,desktop,407986
2024-01-04,mobile,350859
2024-01-04,tablet,17078
2024-01-04,smart tv,3321
2024-01-03,desktop,384563
2024-01-03,mobile,332847
2024-01-03,tablet,15745
2024-01-03,smart tv,3222
2024-01-02,desktop,364331
2024-01-02,mobile,351206
2024-01-02,tablet,16649
2024-01-02,smart tv,3286
2024-01-01,mobile,449416
2024-01-01,desktop,214784
2024-01-01,tablet,19959
2024-01-01,smart tv,3195
2023-12-31,mobile,415590
2023-12-31,desktop,197365
2023-12-31,tablet,17204
2023-12-31,smart tv,3278
2023-12-30,mobile,358155
2023-12-30,desktop,204666
2023-12-30,tablet,15675
2023-12-30,smart tv,3221
2023-12-29,mobile,368665
2023-12-29,desktop,229027
2023-12-29,tablet,15666
2023-12-29,smart tv,3177
2023-12-28,mobile,367050
2023-12-28,desktop,284104
2023-12-28,tablet,15228
2023-12-28,smart tv,3261
2023-12-27,mobile,366687
2023-12-27,desktop,366231
2023-12-27,tablet,14645
2023-12-27,smart tv,3189
2023-12-26,mobile,376215
2023-12-26,desktop,288591
2023-12-26,tablet,14318
2023-12-26,smart tv,3259
2023-12-25,mobile,375653
2023-12-25,desktop,240341
2023-12-25,tablet,13174
2023-12-25,smart tv,3247
2023-12-24,mobile,371648
2023-12-24,desktop,204647
2023-12-24,tablet,14060
2023-12-24,smart tv,3277
2023-12-23,mobile,322185
2023-12-23,desktop,209747
2023-12-23,tablet,15546
2023-12-23,smart tv,3218
2023-12-22,mobile,355795
2023-12-22,desktop,308921
2023-12-22,tablet,16339
2023-12-22,smart tv,3160
2023-12-21,desktop,395121
2023-12-21,mobile,394041
2023-12-21,tablet,16749
2023-12-21,smart tv,3174
2023-12-20,desktop,475019
2023-12-20,mobile,392486
2023-12-20,tablet,17206
2023-12-20,smart tv,3200
2023-12-19,desktop,431233
2023-12-19,mobile,354228
2023-12-19,tablet,17055
2023-12-19,smart tv,3223
2023-12-18,desktop,447720
2023-12-18,mobile,313690
2023-12-18,tablet,15456
2023-12-18,smart tv,3234
2023-12-17,mobile,334799
2023-12-17,desktop,267298
2023-12-17,tablet,15580
2023-12-17,smart tv,3183
2023-12-16,mobile,333066
2023-12-16,desktop,231311
2023-12-16,tablet,15805
2023-12-16,smart tv,3254
2023-12-15,desktop,415269
2023-12-15,mobile,319150
2023-12-15,tablet,15814
2023-12-15,smart tv,3171
2023-12-14,desktop,537232
2023-12-14,mobile,357989
2023-12-14,tablet,18062
2023-12-14,smart tv,3466
2023-12-13,desktop,560143
2023-12-13,mobile,401523
2023-12-13,tablet,22484
2023-12-13,smart tv,3173
2023-12-12,desktop,581683
2023-12-12,mobile,363196
2023-12-12,tablet,19777
2023-12-12,smart tv,3025
2023-12-11,desktop,545696
2023-12-11,mobile,307535
2023-12-11,tablet,16849
2023-12-11,smart tv,3097
2023-12-10,mobile,325418
2023-12-10,desktop,264366
2023-12-10,tablet,15620
2023-12-10,smart tv,3078
2023-12-09,mobile,301754
2023-12-09,desktop,231044
2023-12-09,tablet,13963
2023-12-09,smart tv,3046
2023-12-08,desktop,486134
2023-12-08,mobile,285277
2023-12-08,tablet,14848
2023-12-08,smart tv,3172
2023-12-07,desktop,595935
2023-12-07,mobile,302147
2023-12-07,tablet,16780
2023-12-07,smart tv,3288
2023-12-06,desktop,557946
2023-12-06,mobile,326731
2023-12-06,tablet,18666
2023-12-06,smart tv,3289
