date,browser,os,visits
2024-01-04,Chrome,Android,157876
2024-01-04,Chrome,Windows,157334
2024-01-04,Safari,iOS,131365
2024-01-04,Chrome,Chrome OS,64293
2024-01-04,Edge,Windows,52631
2024-01-04,Safari,Macintosh,51549
2024-01-04,Chrome,Macintosh,36357
2024-01-04,Safari (in-app),iOS,25682
2024-01-04,Chrome,iOS,22869
2024-01-04,Android Webview,Android,21597
2024-01-04,Firefox,Windows,18655
2024-01-04,Chrome,Linux,15957
2024-01-04,Samsung Internet,Android,10968
2024-01-04,Firefox,Macintosh,4343
2024-01-04,Opera,Windows,2757
2024-01-04,Firefox,Linux,2693
2024-01-04,Mozilla Compatible Agent,Macintosh,2025
2024-01-04,Firefox,Android,1869
2024-01-04,Amazon Silk,Android,1010
2024-01-04,Edge,Android,947
2024-01-04,Opera,Android,927
2024-01-04,YaBrowser,Windows,602
2024-01-04,Samsung Internet,Linux,451
2024-01-04,Internet Explorer,Windows,400
2024-01-04,Safari,Linux,387
2024-01-04,Edge,Macintosh,360
2024-01-04,(not set),(not set),352
2024-01-04,Opera Mini,(not set),333
2024-01-04,YaBrowser,Android,270
2024-01-04,Edge,Linux,154
2024-01-04,Android Runtime,Android,133
2024-01-04,Opera,Macintosh,127
2024-01-04,UC Browser,Android,120
2024-01-04,YaBrowser,iOS,101
2024-01-03,Chrome,Windows,149599
2024-01-03,Chrome,Android,146594
2024-01-03,Safari,iOS,125019
2024-01-03,Edge,Windows,49328
2024-01-03,Safari,Macintosh,47829
2024-01-03,Chrome,Chrome OS,46837
2024-01-03,Chrome,Macintosh,34936
2024-01-03,Chrome,iOS,22638
2024-01-03,Chrome,Linux,19948
2024-01-03,Firefox,Windows,18680
2024-01-03,Safari (in-app),iOS,15626
2024-01-03,Android Webview,Android,14360
2024-01-03,Samsung Internet,Android,10333
2024-01-03,Firefox,Macintosh,4189
2024-01-03,Opera,Windows,2865
2024-01-03,Firefox,Linux,2676
2024-01-03,Mozilla Compatible Agent,Macintosh,1992
2024-01-03,Firefox,Android,1762
2024-01-03,Amazon Silk,Android,1025
2024-01-03,Edge,Android,887
2024-01-03,Opera,Android,865
2024-01-03,YaBrowser,Windows,619
2024-01-03,Samsung Internet,Linux,429
2024-01-03,Safari,Linux,382
2024-01-03,Opera Mini,(not set),357
2024-01-03,Edge,Macintosh,353
2024-01-03,(not set),(not set),316
2024-01-03,Internet Explorer,Windows,294
2024-01-03,YaBrowser,Android,269
2024-01-03,Opera,Macintosh,153
2024-01-03,Edge,Linux,141
2024-01-03,Whale Browser,Windows,124
2024-01-03,UC Browser,Android,120
2024-01-03,Android Runtime,Android,113
2024-01-02,Chrome,Android,158478
2024-01-02,Chrome,Windows,155895
2024-01-02,Safari,iOS,138083
2024-01-02,Edge,Windows,47232
2024-01-02,Safari,Macintosh,46493
2024-01-02,Chrome,Macintosh,34274
2024-01-02,Chrome,Chrome OS,28498
2024-01-02,Chrome,iOS,25166
2024-01-02,Chrome,Linux,19824
2024-01-02,Firefox,Windows,18129
2024-01-02,Safari (in-app),iOS,13912
