date,screen_resolution,visits
2024-01-04,1920x1080,86940
2024-01-04,1366x768,71986
2024-01-04,390x844,53737
2024-01-04,1536x864,37571
2024-01-04,1440x900,28496
2024-01-04,414x896,26288
2024-01-04,360x800,24536
2024-01-04,1280x720,24164
2024-01-04,412x915,21407
2024-01-04,375x812,20064
2024-01-04,393x852,18126
2024-01-04,428x926,17198
2024-01-04,2560x1440,16392
2024-01-04,430x932,15773
2024-01-04,810x1080,13911
2024-01-04,393x873,13665
2024-01-04,375x667,13659
2024-01-04,360x780,11580
2024-01-04,412x892,8586
2024-01-04,1280x800,8255
2024-01-04,1517x852,8231
2024-01-04,385x854,7436
2024-01-04,768x1024,7110
2024-01-04,384x854,6966
2024-01-04,1024x768,6746
2024-01-04,1600x900,6549
2024-01-04,1920x1200,6472
2024-01-04,1680x1050,5471
2024-01-04,800x600,5396
2024-01-04,393x851,5293
2024-01-04,384x857,4955
2024-01-04,360x760,4757
2024-01-04,820x1180,4605
2024-01-04,384x832,4439
2024-01-04,1300x730,4390
2024-01-04,412x869,3776
2024-01-04,360x640,3750
2024-01-04,384x824,3641
2024-01-04,3440x1440,3484
2024-01-04,414x736,3468
2024-01-04,1024x1366,3464
2024-01-04,1512x982,3425
2024-01-04,1728x1117,3333
2024-01-04,320x693,3309
2024-01-04,412x883,3212
2024-01-04,2048x1152,3163
2024-01-04,1470x956,3072
2024-01-04,1536x960,2865
2024-01-04,1280x1024,2778
2024-01-04,834x1194,2710
2024-01-04,432x960,2566
2024-01-04,360x806,2441
2024-01-04,1792x1120,2309
2024-01-04,360x740,2270
2024-01-04,412x846,2251
2024-01-04,360x720,2111
2024-01-04,320x568,2096
2024-01-04,360x804,1958
2024-01-04,320x712,1790
2024-01-04,1241x697,1769
2024-01-04,360x772,1734
2024-01-04,834x1112,1694
2024-01-04,360x820,1677
2024-01-04,360x825,1630
2024-01-04,424x942,1538
2024-01-04,393x876,1516
2024-01-04,1360x768,1510
2024-01-04,2560x1080,1407
2024-01-04,2240x1260,1324
2024-01-04,1707x1067,1241
2024-01-04,800x1280,1236
2024-01-04,385x824,1175
2024-01-04,3840x2160,1106
2024-01-04,1707x960,1081
2024-01-04,1368x912,1012
2024-01-03,1920x1080,88378
2024-01-03,1366x768,57869
2024-01-03,390x844,48658
2024-01-03,1536x864,36861
2024-01-03,1440x900,27546
2024-01-03,414x896,23353
2024-01-03,360x800,22596
2024-01-03,1280x720,22410
2024-01-03,375x812,19535
2024-01-03,412x915,19406
2024-01-03,393x852,17095
2024-01-03,2560x1440,16790
2024-01-03,428x926,16297
2024-01-03,430x932,14570
2024-01-03,375x667,12844
2024-01-03,810x1080,12465
2024-01-03,393x873,12112
2024-01-03,360x780,10755
2024-01-03,800x600,9947
2024-01-03,1280x800,7938
2024-01-03,412x892,7712
2024-01-03,1024x768,6734
2024-01-03,385x854,6581
2024-01-03,384x854,6454
2024-01-03,1600x900,6293
2024-01-03,768x1024,6289
2024-01-03,1920x1200,6133
2024-01-03,1517x852,5782
2024-01-03,1680x1050,5145
2024-01-03,393x851,4720
2024-01-03,384x857,4511
2024-01-03,820x1180,4462
2024-01-03,360x760,4368
2024-01-03,384x832,4087
2024-01-03,360x640,3497
2024-01-03,3440x1440,3477
2024-01-03,320x693,3454
2024-01-03,412x869,3359
2024-01-03,1512x982,3314
