domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
www.nasa.gov,5897845,4266915,9885601,1.6844321951492451,161.28189936918955,0.47225554418605442
science.nasa.gov,3754770,2800123,6178558,1.645970592073549,157.03017956455759,0.38484887223451769
apod.nasa.gov,2481062,1116391,4945365,1.993350025110215,148.60223216539634,0.50000201526604338
europa.nasa.gov,1568685,1101193,2909615,1.8548733493339964,161.48166922588723,0.48073641298284869
eyes.nasa.gov,1561046,1162988,2782301,1.7823433774533231,153.18090301325776,0.11550908813705682
spaceplace.nasa.gov,1130302,815970,2342533,2.07273277407277,213.03084674192158,0.46997351150400513
mars.nasa.gov,660254,477872,1687089,2.5591211866948176,205.35120361112891,0.40036713143729535
earthobservatory.nasa.gov,654519,498058,900608,1.3778943010057767,167.19790242522777,0.42992640396993825
www.jpl.nasa.gov,651715,485730,1001781,1.5399798991890628,148.93161706234815,0.4456411161320516
climate.nasa.gov,626224,447288,984313,1.5722073890492858,237.78685631243826,0.45447315976391833
blogs.nasa.gov,456247,392605,597580,1.3136634323075,94.125308890380524,0.49997479435481218
spotthestation.nasa.gov,443124,282596,729449,1.6471348877515097,137.62226026488227,0.42356315613688267
exoplanets.nasa.gov,293691,208259,596195,2.0320132384036285,224.71519694220433,0.301626539458138
www.grc.nasa.gov,272641,204355,407535,1.4954977424525291,186.18059885087141,0.44301480701728646
webb.nasa.gov,267283,169770,377176,1.4112008620076848,144.81911590617145,0.4109801221925824
voyager.jpl.nasa.gov,216794,172262,403398,1.8609647868483445,165.478382045867,0.28307979003108941
images.nasa.gov,199469,157323,657977,3.3219497766570245,237.67968127748134,0.41057507682898092
climatekids.nasa.gov,193219,143175,456624,2.3634218166950456,295.13253710345339,0.319207738369415
urs.earthdata.nasa.gov,190489,123146,615765,3.2326486043813554,236.35275027425376,0.33680160009239379
moon.nasa.gov,184109,146025,317260,1.7236636992216567,179.92437237551272,0.39539077394369637
