domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.nasa.gov,/,3449280,1516172,1030086,2.2749932065755072,212.09312559913297,0.41022390599483438
apod.nasa.gov,/apod/astropix.html,2108996,1188419,365293,1.7746232599781726,173.25359533950038,0.4861366235309264
europa.nasa.gov,/message-in-a-bottle/sign-on/,1562342,917443,698394,1.7029308632797895,148.06442741810912,0.52339273393551422
worldview.earthdata.nasa.gov,/,1146011,43591,29360,26.290082815260032,440.2470877003679,0.096579569177123722
europa.nasa.gov,/,707965,240603,213408,2.9424612328192086,239.03210149770948,0.15794067405643322
apod.nasa.gov,/apod/archivepixFull.html,605841,175199,127106,3.458016312878498,165.44729132619963,0.18341999668947881
science.nasa.gov,/eclipses/future-eclipses/eclipse-2024/where-when/,605708,499664,409423,1.2122306189759517,121.95860997883675,0.49999399596528865
apod.nasa.gov,/apod/archivepix.html,518913,133373,41463,3.8906900197191336,183.57169804744223,0.16210927249143381
sdo.gsfc.nasa.gov,/data/,517572,32553,12336,15.899394833041502,2012.0529141484349,0.1946364390378767
science.nasa.gov,/,514823,185757,166259,2.7714810209036536,221.08842019249403,0.11188811188811189
apod.nasa.gov,/apod/,373444,246697,126684,1.5137760086259662,148.35651461857907,0.61175855401565482
eyes.nasa.gov,/,316252,148315,125711,2.1322994976907257,172.8563771541713,0.16848599265077707
science.nasa.gov,/mission/hubble/multimedia/what-did-hubble-see-on-your-birthday/,314406,194069,173204,1.6200732729080893,64.343472823748741,0.51995939588496876
spaceplace.nasa.gov,/blue-sky/sp/,314347,220384,146051,1.4263603528386817,71.10730730117001,0.74532633948018
science.nasa.gov,/solar-system/planets/,305104,73614,57640,4.1446328144103024,339.10130723745914,0.23625940717798244
spaceplace.nasa.gov,/,292876,55708,44296,5.2573418539527532,444.97579469154931,0.16661879801823795
images.nasa.gov,/,267330,44874,36134,5.9573472389356867,323.50589139423334,0.16319026607835271
urs.earthdata.nasa.gov,/oauth/authorize,266677,87377,63849,3.0520274214038019,205.92646093302483,0.43219611568261673
environmental.larc.nasa.gov,/,257760,26835,27529,9.6053661263275565,36.671768088246623,0.83618408794484811
europa.nasa.gov,/message-in-a-bottle/check-in/,241012,140698,99927,1.7129738873331533,132.8259818018075,0.62120996744800916
