source,session_default_channel_group,visits,pageviews,users,pageviews_per_session,avg_session_duration,bounce_rate
(direct),Direct,10341119,23241890,7250194,2.2475217623934123,168.49519114187305,0.55419766468212961
google,Organic Search,10077830,22989418,6735074,2.28118731909548,229.31352926425481,0.4042281919818056
bing,Organic Search,489623,1381656,296426,2.8218772402440244,327.91952862345522,0.3443220600339445
(not set),Unassigned,155182,841803,140479,5.42461754584939,620.94118782602368,0.998968952584707
duckduckgo,Organic Search,117331,247771,76117,2.1117266536550443,222.468805329052,0.41110192532237855
instagram,Organic Social,134455,225714,118885,1.6787326614852554,124.58102860327247,0.45111003681529138
yahoo,Organic Search,80668,190373,50993,2.3599568602171863,283.65972446321962,0.33619279020181486
baidu,Organic Search,33976,174377,20355,5.1323581351542265,385.22683864018717,0.36593477748999292
iContact,Email,68453,145636,33059,2.1275327597037381,231.53383004128381,0.43513067360086483
nasa,Unassigned,54212,145019,15604,2.6750350475909395,292.22351748688482,0.45432745517597578
TWITTER,Organic Social,71613,133647,49609,1.8662393699467974,175.03238199755629,0.50109616968986082
FBPAGE,Unassigned,75950,109682,61516,1.4441342988808428,84.0285251322054,0.63807768268597764
x,Organic Search,45554,77281,36270,1.6964701233700663,146.52747139379639,0.44290292839267681
nasa_newsletter,Email,33574,64264,18392,1.9141001965806874,197.37655427735749,0.49023053553344847
ecosia.org,Organic Search,23763,58934,13357,2.4800740647224675,246.22192420136349,0.40243235281740519
facebook,Organic Social,33140,54987,27885,1.6592335546167774,117.80479556858782,0.45262522631261315
arcore_sceneviewer,Unassigned,14480,53670,12109,3.7064917127071824,156.19818773901935,0.17727900552486187
nasa_solar_system,Unassigned,7764,42607,2959,5.487764039155075,491.59499819538894,0.38189077794951054
yandex,Organic Search,2855,32292,1552,11.310683012259194,475.69450119684763,0.35201401050788089
naver,Organic Search,4519,23905,2894,5.2898871431732681,332.28541379486614,0.27041380836468243
