date,visits
2024-01-04,792157
2024-01-03,734592
2024-01-02,736440
2024-01-01,680435
2023-12-31,656262
2023-12-30,588402
2023-12-29,611091
2023-12-28,667783
2023-12-27,750847
2023-12-26,701655
2023-12-25,638837
2023-12-24,609975
2023-12-23,540901
2023-12-22,677809
2023-12-21,792492
2023-12-20,885459
2023-12-19,814597
2023-12-18,792461
2023-12-17,603801
2023-12-16,586294
2023-12-15,744807
2023-12-14,914112
2023-12-13,989531
2023-12-12,950873
2023-12-11,867161
2023-12-10,607356
2023-12-09,540662
2023-12-08,784317
2023-12-07,916547
2023-12-06,921403
2023-12-05,956176
2023-12-04,942498
2023-12-03,746616
2023-12-02,764564
2023-12-01,1049549
2023-11-30,979876
2023-11-29,996931
2023-11-28,1031290
2023-11-27,1079218
2023-11-26,779645
2023-11-25,638043
2023-11-24,662536
2023-11-23,665299
2023-11-22,766098
2023-11-21,1049521
2023-11-20,965582
2023-11-19,639268
2023-11-18,590986
2023-11-17,784993
2023-11-16,907868
2023-11-15,923762
2023-11-14,971784
2023-11-13,930396
2023-11-12,632987
2023-11-11,572069
2023-11-10,773011
2023-11-09,982784
2023-11-08,967179
2023-11-07,916793
2023-11-06,900008
2023-11-05,643210
2023-11-04,566726
2023-11-03,817612
2023-11-02,928274
2023-11-01,1024724
2023-10-31,832519
2023-10-30,864404
2023-10-29,581110
2023-10-28,715591
2023-10-27,872518
2023-10-26,909675
2023-10-25,945562
2023-10-24,920617
2023-10-23,946822
2023-10-22,633057
2023-10-21,615439
2023-10-20,790097
2023-10-19,868472
2023-10-18,832262
2023-10-17,868625
2023-10-16,933844
2023-10-15,777547
2023-10-14,3149082
2023-10-13,1872906
2023-10-12,1340351
2023-10-11,1255682
2023-10-10,1102179
2023-10-09,906835
2023-10-08,745873
2023-10-07,679708
