date,browser,os_version,visits
2024-01-04,Internet Explorer,10,211
2024-01-03,Internet Explorer,10,215
2024-01-02,Internet Explorer,10,167
2023-12-29,Internet Explorer,10,104
2023-12-28,Internet Explorer,10,180
2023-12-27,Internet Explorer,10,146
2023-12-26,Internet Explorer,10,118
2023-12-22,Internet Explorer,10,157
2023-12-21,Internet Explorer,10,187
2023-12-20,Internet Explorer,10,260
2023-12-19,Internet Explorer,10,296
2023-12-18,Internet Explorer,10,343
2023-12-15,Internet Explorer,10,218
2023-12-14,Internet Explorer,10,244
2023-12-13,Internet Explorer,10,214
2023-12-12,Internet Explorer,10,240
2023-12-11,Internet Explorer,10,245
2023-12-08,Internet Explorer,10,169
2023-12-07,Internet Explorer,10,199
2023-12-06,Internet Explorer,10,203
2023-12-05,Internet Explorer,10,244
2023-12-04,Internet Explorer,10,197
2023-12-01,Internet Explorer,10,134
2023-11-30,Internet Explorer,10,229
2023-11-29,Internet Explorer,10,225
2023-11-28,Internet Explorer,10,211
2023-11-27,Internet Explorer,10,209
2023-11-24,Internet Explorer,10,116
2023-11-22,Internet Explorer,10,167
2023-11-21,Internet Explorer,10,210
2023-11-20,Internet Explorer,10,223
2023-11-17,Internet Explorer,10,200
2023-11-16,Internet Explorer,10,232
2023-11-15,Internet Explorer,10,226
2023-11-14,Internet Explorer,10,235
2023-11-13,Internet Explorer,10,195
2023-11-09,Internet Explorer,10,236
2023-11-08,Internet Explorer,10,241
2023-11-07,Internet Explorer,10,210
2023-11-06,Internet Explorer,10,185
2023-11-02,Internet Explorer,10,109
2023-10-31,Internet Explorer,10,122
2023-10-30,Internet Explorer,10,108
2023-10-26,Internet Explorer,10,131
2023-10-25,Internet Explorer,10,102
2023-10-24,Internet Explorer,10,116
2023-10-22,Internet Explorer,7,268
2023-10-20,Internet Explorer,10,121
2023-10-19,Internet Explorer,10,131
2023-10-18,Internet Explorer,10,114
2023-10-17,Internet Explorer,10,145
2023-10-16,Internet Explorer,10,128
2023-10-13,Internet Explorer,10,113
2023-10-12,Internet Explorer,10,129
2023-10-11,Internet Explorer,10,132
2023-10-10,Internet Explorer,10,142
2023-10-09,Internet Explorer,10,124
2023-10-08,Internet Explorer,10,127
