date,browser,visits
2024-01-04,Chrome,326148
2024-01-04,Edge,105352
2024-01-04,Safari,98131
2024-01-04,Firefox,17515
2024-01-04,Samsung Internet,3248
2024-01-04,Safari (in-app),2177
2024-01-04,Android Webview,1293
2024-01-04,Opera,1035
2024-01-04,Amazon Silk,394
2024-01-04,Mozilla Compatible Agent,296
2024-01-04,(not set),155
2024-01-04,Internet Explorer,121
2024-01-03,Chrome,327329
2024-01-03,Edge,103208
2024-01-03,Safari,94795
2024-01-03,Firefox,17159
2024-01-03,Samsung Internet,3265
2024-01-03,Safari (in-app),2342
2024-01-03,Android Webview,1263
2024-01-03,Opera,953
2024-01-03,Amazon Silk,403
2024-01-03,Mozilla Compatible Agent,260
2024-01-03,Internet Explorer,141
2024-01-03,(not set),132
2024-01-02,Chrome,258576
2024-01-02,Edge,89110
2024-01-02,Safari,87529
2024-01-02,Firefox,16434
2024-01-02,Samsung Internet,3113
2024-01-02,Safari (in-app),1856
2024-01-02,Android Webview,1179
2024-01-02,Opera,887
2024-01-02,Amazon Silk,412
2024-01-02,Mozilla Compatible Agent,262
2024-01-02,(not set),240
2024-01-02,Internet Explorer,150
2024-01-01,Chrome,99256
2024-01-01,Safari,73620
2024-01-01,Edge,13874
2024-01-01,Firefox,7783
2024-01-01,Samsung Internet,2660
2024-01-01,Safari (in-app),1589
2024-01-01,Android Webview,1121
2024-01-01,Opera,671
2024-01-01,Amazon Silk,377
2024-01-01,(not set),207
2024-01-01,Mozilla Compatible Agent,185
2023-12-31,Chrome,88362
2023-12-31,Safari,75539
2023-12-31,Edge,10492
2023-12-31,Firefox,4660
2023-12-31,Samsung Internet,2809
2023-12-31,Safari (in-app),1394
2023-12-31,Android Webview,1202
2023-12-31,Opera,602
2023-12-31,Amazon Silk,393
2023-12-31,(not set),240
2023-12-31,Mozilla Compatible Agent,192
2023-12-30,Chrome,108529
2023-12-30,Safari,87441
2023-12-30,Edge,13286
2023-12-30,Firefox,5419
2023-12-30,Samsung Internet,3443
2023-12-30,Safari (in-app),1823
2023-12-30,Android Webview,1809
2023-12-30,Opera,657
2023-12-30,Amazon Silk,411
2023-12-30,Mozilla Compatible Agent,234
2023-12-30,(not set),160
2023-12-29,Chrome,173500
2023-12-29,Safari,88818
2023-12-29,Edge,46088
2023-12-29,Firefox,7655
2023-12-29,Samsung Internet,3265
2023-12-29,Safari (in-app),2345
2023-12-29,Android Webview,1356
2023-12-29,Opera,718
2023-12-29,Amazon Silk,414
2023-12-29,Mozilla Compatible Agent,219
2023-12-29,(not set),218
2023-12-28,Chrome,208340
2023-12-28,Safari,102065
2023-12-28,Edge,62559
2023-12-28,Firefox,14238
2023-12-28,Samsung Internet,3611
2023-12-28,Safari (in-app),2908
2023-12-28,Android Webview,1490
2023-12-28,Opera,819
2023-12-28,(not set),428
2023-12-28,Amazon Silk,423
2023-12-28,Mozilla Compatible Agent,251
2023-12-28,YaBrowser,135
2023-12-27,Chrome,196500
2023-12-27,Safari,83543
2023-12-27,Edge,63546
2023-12-27,Firefox,13595
2023-12-27,Samsung Internet,3143
2023-12-27,Safari (in-app),2183
2023-12-27,Android Webview,1170
2023-12-27,Opera,779
2023-12-27,Amazon Silk,456
2023-12-27,Mozilla Compatible Agent,250
2023-12-27,(not set),186
2023-12-27,YaBrowser,111
2023-12-27,Internet Explorer,102
2023-12-26,Chrome,151769
2023-12-26,Safari,78544
2023-12-26,Edge,47380
2023-12-26,Firefox,11365
2023-12-26,Samsung Internet,2957
2023-12-26,Safari (in-app),1562
2023-12-26,Android Webview,1079
2023-12-26,Opera,710
2023-12-26,Amazon Silk,317
2023-12-26,Mozilla Compatible Agent,233
2023-12-26,YaBrowser,146
2023-12-26,(not set),142
2023-12-25,Chrome,78956
2023-12-25,Safari,61791
2023-12-25,Edge,10647
2023-12-25,Firefox,8858
2023-12-25,Samsung Internet,2563
2023-12-25,Safari (in-app),1258
2023-12-25,Android Webview,1025
2023-12-25,Opera,568
2023-12-25,Amazon Silk,275
2023-12-25,Mozilla Compatible Agent,220
2023-12-25,(not set),162
2023-12-25,YaBrowser,116
2023-12-24,Chrome,79934
2023-12-24,Safari,64368
2023-12-24,Edge,9295
2023-12-24,Firefox,3722
2023-12-24,Samsung Internet,2833
2023-12-24,Safari (in-app),1358
2023-12-24,Android Webview,1090
2023-12-24,Opera,471
2023-12-24,Amazon Silk,299
2023-12-24,Mozilla Compatible Agent,158
2023-12-24,(not set),148
2023-12-24,YaBrowser,105
2023-12-23,Chrome,91013
2023-12-23,Safari,62355
2023-12-23,Edge,11033
2023-12-23,Firefox,4348
2023-12-23,Samsung Internet,2451
2023-12-23,Safari (in-app),1747
2023-12-23,Android Webview,1174
2023-12-23,Opera,541
2023-12-23,Amazon Silk,346
2023-12-23,(not set),344
2023-12-23,Mozilla Compatible Agent,209
2023-12-23,Android Browser,121
2023-12-22,Chrome,190264
2023-12-22,Safari,74692
2023-12-22,Edge,54361
2023-12-22,Firefox,7268
2023-12-22,Samsung Internet,2707
2023-12-22,Safari (in-app),2539
2023-12-22,Android Webview,1150
2023-12-22,Opera,735
2023-12-22,Amazon Silk,338
2023-12-22,Mozilla Compatible Agent,263
2023-12-22,(not set),161
2023-12-22,YaBrowser,127
2023-12-21,Chrome,269823
2023-12-21,Safari,86411
2023-12-21,Edge,85072
2023-12-21,Firefox,17176
2023-12-21,Samsung Internet,3251
2023-12-21,Safari (in-app),1967
2023-12-21,Android Webview,1386
2023-12-21,Opera,840
2023-12-21,Amazon Silk,365
2023-12-21,Mozilla Compatible Agent,250
2023-12-21,YaBrowser,151
2023-12-21,(not set),125
2023-12-21,Internet Explorer,113
2023-12-20,Chrome,305112
2023-12-20,Safari,104492
2023-12-20,Edge,93715
2023-12-20,Firefox,17159
2023-12-20,Samsung Internet,3481
2023-12-20,Safari (in-app),1956
2023-12-20,Android Webview,1317
2023-12-20,Opera,976
2023-12-20,Amazon Silk,446
2023-12-20,Mozilla Compatible Agent,282
2023-12-20,YaBrowser,145
2023-12-20,(not set),134
2023-12-20,Internet Explorer,127
2023-12-19,Chrome,332456
2023-12-19,Safari,116160
2023-12-19,Edge,101444
2023-12-19,Firefox,17601
2023-12-19,Samsung Internet,3576
2023-12-19,Safari (in-app),2154
2023-12-19,Android Webview,1425
2023-12-19,Opera,999
2023-12-19,Amazon Silk,471
2023-12-19,Mozilla Compatible Agent,283
2023-12-19,YaBrowser,149
2023-12-19,(not set),143
2023-12-19,Internet Explorer,124
2023-12-18,Chrome,304924
2023-12-18,Safari,101771
2023-12-18,Edge,94648
2023-12-18,Firefox,16565
2023-12-18,Samsung Internet,3149
2023-12-18,Safari (in-app),1661
2023-12-18,Android Webview,1260
2023-12-18,Opera,1035
2023-12-18,Amazon Silk,370
2023-12-18,Mozilla Compatible Agent,281
2023-12-18,(not set),182
2023-12-18,YaBrowser,166
2023-12-18,Internet Explorer,142
2023-12-17,Chrome,126188
2023-12-17,Safari,87118
2023-12-17,Edge,18330
2023-12-17,Firefox,10864
2023-12-17,Samsung Internet,2938
2023-12-17,Safari (in-app),1241
2023-12-17,Android Webview,1064
2023-12-17,Opera,887
2023-12-17,Amazon Silk,467
2023-12-17,(not set),277
2023-12-17,Mozilla Compatible Agent,241
2023-12-17,YaBrowser,106
2023-12-16,Chrome,108518
2023-12-16,Safari,68952
2023-12-16,Edge,15223
2023-12-16,Firefox,4941
2023-12-16,Samsung Internet,2527
2023-12-16,Safari (in-app),1157
2023-12-16,Android Webview,868
2023-12-16,Opera,708
2023-12-16,Amazon Silk,321
2023-12-16,(not set),239
2023-12-16,Mozilla Compatible Agent,203
2023-12-15,Chrome,293800
2023-12-15,Safari,92365
2023-12-15,Edge,79217
2023-12-15,Firefox,10199
2023-12-15,Samsung Internet,2798
2023-12-15,Safari (in-app),1501
2023-12-15,Android Webview,1113
2023-12-15,Opera,1022
2023-12-15,Amazon Silk,351
2023-12-15,Mozilla Compatible Agent,257
2023-12-15,YaBrowser,150
2023-12-15,(not set),141
2023-12-15,Internet Explorer,129
2023-12-14,Chrome,349119
2023-12-14,Edge,101934
2023-12-14,Safari,100771
2023-12-14,Firefox,16839
2023-12-14,Samsung Internet,2859
2023-12-14,Safari (in-app),1570
2023-12-14,Opera,1213
2023-12-14,Android Webview,1181
2023-12-14,Amazon Silk,348
2023-12-14,Mozilla Compatible Agent,286
2023-12-14,(not set),187
2023-12-14,Internet Explorer,170
2023-12-14,YaBrowser,168
2023-12-13,Chrome,373372
2023-12-13,Edge,107249
2023-12-13,Safari,107064
2023-12-13,Firefox,18060
2023-12-13,Samsung Internet,2928
2023-12-13,Safari (in-app),1606
2023-12-13,Opera,1285
2023-12-13,Android Webview,1224
2023-12-13,(not set),443
2023-12-13,Amazon Silk,385
2023-12-13,Mozilla Compatible Agent,283
2023-12-13,YaBrowser,177
2023-12-13,Internet Explorer,144
2023-12-12,Chrome,384557
2023-12-12,Safari,113258
2023-12-12,Edge,107231
2023-12-12,Firefox,18502
2023-12-12,Samsung Internet,3059
2023-12-12,Safari (in-app),1766
2023-12-12,Opera,1281
2023-12-12,Android Webview,1243
2023-12-12,Amazon Silk,347
2023-12-12,Mozilla Compatible Agent,325
2023-12-12,YaBrowser,202
2023-12-12,Internet Explorer,156
2023-12-12,(not set),113
2023-12-11,Chrome,371505
2023-12-11,Safari,107974
2023-12-11,Edge,105760
2023-12-11,Firefox,18210
2023-12-11,Samsung Internet,3048
2023-12-11,Safari (in-app),1520
2023-12-11,Opera,1294
2023-12-11,Android Webview,1207
2023-12-11,Amazon Silk,364
2023-12-11,Mozilla Compatible Agent,317
2023-12-11,YaBrowser,171
2023-12-11,Internet Explorer,160
2023-12-11,(not set),152
2023-12-10,Chrome,144982
2023-12-10,Safari,84182
2023-12-10,Edge,21417
2023-12-10,Firefox,11470
2023-12-10,Samsung Internet,2551
2023-12-10,Safari (in-app),1275
2023-12-10,Opera,1052
2023-12-10,Android Webview,1050
2023-12-10,Amazon Silk,339
2023-12-10,Mozilla Compatible Agent,263
2023-12-10,(not set),125
2023-12-10,YaBrowser,123
2023-12-09,Chrome,120913
2023-12-09,Safari,75038
2023-12-09,Edge,17277
2023-12-09,Firefox,4938
2023-12-09,Samsung Internet,2458
2023-12-09,Safari (in-app),1477
2023-12-09,Android Webview,1037
2023-12-09,Opera,783
2023-12-09,Amazon Silk,336
2023-12-09,Mozilla Compatible Agent,208
2023-12-09,(not set),122
2023-12-09,YaBrowser,105
2023-12-08,Chrome,329236
2023-12-08,Safari,94589
2023-12-08,Edge,84184
2023-12-08,Firefox,10427
2023-12-08,Samsung Internet,2760
2023-12-08,Safari (in-app),2042
2023-12-08,Android Webview,1304
2023-12-08,Opera,1033
2023-12-08,Amazon Silk,376
2023-12-08,(not set),314
2023-12-08,Mozilla Compatible Agent,264
2023-12-08,YaBrowser,171
2023-12-08,Internet Explorer,160
2023-12-07,Chrome,397814
2023-12-07,Safari,119316
2023-12-07,Edge,110605
2023-12-07,Firefox,18848
2023-12-07,Samsung Internet,3159
2023-12-07,Safari (in-app),2235
2023-12-07,Android Webview,1557
2023-12-07,Opera,1253
2023-12-07,Amazon Silk,428
2023-12-07,Mozilla Compatible Agent,300
2023-12-07,(not set),279
2023-12-07,Internet Explorer,155
2023-12-07,YaBrowser,151
2023-12-06,Chrome,405074
2023-12-06,Safari,115497
2023-12-06,Edge,111520
2023-12-06,Firefox,18677
2023-12-06,Samsung Internet,3202
2023-12-06,Safari (in-app),2058
2023-12-06,Android Webview,1428
2023-12-06,Opera,1247
2023-12-06,Amazon Silk,377
2023-12-06,Mozilla Compatible Agent,279
2023-12-06,YaBrowser,177
2023-12-06,Internet Explorer,166
2023-12-05,Chrome,395826
2023-12-05,Safari,120518
2023-12-05,Edge,110506
2023-12-05,Firefox,19111
2023-12-05,Samsung Internet,3353
2023-12-05,Safari (in-app),2575
2023-12-05,Android Webview,1708
2023-12-05,Opera,1345
2023-12-05,Amazon Silk,355
2023-12-05,Mozilla Compatible Agent,256
2023-12-05,Internet Explorer,218
2023-12-05,(not set),167
2023-12-05,YaBrowser,150
2023-12-04,Chrome,378843
2023-12-04,Safari,115432
2023-12-04,Edge,107332
2023-12-04,Firefox,19280
2023-12-04,Samsung Internet,3107
2023-12-04,Safari (in-app),2118
2023-12-04,Opera,1443
2023-12-04,Android Webview,1374
2023-12-04,Amazon Silk,393
2023-12-04,Mozilla Compatible Agent,292
2023-12-04,(not set),178
2023-12-04,Internet Explorer,174
2023-12-04,YaBrowser,173
2023-12-03,Chrome,154621
2023-12-03,Safari,85895
2023-12-03,Edge,23164
2023-12-03,Firefox,12769
2023-12-03,Samsung Internet,2785
2023-12-03,Safari (in-app),1416
2023-12-03,Android Webview,1293
2023-12-03,Opera,1114
2023-12-03,Amazon Silk,388
2023-12-03,Mozilla Compatible Agent,296
2023-12-03,YaBrowser,139
2023-12-03,(not set),132
2023-12-02,Chrome,132170
2023-12-02,Safari,79845
2023-12-02,Edge,18311
2023-12-02,Firefox,5519
2023-12-02,Samsung Internet,2714
2023-12-02,Safari (in-app),1548
2023-12-02,Android Webview,1210
2023-12-02,Opera,849
2023-12-02,Amazon Silk,352
2023-12-02,Mozilla Compatible Agent,205
2023-12-02,YaBrowser,144
2023-12-02,(not set),115
2023-12-01,Chrome,337063
2023-12-01,Safari,104954
2023-12-01,Edge,88915
2023-12-01,Firefox,11479
2023-12-01,Samsung Internet,3023
2023-12-01,Safari (in-app),1723
2023-12-01,Android Webview,1191
2023-12-01,Opera,1172
2023-12-01,Amazon Silk,402
2023-12-01,Mozilla Compatible Agent,326
2023-12-01,YaBrowser,174
2023-12-01,(not set),149
2023-12-01,Internet Explorer,147
2023-11-30,Chrome,404539
2023-11-30,Safari,117912
2023-11-30,Edge,108679
2023-11-30,Firefox,19459
2023-11-30,Samsung Internet,3333
2023-11-30,Safari (in-app),2000
2023-11-30,Android Webview,1435
2023-11-30,Opera,1345
2023-11-30,(not set),429
2023-11-30,Amazon Silk,402
2023-11-30,Mozilla Compatible Agent,321
2023-11-30,YaBrowser,200
2023-11-30,Internet Explorer,149
2023-11-29,Chrome,414589
2023-11-29,Safari,119151
2023-11-29,Edge,109784
2023-11-29,Firefox,19474
2023-11-29,Samsung Internet,3494
2023-11-29,Safari (in-app),2465
2023-11-29,Android Webview,1453
2023-11-29,Opera,1380
2023-11-29,Amazon Silk,430
2023-11-29,Mozilla Compatible Agent,347
2023-11-29,Internet Explorer,179
2023-11-29,YaBrowser,170
2023-11-29,(not set),125
2023-11-28,Chrome,404070
2023-11-28,Safari,124288
2023-11-28,Edge,113081
2023-11-28,Firefox,19329
2023-11-28,Samsung Internet,3377
2023-11-28,Safari (in-app),2109
2023-11-28,Android Webview,1784
2023-11-28,Opera,1334
2023-11-28,Amazon Silk,443
2023-11-28,Mozilla Compatible Agent,377
2023-11-28,(not set),312
2023-11-28,YaBrowser,189
2023-11-28,Internet Explorer,155
2023-11-27,Chrome,361023
2023-11-27,Safari,113662
2023-11-27,Edge,105021
2023-11-27,Firefox,20175
2023-11-27,Samsung Internet,3208
2023-11-27,Safari (in-app),1574
2023-11-27,Android Webview,1396
2023-11-27,Opera,1338
2023-11-27,Amazon Silk,489
2023-11-27,Mozilla Compatible Agent,325
2023-11-27,Internet Explorer,207
2023-11-27,YaBrowser,197
2023-11-27,(not set),159
2023-11-26,Chrome,140635
2023-11-26,Safari,90147
2023-11-26,Edge,21143
2023-11-26,Firefox,11965
2023-11-26,Samsung Internet,2920
2023-11-26,Safari (in-app),1785
2023-11-26,Android Webview,1366
2023-11-26,Opera,1080
2023-11-26,Amazon Silk,359
2023-11-26,Mozilla Compatible Agent,267
2023-11-26,YaBrowser,145
2023-11-26,(not set),121
2023-11-25,Chrome,116236
2023-11-25,Safari,80235
2023-11-25,Edge,15323
2023-11-25,Firefox,5389
2023-11-25,Samsung Internet,2761
2023-11-25,Safari (in-app),1686
2023-11-25,Android Webview,1161
2023-11-25,Opera,804
2023-11-25,Amazon Silk,389
2023-11-25,Mozilla Compatible Agent,232
2023-11-25,(not set),177
2023-11-25,YaBrowser,101
2023-11-24,Chrome,137053
2023-11-24,Safari,81536
2023-11-24,Edge,34383
2023-11-24,Firefox,6752
2023-11-24,Samsung Internet,2916
2023-11-24,Safari (in-app),1468
2023-11-24,Android Webview,1244
2023-11-24,Opera,855
2023-11-24,Amazon Silk,487
2023-11-24,(not set),300
2023-11-24,Mozilla Compatible Agent,222
2023-11-24,YaBrowser,160
2023-11-23,Chrome,128903
2023-11-23,Safari,86200
2023-11-23,Edge,20907
2023-11-23,Firefox,11592
2023-11-23,Samsung Internet,3265
2023-11-23,Safari (in-app),1754
2023-11-23,Android Webview,1355
2023-11-23,Opera,920
2023-11-23,(not set),772
2023-11-23,Amazon Silk,399
2023-11-23,Mozilla Compatible Agent,197
2023-11-23,YaBrowser,172
