date,browser,visits
2024-01-04,Chrome,252840
2024-01-04,Edge,85996
2024-01-04,Safari,79409
2024-01-04,Firefox,14659
2024-01-04,Samsung Internet,2596
2024-01-04,Safari (in-app),1658
2024-01-04,(other),1294
2024-01-04,Android Webview,1021
2024-01-04,Opera,835
2024-01-04,Amazon Silk,325
2024-01-04,Mozilla Compatible Agent,210
2024-01-04,(not set),112
2024-01-04,Internet Explorer,102
2024-01-04,YaBrowser,68
2024-01-04,Opera Mini,48
2024-01-04,Whale Browser,45
2024-01-04,UC Browser,22
2024-01-04,Coc Coc,11
2024-01-04,Android Runtime,10
2024-01-04,Android Browser,9
2024-01-04,SeaMonkey,5
2024-01-04,Aloha Browser,4
2024-01-04,DuckDuckGo Browser,4
2024-01-04,Puffin,4
2024-01-04,Meta Quest Browser,2
2024-01-04,Mozilla,2
2024-01-04,NetFront,2
2024-01-04,PaleMoon,2
2024-01-04,BrowserNG,1
2024-01-04,Konqueror,1
2024-01-04,Maxthon,1
2024-01-04,Nokia Browser,1
2024-01-03,Chrome,327329
2024-01-03,Edge,103208
2024-01-03,Safari,94795
2024-01-03,Firefox,17159
2024-01-03,Samsung Internet,3265
2024-01-03,Safari (in-app),2342
2024-01-03,Android Webview,1263
2024-01-03,Opera,953
2024-01-03,Amazon Silk,403
2024-01-03,Mozilla Compatible Agent,260
2024-01-03,Internet Explorer,141
2024-01-03,(not set),132
2024-01-03,YaBrowser,82
2024-01-03,Opera Mini,70
2024-01-03,Whale Browser,62
2024-01-03,UC Browser,35
2024-01-03,Coc Coc,25
2024-01-03,Aloha Browser,13
2024-01-03,Android Runtime,10
2024-01-03,Android Browser,9
2024-01-03,Mozilla,5
2024-01-03,DuckDuckGo Browser,3
2024-01-03,Iron,2
2024-01-03,Meta Quest Browser,2
2024-01-03,Phoenix Browser,2
2024-01-03,BlackBerry,1
2024-01-03,IE with Chrome Frame,1
2024-01-03,Lynx,1
2024-01-03,Maxthon,1
2024-01-03,Nintendo Browser,1
2024-01-03,PaleMoon,1
2024-01-03,Puffin,1
2024-01-03,SeaMonkey,1
2024-01-03,Seznam,1
2024-01-02,Chrome,258576
2024-01-02,Edge,89110
2024-01-02,Safari,87529
2024-01-02,Firefox,16434
2024-01-02,Samsung Internet,3113
2024-01-02,Safari (in-app),1856
2024-01-02,Android Webview,1179
2024-01-02,Opera,887
2024-01-02,Amazon Silk,412
2024-01-02,Mozilla Compatible Agent,262
2024-01-02,(not set),240
2024-01-02,Internet Explorer,150
2024-01-02,Opera Mini,69
2024-01-02,YaBrowser,68
2024-01-02,Whale Browser,44
2024-01-02,UC Browser,34
2024-01-02,Coc Coc,20
2024-01-02,Android Browser,8
2024-01-02,Aloha Browser,7
2024-01-02,DuckDuckGo Browser,7
2024-01-02,Meta Quest Browser,7
2024-01-02,Android Runtime,4
2024-01-02,Mozilla,4
2024-01-02,Nintendo Browser,3
2024-01-02,Puffin,3
2024-01-02,SeaMonkey,3
2024-01-02,Waterfox,2
2024-01-02,BlackBerry,1
2024-01-02,BrowserNG,1
2024-01-02,Iron,1
2024-01-02,Konqueror,1
2024-01-02,PaleMoon,1
2024-01-02,Phoenix Browser,1
2024-01-01,Chrome,99256
2024-01-01,Safari,73620
2024-01-01,Edge,13874
2024-01-01,Firefox,7783
2024-01-01,Samsung Internet,2660
2024-01-01,Safari (in-app),1589
2024-01-01,Android Webview,1121
2024-01-01,Opera,671
2024-01-01,Amazon Silk,377
2024-01-01,(not set),207
2024-01-01,Mozilla Compatible Agent,185
2024-01-01,YaBrowser,60
2024-01-01,Internet Explorer,51
2024-01-01,Opera Mini,50
2024-01-01,UC Browser,26
2024-01-01,Whale Browser,26
2024-01-01,Aloha Browser,10
2024-01-01,Android Runtime,7
2024-01-01,Coc Coc,7
2024-01-01,Meta Quest Browser,7
2024-01-01,Android Browser,6
2024-01-01,Mozilla,4
2024-01-01,PaleMoon,3
2024-01-01,SeaMonkey,3
2024-01-01,Waterfox,3
2024-01-01,BlackBerry,2
2024-01-01,DuckDuckGo Browser,2
2024-01-01,Netscape,1
2024-01-01,Nokia Browser,1
2024-01-01,Phoenix Browser,1
2024-01-01,Puffin,1
2023-12-31,Chrome,88362
2023-12-31,Safari,75539
2023-12-31,Edge,10492
2023-12-31,Firefox,4660
2023-12-31,Samsung Internet,2809
2023-12-31,Safari (in-app),1394
2023-12-31,Android Webview,1202
2023-12-31,Opera,602
2023-12-31,Amazon Silk,393
2023-12-31,(not set),240
2023-12-31,Mozilla Compatible Agent,192
2023-12-31,Opera Mini,82
2023-12-31,YaBrowser,73
2023-12-31,Internet Explorer,65
2023-12-31,UC Browser,34
2023-12-31,Whale Browser,16
2023-12-31,Waterfox,14
2023-12-31,Aloha Browser,13
2023-12-31,Android Browser,8
2023-12-31,Coc Coc,5
2023-12-31,DuckDuckGo Browser,5
2023-12-31,PaleMoon,5
2023-12-31,Meta Quest Browser,4
2023-12-31,Android Runtime,3
2023-12-31,Mozilla,3
2023-12-31,Phoenix Browser,2
2023-12-31,IE with Chrome Frame,1
2023-12-31,Iron,1
2023-12-31,Nokia Browser,1
2023-12-31,Puffin,1
2023-12-31,Seznam,1
2023-12-30,Chrome,108529
2023-12-30,Safari,87441
2023-12-30,Edge,13286
2023-12-30,Firefox,5419
2023-12-30,Samsung Internet,3443
2023-12-30,Safari (in-app),1823
2023-12-30,Android Webview,1809
2023-12-30,Opera,657
2023-12-30,Amazon Silk,411
2023-12-30,Mozilla Compatible Agent,234
2023-12-30,(not set),160
2023-12-30,YaBrowser,74
2023-12-30,Opera Mini,73
2023-12-30,Internet Explorer,30
2023-12-30,UC Browser,27
2023-12-30,Waterfox,13
2023-12-30,Whale Browser,10
2023-12-30,Aloha Browser,6
2023-12-30,Android Runtime,5
2023-12-30,Coc Coc,5
2023-12-30,DuckDuckGo Browser,5
2023-12-30,Android Browser,4
2023-12-30,Meta Quest Browser,4
2023-12-30,Mozilla,3
2023-12-30,PaleMoon,2
2023-12-30,Phoenix Browser,2
2023-12-30,Lynx,1
2023-12-30,Nintendo Browser,1
2023-12-29,Chrome,173500
2023-12-29,Safari,88818
2023-12-29,Edge,46088
2023-12-29,Firefox,7655
2023-12-29,Samsung Internet,3265
2023-12-29,Safari (in-app),2345
2023-12-29,Android Webview,1356
2023-12-29,Opera,718
2023-12-29,Amazon Silk,414
2023-12-29,Mozilla Compatible Agent,219
2023-12-29,(not set),218
2023-12-29,YaBrowser,87
2023-12-29,Internet Explorer,52
2023-12-29,Opera Mini,49
2023-12-29,UC Browser,31
2023-12-29,Coc Coc,20
2023-12-29,Whale Browser,14
2023-12-29,Aloha Browser,10
2023-12-29,Android Runtime,10
2023-12-29,DuckDuckGo Browser,7
2023-12-29,Meta Quest Browser,5
2023-12-29,Phoenix Browser,5
2023-12-29,Mozilla,4
2023-12-29,Android Browser,3
2023-12-29,BlackBerry,3
2023-12-29,PaleMoon,3
2023-12-29,Netscape,2
2023-12-29,SeaMonkey,2
2023-12-29,Galeon,1
2023-12-29,IE with Chrome Frame,1
2023-12-29,Iron,1
2023-12-29,Konqueror,1
2023-12-29,Nintendo Browser,1
2023-12-29,Seznam,1
2023-12-28,Chrome,208340
2023-12-28,Safari,102065
2023-12-28,Edge,62559
2023-12-28,Firefox,14238
2023-12-28,Samsung Internet,3611
2023-12-28,Safari (in-app),2908
2023-12-28,Android Webview,1490
2023-12-28,Opera,819
2023-12-28,(not set),428
2023-12-28,Amazon Silk,423
2023-12-28,Mozilla Compatible Agent,251
2023-12-28,YaBrowser,135
2023-12-28,Internet Explorer,63
2023-12-28,UC Browser,46
2023-12-28,Opera Mini,40
2023-12-28,Whale Browser,22
2023-12-28,Coc Coc,12
2023-12-28,Android Browser,9
2023-12-28,Aloha Browser,7
2023-12-28,Mozilla,6
2023-12-28,Meta Quest Browser,4
2023-12-28,SeaMonkey,4
2023-12-28,Phoenix Browser,3
2023-12-28,Android Runtime,2
2023-12-28,BlackBerry,1
2023-12-28,Iron,1
2023-12-28,Netscape,1
2023-12-28,Puffin,1
2023-12-27,Chrome,196500
2023-12-27,Safari,83543
2023-12-27,Edge,63546
2023-12-27,Firefox,13595
2023-12-27,Samsung Internet,3143
2023-12-27,Safari (in-app),2183
2023-12-27,Android Webview,1170
2023-12-27,Opera,779
2023-12-27,Amazon Silk,456
2023-12-27,Mozilla Compatible Agent,250
2023-12-27,(not set),186
2023-12-27,YaBrowser,111
2023-12-27,Internet Explorer,102
2023-12-27,Opera Mini,60
2023-12-27,Whale Browser,43
2023-12-27,UC Browser,38
2023-12-27,Android Browser,11
2023-12-27,Android Runtime,8
2023-12-27,Coc Coc,8
2023-12-27,Aloha Browser,5
2023-12-27,Meta Quest Browser,5
2023-12-27,Mozilla,4
2023-12-27,Phoenix Browser,3
2023-12-27,Waterfox,3
2023-12-27,DuckDuckGo Browser,1
2023-12-27,Iron,1
2023-12-27,Maxthon,1
2023-12-27,Netscape,1
2023-12-27,PaleMoon,1
2023-12-26,Chrome,151769
2023-12-26,Safari,78544
2023-12-26,Edge,47380
2023-12-26,Firefox,11365
2023-12-26,Samsung Internet,2957
2023-12-26,Safari (in-app),1562
2023-12-26,Android Webview,1079
2023-12-26,Opera,710
2023-12-26,Amazon Silk,317
2023-12-26,Mozilla Compatible Agent,233
2023-12-26,YaBrowser,146
2023-12-26,(not set),142
2023-12-26,Internet Explorer,91
2023-12-26,Whale Browser,60
2023-12-26,Opera Mini,44
2023-12-26,UC Browser,42
2023-12-26,Android Browser,38
2023-12-26,Coc Coc,25
2023-12-26,Aloha Browser,7
2023-12-26,Android Runtime,7
2023-12-26,DuckDuckGo Browser,6
2023-12-26,Meta Quest Browser,6
2023-12-26,BlackBerry,1
2023-12-26,BrowserNG,1
2023-12-26,Mozilla,1
2023-12-26,Seznam,1
2023-12-25,Chrome,78956
2023-12-25,Safari,61791
2023-12-25,Edge,10647
2023-12-25,Firefox,8858
2023-12-25,Samsung Internet,2563
2023-12-25,Safari (in-app),1258
2023-12-25,Android Webview,1025
2023-12-25,Opera,568
2023-12-25,Amazon Silk,275
2023-12-25,Mozilla Compatible Agent,220
2023-12-25,(not set),162
2023-12-25,YaBrowser,116
2023-12-25,Android Browser,85
2023-12-25,Opera Mini,56
2023-12-25,UC Browser,32
2023-12-25,Internet Explorer,28
2023-12-25,Whale Browser,26
2023-12-25,Coc Coc,22
2023-12-25,Meta Quest Browser,8
2023-12-25,Aloha Browser,6
2023-12-25,Android Runtime,6
2023-12-25,DuckDuckGo Browser,3
2023-12-25,Mozilla,3
2023-12-25,PaleMoon,2
2023-12-25,Phoenix Browser,2
2023-12-25,Netscape,1
2023-12-25,Puffin,1
2023-12-25,Seznam,1
2023-12-25,Waterfox,1
2023-12-24,Chrome,79934
2023-12-24,Safari,64368
2023-12-24,Edge,9295
2023-12-24,Firefox,3722
2023-12-24,Samsung Internet,2833
2023-12-24,Safari (in-app),1358
2023-12-24,Android Webview,1090
2023-12-24,Opera,471
2023-12-24,Amazon Silk,299
2023-12-24,Mozilla Compatible Agent,158
2023-12-24,(not set),148
2023-12-24,YaBrowser,105
2023-12-24,Android Browser,69
2023-12-24,Opera Mini,64
2023-12-24,Internet Explorer,44
2023-12-24,UC Browser,15
2023-12-24,Coc Coc,11
2023-12-24,Whale Browser,10
2023-12-24,Android Runtime,6
2023-12-24,DuckDuckGo Browser,6
2023-12-24,Aloha Browser,5
2023-12-24,SeaMonkey,4
2023-12-24,Meta Quest Browser,3
2023-12-24,Mozilla,3
2023-12-24,BlackBerry,2
2023-12-24,Maxthon,1
2023-12-24,Puffin,1
2023-12-24,Seznam,1
2023-12-23,Chrome,91013
2023-12-23,Safari,62355
2023-12-23,Edge,11033
2023-12-23,Firefox,4348
