date,device,visits
2024-01-04,desktop,423718
2024-01-04,mobile,121577
2024-01-04,tablet,5779
2024-01-04,smart tv,47
2024-01-03,desktop,411476
2024-01-03,mobile,121376
2024-01-03,tablet,5775
2024-01-03,smart tv,48
2024-01-02,desktop,331131
2024-01-02,mobile,115154
2024-01-02,tablet,5310
2024-01-02,smart tv,46
2024-01-01,mobile,107312
2024-01-01,desktop,92927
2024-01-01,tablet,4518
2024-01-01,smart tv,46
2023-12-31,mobile,106535
2023-12-31,desktop,72968
2023-12-31,tablet,4417
2023-12-31,smart tv,20
2023-12-30,mobile,125366
2023-12-30,desktop,89777
2023-12-30,tablet,5092
2023-12-30,smart tv,30
2023-12-29,desktop,195274
2023-12-29,mobile,127282
2023-12-29,tablet,5193
2023-12-29,smart tv,50
2023-12-28,desktop,247908
2023-12-28,mobile,143110
2023-12-28,tablet,5746
2023-12-28,smart tv,47
2023-12-27,desktop,242133
2023-12-27,mobile,118911
2023-12-27,tablet,4756
2023-12-27,smart tv,50
2023-12-26,desktop,184851
2023-12-26,mobile,115489
2023-12-26,tablet,4420
2023-12-26,smart tv,43
2023-12-25,mobile,93818
2023-12-25,desktop,66939
2023-12-25,tablet,3471
2023-12-25,smart tv,39
2023-12-24,mobile,97909
2023-12-24,desktop,61819
2023-12-24,tablet,4297
2023-12-24,smart tv,35
2023-12-23,mobile,92266
2023-12-23,desktop,79690
2023-12-23,tablet,3930
2023-12-23,smart tv,29
2023-12-22,desktop,227996
2023-12-22,mobile,106786
2023-12-22,tablet,4136
2023-12-22,smart tv,36
2023-12-21,desktop,341270
2023-12-21,mobile,119161
2023-12-21,tablet,4862
2023-12-21,smart tv,45
2023-12-20,desktop,388910
2023-12-20,mobile,137869
2023-12-20,tablet,5957
2023-12-20,smart tv,54
2023-12-19,desktop,419742
2023-12-19,mobile,144364
2023-12-19,tablet,5996
2023-12-19,smart tv,80
2023-12-18,desktop,388283
2023-12-18,mobile,124523
2023-12-18,tablet,5575
2023-12-18,smart tv,40
2023-12-17,desktop,127873
2023-12-17,mobile,114738
2023-12-17,tablet,5625
2023-12-17,smart tv,38
2023-12-16,desktop,105062
2023-12-16,mobile,93082
2023-12-16,tablet,4095
2023-12-16,smart tv,29
2023-12-15,desktop,376216
2023-12-15,mobile,108108
2023-12-15,tablet,5139
2023-12-15,smart tv,27
2023-12-14,desktop,459596
2023-12-14,mobile,115639
2023-12-14,tablet,5618
2023-12-14,smart tv,40
2023-12-13,desktop,484545
2023-12-13,mobile,120669
2023-12-13,tablet,5840
2023-12-13,smart tv,35
2023-12-12,desktop,500119
2023-12-12,mobile,126860
2023-12-12,tablet,6026
2023-12-12,smart tv,33
2023-12-11,desktop,486519
2023-12-11,mobile,118820
2023-12-11,tablet,6237
2023-12-11,smart tv,45
2023-12-10,desktop,159839
2023-12-10,mobile,102582
2023-12-10,tablet,4810
2023-12-10,smart tv,31
2023-12-09,desktop,124406
2023-12-09,mobile,97763
2023-12-09,tablet,4490
2023-12-09,smart tv,33
2023-12-08,desktop,412049
2023-12-08,mobile,116112
2023-12-08,tablet,5752
2023-12-08,smart tv,31
2023-12-07,desktop,509074
2023-12-07,mobile,132395
2023-12-07,tablet,6712
2023-12-07,smart tv,44
2023-12-06,desktop,528610
2023-12-06,mobile,130867
2023-12-06,tablet,6485
2023-12-06,smart tv,31
