domain,visits
www.whitehouse.gov,11
www.webharvest.gov,751
www.usa.gov,2
www.trumanlibrary.gov,2
www.transportation.gov,2
www.regulations.gov,5
www.reaganlibrary.gov,52455
www.rd.usda.gov,3
www.obamalibrary.gov,12547
www.nps.gov,4
www.nixonlibrary.gov,15032
www.myplate.gov,2
www.myhealth.va.gov,2
www.militaryonesource.mil,10
www.lbjlibrary.org,18663
www.justice.gov,5
www.jimmycarterlibrary.gov,7633
www.jfklibrary.org,173161
www.history.navy.mil,5
www.georgewbushlibrary.gov,14
www.founders.archives.gov,313
www.fordlibrarymuseum.gov,6841
www.fmcsa.dot.gov,16
www.fincen.gov,16
www.federalregister.gov,1093072
www.epa.gov,5
www.eisenhowerlibrary.gov,16
www.ecfr.gov,1228763
www.dol.gov,2
www.cpsc.gov,8
www.cms.gov,2
www.clintonlibrary.gov,5961
www.census.gov,3
www.cdc.gov,7
www.bush41.org,5980
www.archives.gov,1115310
webharvest.gov,170
webcache.googleusercontent.com,30
vetrecs.archives.gov,108706
unwritten-record.blogs.archives.gov,9775
trumpwhitehouse.archives.gov,96354
translated.turbopages.org,12
transforming-classification.blogs.archives.gov,198
transfer.archives.gov,102
training.archives.gov,33
text-message.blogs.archives.gov,7040
test.nac-mvp.archives.gov,42
situationroom.archives.gov,234
share.america.gov,2
search.usa.gov,3
search.archives.gov,52022
rediscovering-black-history.blogs.archives.gov,4978
records-express.blogs.archives.gov,1522
reagan.blogs.archives.gov,45351
reagan.artifacts.archives.gov,13
qavetrecs.archives.gov,17
qa.civics.archives.gov,24
prologue.blogs.archives.gov,24905
preview.nac-mvp.archives.gov,29
petitions.trumpwhitehouse.archives.gov,757
petitions.obamawhitehouse.archives.gov,8466
open.obamawhitehouse.archives.gov,81
obamawhitehouse.archives.gov,112048
obamalibrary.archives.gov,137
obama.artifacts.archives.gov,58
narations.blogs.archives.gov,1564
museum.archives.gov,24470
letsmove.obamawhitehouse.archives.gov,2156
legacy.catalog.archives.gov,3
lbjlibrary.archives.gov,177
lbj.artifacts.archives.gov,84
jfklibrary.archives.gov,176
jfk.blogs.archives.gov,2228
jfk.artifacts.archives.gov,4312
isoo.blogs.archives.gov,1908
isoo-overview.blogs.archives.gov,1156
import.ecfr.gov,174
hoover.blogs.archives.gov,4302
hoover.archives.gov,6155
home.treasury.gov,2
historyhub.history.gov,50946
georgewbush-whitehouse.archives.gov,89814
founders.archives.gov,46724
ford.blogs.archives.gov,155
ford.artifacts.archives.gov,2
foia.blogs.archives.gov,1278
fdr.blogs.archives.gov,4616
fdr.artifacts.archives.gov,310
eservices.archives.gov,8383
education.blogs.archives.gov,3357
drafting.ecfr.gov,1103
dev.nac-mvp.archives.gov,50
declassification.blogs.archives.gov,398
d9.qa.obamalibrary.gov,3
d9.qa.jimmycarterlibrary.gov,3
d10.qa.museum.archives.gov,31
crisisnextdoor.trumpwhitehouse.archives.gov,80
clintonwhitehouse6.archives.gov,551
clintonwhitehouse5.archives.gov,4227
clintonwhitehouse4.archives.gov,12172
clintonwhitehouse3.archives.gov,6135
clintonwhitehouse2.archives.gov,289
clintonwhitehouse1.archives.gov,233
clinton.presidentiallibraries.us,3375
civics.archives.gov,687
catalog.archives.gov,4
bush41library.tamu.edu,988
bush41library.archives.gov,154
blogs.archives.gov,4
aotus11.blogs.archives.gov,118
aotus.blogs.archives.gov,1500
annotation.blogs.archives.gov,59
aad.archives.gov,27281
1950census.archives.gov,16688
