domain,visits
www.ecfr.gov,691243
www.archives.gov,626998
www.federalregister.gov,612528
www.jfklibrary.org,99504
obamawhitehouse.archives.gov,62610
vetrecs.archives.gov,58815
trumpwhitehouse.archives.gov,53221
georgewbush-whitehouse.archives.gov,48995
reagan.blogs.archives.gov,41676
www.reaganlibrary.gov,31575
search.archives.gov,29507
historyhub.history.gov,28200
founders.archives.gov,25951
aad.archives.gov,14967
prologue.blogs.archives.gov,14227
museum.archives.gov,13087
www.lbjlibrary.org,9523
1950census.archives.gov,8830
www.nixonlibrary.gov,8744
www.obamalibrary.gov,6716
