date,browser,os_version,visits
2024-01-04,Chrome,10,152286
2024-01-04,Edge,10,76995
2024-01-04,Chrome,11,48719
2024-01-04,Edge,11,24461
2024-01-04,Firefox,10,8627
2024-01-04,Chrome,7,2731
2024-01-04,Opera,10,735
2024-01-04,Chrome,8.1,484
2024-01-04,Firefox,7,198
2024-01-03,Chrome,10,153092
2024-01-03,Edge,10,76199
2024-01-03,Chrome,11,47743
2024-01-03,Edge,11,23594
2024-01-03,Firefox,10,8812
2024-01-03,Chrome,7,2745
2024-01-03,Opera,10,691
2024-01-03,Chrome,8.1,481
2024-01-03,Firefox,7,218
2024-01-02,Chrome,10,119041
2024-01-02,Edge,10,64699
2024-01-02,Chrome,11,41824
2024-01-02,Edge,11,21354
2024-01-02,Firefox,10,7802
2024-01-02,Chrome,7,2473
2024-01-02,Opera,10,639
2024-01-02,Chrome,8.1,474
2024-01-02,Firefox,7,256
2024-01-01,Chrome,10,21000
2024-01-01,Chrome,11,13452
2024-01-01,Edge,10,7215
2024-01-01,Edge,11,6165
2024-01-01,Firefox,10,2734
2024-01-01,Chrome,7,1283
2024-01-01,Opera,10,447
2024-01-01,Chrome,8.1,285
2024-01-01,Firefox,7,126
2023-12-31,Chrome,10,16694
2023-12-31,Chrome,11,10276
2023-12-31,Edge,10,5367
2023-12-31,Edge,11,4597
2023-12-31,Firefox,10,2420
2023-12-31,Chrome,7,1232
2023-12-31,Opera,10,370
2023-12-31,Chrome,8.1,230
2023-12-31,Firefox,7,133
2023-12-30,Chrome,10,26832
2023-12-30,Chrome,11,12335
2023-12-30,Edge,10,7380
2023-12-30,Edge,11,5424
2023-12-30,Firefox,10,2744
2023-12-30,Chrome,7,1149
2023-12-30,Opera,10,439
2023-12-30,Chrome,8.1,232
2023-12-30,Firefox,7,121
2023-12-29,Chrome,10,75102
2023-12-29,Edge,10,34125
2023-12-29,Chrome,11,23638
2023-12-29,Edge,11,12155
2023-12-29,Firefox,10,4731
2023-12-29,Chrome,7,2072
2023-12-29,Opera,10,511
2023-12-29,Chrome,8.1,391
2023-12-29,Firefox,7,179
2023-12-28,Chrome,10,97633
2023-12-28,Edge,10,46118
2023-12-28,Chrome,11,29570
2023-12-28,Edge,11,15549
2023-12-28,Firefox,10,5974
2023-12-28,Chrome,7,2255
2023-12-28,Opera,10,585
2023-12-28,Chrome,8.1,453
2023-12-28,Firefox,7,219
2023-12-27,Chrome,10,92817
2023-12-27,Edge,10,47767
2023-12-27,Chrome,11,28371
2023-12-27,Edge,11,15441
2023-12-27,Firefox,10,5472
2023-12-27,Chrome,7,2171
2023-12-27,Opera,10,550
2023-12-27,Chrome,8.1,394
2023-12-27,Firefox,7,188
2023-12-26,Chrome,10,62514
2023-12-26,Edge,10,34780
2023-12-26,Chrome,11,22386
2023-12-26,Edge,11,11932
2023-12-26,Firefox,10,4179
2023-12-26,Chrome,7,2401
2023-12-26,Opera,10,499
2023-12-26,Chrome,8.1,347
2023-12-26,Firefox,7,166
2023-12-25,Chrome,10,15640
2023-12-25,Chrome,11,8180
2023-12-25,Edge,10,6351
2023-12-25,Edge,11,4056
2023-12-25,Firefox,10,1637
2023-12-25,Chrome,7,1307
2023-12-25,Opera,10,365
2023-12-25,Chrome,8.1,239
2023-12-25,Firefox,7,126
2023-12-24,Chrome,10,15424
2023-12-24,Chrome,11,8124
2023-12-24,Edge,10,5103
2023-12-24,Edge,11,3920
2023-12-24,Firefox,10,1778
2023-12-24,Chrome,7,1390
2023-12-24,Opera,10,294
2023-12-24,Chrome,8.1,220
2023-12-24,Firefox,7,138
2023-12-23,Chrome,10,25275
2023-12-23,Chrome,11,9724
2023-12-23,Edge,10,6136
2023-12-23,Edge,11,4489
2023-12-23,Firefox,10,2202
2023-12-23,Chrome,7,1865
2023-12-23,Opera,10,365
2023-12-23,Chrome,8.1,236
2023-12-23,Firefox,7,129
2023-12-22,Chrome,10,90730
2023-12-22,Edge,10,41457
2023-12-22,Chrome,11,24972
2023-12-22,Edge,11,12904
2023-12-22,Firefox,10,4948
2023-12-22,Chrome,7,2765
2023-12-22,Opera,10,524
2023-12-22,Chrome,8.1,372
2023-12-22,Firefox,7,164
2023-12-21,Chrome,10,129123
2023-12-21,Edge,10,65846
2023-12-21,Chrome,11,36673
2023-12-21,Edge,11,18848
2023-12-21,Firefox,10,7242
2023-12-21,Chrome,7,2531
2023-12-21,Opera,10,597
2023-12-21,Chrome,8.1,453
2023-12-21,Firefox,7,164
2023-12-20,Chrome,10,144490
2023-12-20,Edge,10,69056
2023-12-20,Chrome,11,43237
2023-12-20,Edge,11,21760
2023-12-20,Firefox,10,8339
2023-12-20,Chrome,7,2393
2023-12-20,Opera,10,649
2023-12-20,Chrome,8.1,512
2023-12-20,Firefox,7,244
2023-12-19,Chrome,10,146447
2023-12-19,Edge,10,73936
2023-12-19,Chrome,11,46661
2023-12-19,Edge,11,22843
2023-12-19,Firefox,10,8675
2023-12-19,Chrome,7,2399
2023-12-19,Opera,10,718
2023-12-19,Chrome,8.1,509
2023-12-19,Firefox,7,271
2023-12-19,Edge,7,109
2023-12-18,Chrome,10,134497
2023-12-18,Edge,10,70987
2023-12-18,Chrome,11,44537
2023-12-18,Edge,11,22138
2023-12-18,Firefox,10,8176
2023-12-18,Chrome,7,2492
2023-12-18,Opera,10,757
2023-12-18,Chrome,8.1,513
2023-12-18,Firefox,7,197
2023-12-18,YaBrowser,10,121
2023-12-18,Edge,7,107
2023-12-17,Chrome,10,30205
2023-12-17,Chrome,11,18384
2023-12-17,Edge,10,10559
2023-12-17,Edge,11,7269
2023-12-17,Firefox,10,3086
2023-12-17,Chrome,7,1497
2023-12-17,Opera,10,673
2023-12-17,Chrome,8.1,339
2023-12-17,Firefox,7,157
2023-12-16,Chrome,10,31712
2023-12-16,Chrome,11,14136
2023-12-16,Edge,10,8512
2023-12-16,Edge,11,6111
2023-12-16,Firefox,10,2664
2023-12-16,Chrome,7,1359
2023-12-16,Opera,10,500
2023-12-16,Chrome,8.1,268
2023-12-16,Firefox,7,160
2023-12-15,Chrome,10,136378
2023-12-15,Edge,10,59906
2023-12-15,Chrome,11,40708
2023-12-15,Edge,11,19128
2023-12-15,Firefox,10,7178
2023-12-15,Chrome,7,2523
2023-12-15,Opera,10,771
2023-12-15,Chrome,8.1,431
2023-12-15,Firefox,7,191
2023-12-14,Chrome,10,146768
2023-12-14,Edge,10,74813
2023-12-14,Chrome,11,51098
2023-12-14,Edge,11,23770
2023-12-14,Firefox,10,8560
2023-12-14,Chrome,7,2359
2023-12-14,Opera,10,903
2023-12-14,Chrome,8.1,516
2023-12-14,Firefox,7,217
2023-12-13,Chrome,10,151802
2023-12-13,Edge,10,77085
2023-12-13,Chrome,11,54631
2023-12-13,Edge,11,25003
2023-12-13,Firefox,10,8928
2023-12-13,Chrome,7,2321
2023-12-13,Opera,10,945
2023-12-13,Chrome,8.1,548
2023-12-13,Firefox,7,226
2023-12-13,YaBrowser,10,126
2023-12-12,Chrome,10,157001
2023-12-12,Edge,10,75812
2023-12-12,Chrome,11,53527
2023-12-12,Edge,11,25351
2023-12-12,Firefox,10,9038
2023-12-12,Chrome,7,2546
2023-12-12,Opera,10,928
2023-12-12,Chrome,8.1,514
2023-12-12,Firefox,7,232
2023-12-12,YaBrowser,10,121
2023-12-12,Edge,7,113
2023-12-11,Chrome,10,143020
2023-12-11,Edge,10,76924
2023-12-11,Chrome,11,53837
2023-12-11,Edge,11,25645
2023-12-11,Firefox,10,8992
2023-12-11,Chrome,7,2555
2023-12-11,Opera,10,982
2023-12-11,Chrome,8.1,519
2023-12-11,Firefox,7,236
2023-12-11,YaBrowser,10,122
2023-12-11,Chrome,8,110
2023-12-10,Chrome,10,32862
2023-12-10,Chrome,11,25574
2023-12-10,Edge,10,10761
2023-12-10,Edge,11,9921
