date,browser,visits
2024-01-04,Internet Explorer,10
2024-01-03,Internet Explorer,3
2024-01-01,Internet Explorer,2
2023-12-31,Internet Explorer,2
2023-12-30,Internet Explorer,1
2023-12-28,Internet Explorer,3
2023-12-27,Internet Explorer,5
2023-12-26,Internet Explorer,7
2023-12-25,Internet Explorer,2
2023-12-24,Internet Explorer,2
2023-12-23,Internet Explorer,2
2023-12-22,Internet Explorer,2
2023-12-21,Internet Explorer,10
2023-12-20,Internet Explorer,6
2023-12-19,Internet Explorer,6
2023-12-18,Internet Explorer,7
2023-12-17,Internet Explorer,2
2023-12-16,Internet Explorer,2
2023-12-15,Internet Explorer,1
2023-12-14,Internet Explorer,4
2023-12-13,Internet Explorer,3
2023-12-12,Internet Explorer,3
2023-12-11,Internet Explorer,3
2023-12-10,Internet Explorer,4
2023-12-09,Internet Explorer,2
2023-12-08,Internet Explorer,2
2023-12-07,Internet Explorer,1
2023-12-06,Internet Explorer,6
2023-12-05,Internet Explorer,3
2023-12-04,Internet Explorer,5
2023-12-03,Internet Explorer,4
2023-12-02,Internet Explorer,9
2023-12-01,Internet Explorer,2
2023-11-30,Internet Explorer,2
2023-11-29,Internet Explorer,4
2023-11-28,Internet Explorer,4
2023-11-27,Internet Explorer,11
2023-11-26,Internet Explorer,8
2023-11-25,Internet Explorer,4
2023-11-24,Internet Explorer,4
2023-11-23,Internet Explorer,4
2023-11-22,Internet Explorer,6
2023-11-21,Internet Explorer,4
2023-11-20,Internet Explorer,3
2023-11-19,Internet Explorer,1
2023-11-18,Internet Explorer,2
2023-11-17,Internet Explorer,10
2023-11-16,Internet Explorer,11
2023-11-15,Internet Explorer,6
2023-11-14,Internet Explorer,5
2023-11-13,Internet Explorer,7
2023-11-12,Internet Explorer,3
2023-11-11,Internet Explorer,1
2023-11-10,Internet Explorer,2
2023-11-09,Internet Explorer,9
2023-11-08,Internet Explorer,6
2023-11-07,Internet Explorer,5
2023-11-06,Internet Explorer,7
2023-11-05,Internet Explorer,3
2023-11-04,Internet Explorer,1
2023-11-03,Internet Explorer,3
2023-11-02,Internet Explorer,11
2023-11-01,Internet Explorer,15
2023-10-31,Internet Explorer,11
2023-10-30,Internet Explorer,6
2023-10-29,Internet Explorer,4
2023-10-28,Internet Explorer,4
2023-10-27,Internet Explorer,11
2023-10-26,Internet Explorer,7
2023-10-25,Internet Explorer,7
2023-10-24,Internet Explorer,15
2023-10-23,Internet Explorer,13
2023-10-22,Internet Explorer,1
2023-10-21,Internet Explorer,5
2023-10-20,Internet Explorer,18
2023-10-19,Internet Explorer,5
2023-10-18,Internet Explorer,22
2023-10-17,Internet Explorer,13
2023-10-16,Internet Explorer,29
2023-10-15,Internet Explorer,16
2023-10-14,Internet Explorer,9
2023-10-13,Internet Explorer,16
2023-10-12,Internet Explorer,14
2023-10-11,Internet Explorer,14
2023-10-10,Internet Explorer,18
2023-10-09,Internet Explorer,16
2023-10-08,Internet Explorer,19
2023-10-07,Internet Explorer,31
