date,language,visits
2024-01-04,English,112829
2024-01-04,Chinese,1136
2024-01-04,Spanish,348
2024-01-04,Korean,195
2024-01-04,French,153
2024-01-04,German,151
2024-01-04,Portuguese,135
2024-01-04,Japanese,132
2024-01-04,Russian,102
2024-01-04,Italian,83
2024-01-04,Turkish,73
2024-01-04,Arabic,48
2024-01-04,Polish,47
2024-01-04,Dutch,37
2024-01-04,Vietnamese,32
2024-01-04,Swedish,27
2024-01-04,Hebrew,26
2024-01-04,(other),21
2024-01-04,Ukrainian,20
2024-01-04,Danish,19
2024-01-04,Indonesian,18
2024-01-04,Greek,17
2024-01-04,Thai,16
2024-01-04,Czech,14
2024-01-04,Norwegian Bokmål,14
2024-01-04,Finnish,13
2024-01-04,Hungarian,13
2024-01-04,Persian,12
2024-01-04,Romanian,11
2024-01-04,Hindi,10
2024-01-04,Slovak,8
2024-01-04,Croatian,6
2024-01-04,Bulgarian,5
2024-01-04,Slovenian,5
2024-01-04,Latvian,4
2024-01-04,Lithuanian,4
2024-01-04,Uzbek,4
2024-01-04,Catalan,3
2024-01-04,Serbian,2
2024-01-04,Urdu,2
2024-01-04,Belarusian,1
2024-01-04,Burmese,1
2024-01-04,Estonian,1
2024-01-04,Kazakh,1
2024-01-04,Malayalam,1
2024-01-04,Maori,1
2024-01-04,Somali,1
2024-01-04,Tamil,1
2024-01-04,Zulu,1
2024-01-03,English,73088
2024-01-03,Chinese,1089
2024-01-03,Spanish,336
2024-01-03,Korean,229
2024-01-03,French,171
2024-01-03,Portuguese,157
2024-01-03,German,153
2024-01-03,Russian,107
2024-01-03,Turkish,74
2024-01-03,Italian,71
2024-01-03,Japanese,71
2024-01-03,Arabic,68
2024-01-03,Vietnamese,46
2024-01-03,Polish,42
2024-01-03,Swedish,28
2024-01-03,Dutch,27
2024-01-03,Indonesian,22
2024-01-03,(other),19
2024-01-03,Czech,19
2024-01-03,Hebrew,17
2024-01-03,Persian,16
2024-01-03,Thai,15
2024-01-03,Ukrainian,15
2024-01-03,Finnish,14
2024-01-03,Norwegian Bokmål,12
2024-01-03,Greek,11
2024-01-03,Danish,10
2024-01-03,Hindi,8
2024-01-03,Slovak,6
2024-01-03,Bulgarian,5
2024-01-03,Croatian,5
2024-01-03,Hungarian,5
2024-01-03,Romanian,5
2024-01-03,Bengali,4
2024-01-03,Lithuanian,4
2024-01-03,Catalan,3
2024-01-03,Serbian,3
2024-01-03,Estonian,2
2024-01-03,Kinyarwanda,2
2024-01-03,Slovenian,2
2024-01-03,Tamil,2
2024-01-03,Uzbek,2
2024-01-03,Azerbaijani,1
2024-01-03,Burmese,1
2024-01-03,Central Khmer,1
2024-01-03,Georgian,1
2024-01-03,Latvian,1
2024-01-03,Malay,1
2024-01-02,English,63890
2024-01-02,Chinese,1022
2024-01-02,Spanish,342
2024-01-02,Korean,182
2024-01-02,German,138
2024-01-02,French,115
2024-01-02,Portuguese,104
2024-01-02,Russian,88
2024-01-02,Italian,69
2024-01-02,Turkish,68
2024-01-02,Arabic,52
2024-01-02,Japanese,49
2024-01-02,Dutch,40
2024-01-02,Polish,34
2024-01-02,Swedish,28
2024-01-02,Hebrew,26
2024-01-02,Indonesian,26
2024-01-02,Czech,25
2024-01-02,Greek,19
2024-01-02,Vietnamese,19
2024-01-02,Ukrainian,15
2024-01-02,Persian,14
2024-01-02,Thai,13
2024-01-02,Romanian,12
2024-01-02,(other),11
2024-01-02,Danish,10
2024-01-02,Hungarian,10
2024-01-02,Lithuanian,10
2024-01-02,Finnish,9
2024-01-02,Catalan,6
2024-01-02,Bulgarian,5
2024-01-02,Croatian,5
2024-01-02,Slovak,5
2024-01-02,Nepali,3
2024-01-02,Norwegian Bokmål,3
2024-01-02,Basque,1
2024-01-02,Bosnian,1
2024-01-02,Burmese,1
2024-01-02,Icelandic,1
2024-01-02,Latvian,1
2024-01-02,Malay,1
2024-01-02,Slovenian,1
2024-01-02,Welsh,1
2024-01-02,Yoruba,1
2024-01-01,English,30406
2024-01-01,Chinese,861
2024-01-01,Spanish,246
2024-01-01,French,99
2024-01-01,Korean,97
2024-01-01,Russian,70
2024-01-01,German,56
2024-01-01,Turkish,55
2024-01-01,Portuguese,52
2024-01-01,Arabic,39
2024-01-01,Italian,36
2024-01-01,Japanese,36
2024-01-01,Indonesian,22
2024-01-01,Vietnamese,22
2024-01-01,Polish,20
2024-01-01,Swedish,19
2024-01-01,Dutch,18
2024-01-01,Czech,13
2024-01-01,(other),12
2024-01-01,Ukrainian,10
2024-01-01,Hebrew,9
2024-01-01,Persian,8
2024-01-01,Serbian,8
2024-01-01,Thai,8
2024-01-01,Hungarian,7
2024-01-01,Norwegian Bokmål,7
2024-01-01,Greek,6
2024-01-01,Hindi,6
2024-01-01,Romanian,6
2024-01-01,Slovenian,6
2024-01-01,Finnish,4
2024-01-01,Croatian,3
2024-01-01,Danish,3
2024-01-01,Slovak,3
2024-01-01,Bosnian,2
2024-01-01,Bulgarian,2
2024-01-01,Lithuanian,2
2024-01-01,Bengali,1
2024-01-01,Catalan,1
2024-01-01,Estonian,1
2024-01-01,Icelandic,1
2024-01-01,Latvian,1
2024-01-01,Norwegian Nynorsk,1
2024-01-01,Sinhala,1
2024-01-01,Urdu,1
2023-12-31,English,25584
2023-12-31,Chinese,521
2023-12-31,Spanish,211
2023-12-31,Korean,68
2023-12-31,French,58
2023-12-31,German,48
2023-12-31,Russian,45
2023-12-31,Turkish,38
2023-12-31,Japanese,37
2023-12-31,Portuguese,35
2023-12-31,Italian,34
2023-12-31,Dutch,30
2023-12-31,Arabic,29
2023-12-31,Indonesian,26
2023-12-31,Swedish,22
2023-12-31,Polish,21
2023-12-31,Vietnamese,18
2023-12-31,Hebrew,12
2023-12-31,Thai,12
2023-12-31,Czech,11
2023-12-31,Danish,11
2023-12-31,Ukrainian,9
2023-12-31,Norwegian Bokmål,8
2023-12-31,Hindi,6
2023-12-31,Persian,5
2023-12-31,(other),4
2023-12-31,Catalan,4
2023-12-31,Greek,4
2023-12-31,Romanian,4
2023-12-31,Sanskrit,4
2023-12-31,Bulgarian,3
2023-12-31,Finnish,3
2023-12-31,Lithuanian,3
2023-12-31,Croatian,2
2023-12-31,Slovak,2
2023-12-31,Uzbek,2
2023-12-31,Afrikaans,1
2023-12-31,Albanian,1
2023-12-31,Amharic,1
2023-12-31,Hungarian,1
2023-12-31,Icelandic,1
2023-12-31,Latvian,1
2023-12-30,English,34496
2023-12-30,Chinese,608
2023-12-30,Spanish,257
2023-12-30,French,87
2023-12-30,Russian,78
2023-12-30,German,77
2023-12-30,Korean,59
2023-12-30,Portuguese,54
2023-12-30,Japanese,50
2023-12-30,Turkish,44
2023-12-30,Italian,43
2023-12-30,Arabic,41
2023-12-30,Dutch,30
2023-12-30,Indonesian,28
2023-12-30,Swedish,25
2023-12-30,Vietnamese,25
2023-12-30,Polish,20
2023-12-30,Greek,17
2023-12-30,Finnish,14
2023-12-30,Persian,12
2023-12-30,Czech,11
2023-12-30,Danish,11
2023-12-30,Hindi,11
2023-12-30,Ukrainian,11
2023-12-30,Romanian,9
2023-12-30,Hebrew,8
2023-12-30,Thai,7
2023-12-30,(other),6
2023-12-30,Hungarian,6
2023-12-30,Norwegian Bokmål,6
2023-12-30,Bulgarian,3
2023-12-30,Croatian,3
2023-12-30,Catalan,2
2023-12-30,Icelandic,2
2023-12-30,Serbian,2
2023-12-30,Slovak,2
2023-12-30,Afrikaans,1
2023-12-30,Burmese,1
2023-12-30,Estonian,1
2023-12-30,Gujarati,1
2023-12-30,Irish,1
2023-12-30,Latvian,1
2023-12-30,Sanskrit,1
2023-12-30,Slovenian,1
2023-12-30,Uzbek,1
2023-12-29,English,51274
2023-12-29,Chinese,762
2023-12-29,Spanish,281
2023-12-29,French,114
2023-12-29,Korean,104
2023-12-29,Russian,91
2023-12-29,German,78
2023-12-29,Portuguese,66
2023-12-29,Italian,61
2023-12-29,Japanese,55
2023-12-29,Turkish,50
2023-12-29,Indonesian,33
2023-12-29,Polish,32
2023-12-29,Arabic,29
2023-12-29,Dutch,25
2023-12-29,Ukrainian,19
2023-12-29,Vietnamese,14
2023-12-29,Greek,13
2023-12-29,Persian,12
2023-12-29,Hungarian,11
2023-12-29,Swedish,11
2023-12-29,Czech,9
2023-12-29,Hebrew,9
2023-12-29,Romanian,8
2023-12-29,(other),7
2023-12-29,Croatian,7
2023-12-29,Finnish,7
2023-12-29,Norwegian Bokmål,7
2023-12-29,Catalan,5
2023-12-29,Hindi,5
2023-12-29,Slovenian,5
2023-12-29,Thai,5
2023-12-29,Albanian,3
2023-12-29,Danish,3
2023-12-29,Bulgarian,2
2023-12-29,Estonian,2
2023-12-29,Latvian,2
2023-12-29,Macedonian,2
2023-12-29,Slovak,2
2023-12-29,Azerbaijani,1
2023-12-29,Gaelic,1
2023-12-29,Galician,1
2023-12-29,Georgian,1
2023-12-29,Kalaallisut,1
2023-12-29,Yoruba,1
2023-12-28,English,53834
2023-12-28,Chinese,1019
2023-12-28,Spanish,221
2023-12-28,Korean,137
2023-12-28,Russian,110
2023-12-28,French,81
2023-12-28,Portuguese,73
2023-12-28,German,69
2023-12-28,Japanese,62
2023-12-28,Turkish,55
2023-12-28,Italian,53
2023-12-28,Vietnamese,30
2023-12-28,Dutch,29
2023-12-28,Indonesian,28
2023-12-28,Arabic,27
2023-12-28,Polish,23
2023-12-28,Hebrew,20
2023-12-28,Greek,17
2023-12-28,Swedish,17
2023-12-28,Danish,14
2023-12-28,Finnish,13
2023-12-28,(other),11
