date,screen_resolution,visits
2024-01-04,1280x960,38740
2024-01-04,1920x1080,15834
2024-01-04,1440x900,6551
2024-01-04,1536x864,5652
2024-01-04,1024x768,5160
2024-01-04,1280x720,4894
2024-01-04,2560x1440,4057
2024-01-04,390x844,2232
2024-01-04,1366x768,2187
2024-01-04,1512x982,2145
2024-01-04,800x600,2044
2024-01-04,1280x800,1448
2024-01-04,1728x1117,1331
2024-01-04,1680x1050,1283
2024-01-04,1920x1200,1185
2024-01-04,1470x956,1133
2024-01-04,3440x1440,1004
2024-01-04,1792x1120,878
2024-01-04,414x896,865
2024-01-04,1536x960,840
2024-01-04,428x926,784
2024-01-04,375x812,763
2024-01-04,393x852,760
2024-01-04,2048x1152,644
2024-01-04,430x932,612
2024-01-04,1600x900,589
2024-01-04,412x915,539
2024-01-04,360x800,455
2024-01-04,2560x1080,429
2024-01-04,375x667,406
2024-01-04,1368x912,320
2024-01-04,810x1080,275
2024-01-04,1710x1107,269
2024-01-04,2240x1260,265
2024-01-04,360x780,260
2024-01-04,1024x1024,251
2024-01-04,1707x960,241
2024-01-04,1504x1003,234
2024-01-04,1707x1067,216
2024-01-04,1280x1024,211
2024-01-04,3840x1600,193
2024-01-04,412x892,189
2024-01-04,1024x1366,182
2024-01-04,1440x960,156
2024-01-04,820x1180,155
2024-01-04,384x854,154
2024-01-04,3840x2160,141
2024-01-04,5120x1440,141
2024-01-04,3840x1080,140
2024-01-04,1024x2160,138
2024-01-04,3008x1692,134
2024-01-04,393x873,133
2024-01-04,834x1194,125
2024-01-04,385x854,121
2024-01-04,1344x840,118
2024-01-04,414x736,118
2024-01-04,2752x1152,117
2024-01-04,1500x1000,115
2024-01-04,320x693,110
2024-01-04,412x869,108
2024-01-04,1600x1067,103
2024-01-04,1517x852,96
2024-01-04,1352x878,95
2024-01-04,2195x1235,93
2024-01-04,384x857,93
2024-01-04,1664x1110,91
2024-01-04,1800x1169,87
2024-01-04,1440x3210,84
2024-01-04,768x1024,84
2024-01-04,360x760,81
2024-01-04,384x824,80
