domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
www.nsf.gov,1134291,857119,1986795,1.7515743314546268,137.61251914983632,0.56382885873201849
new.nsf.gov,529610,360041,895065,1.6900455051830592,169.25306296351087,0.49092162157058966
www.research.gov,263565,66385,1115145,4.231005634283763,359.95117136786371,0.33823914404416366
seedfund.nsf.gov,108494,82820,176107,1.6231957527605214,126.20313330391544,0.52943019890500853
ncses.nsf.gov,50358,34707,97060,1.9273998173080742,252.55316565830654,0.39626275864807975
meetings.nsf.gov,19185,6927,56396,2.9395882199635133,364.04454541084181,0.17659629919207714
extsharepoint.nsf.gov,19020,3677,148738,7.8200841219768664,1016.1478420595164,0.15583596214511042
search.nsf.gov,18274,14384,32318,1.768523585421911,75.2658863622086,0.068293750684031956
ncsesdata.nsf.gov,7518,5494,18369,2.4433359936153232,203.82639885301941,0.38494280393721736
web.acpt.research.gov,7006,5429,39609,5.6535826434484724,177.88958214815869,0.24364830145589494
www.fastlane.nsf.gov,4914,3063,10620,2.161172161172161,305.45468590557584,0.23483923483923483
fastlane.nsf.gov,4736,3309,7049,1.4883868243243243,217.67863513830235,0.22191722972972974
www.meetings.nsf.gov,2406,1282,6349,2.63881961762261,366.38833526475474,0.1142975893599335
help.extsharepoint.nsf.gov,1379,1132,4444,3.222625090645395,256.68297381653372,0.36185641769398114
sac.gov,755,705,1300,1.7218543046357615,36.628555033112583,0.67947019867549674
web.dev.research.gov,699,312,3004,4.2975679542203151,399.92968127896995,0.25464949928469244
www.acpt.nsf.gov,665,278,1790,2.6917293233082709,401.5543632676692,0.28872180451127821
web.intg.research.gov,619,250,2700,4.3618739903069468,354.20152911631664,0.23263327948303716
www.sac.gov,584,532,1299,2.2243150684931505,78.993569804794518,0.59246575342465757
www.ncses.nsf.gov,583,461,874,1.4991423670668953,151.15724714579761,0.57804459691252141
