domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.research.gov,www.research.gov/research-web/,Research.gov - Homepage,225394,206486,55894,1.091570372809779,111.32283271632458,0.3132464186433947
www.nsf.gov,www.nsf.gov/,NSF - National Science Foundation,204288,192906,178029,1.0590028303940779,31.740666162815049,0.66785377334038343
www.nsf.gov,www.nsf.gov/news/mmg/mmg_disp.jsp,"Multimedia Gallery - Who is NSF? | NSF - National Science Foundation",168362,171096,168702,0.98402066676018141,5.548395592082807,0.62169191564969373
www.nsf.gov,www.nsf.gov/crssprgm/reu/list_result.jsp,"REU Sites | NSF - National Science Foundation",157701,59358,35328,2.6567775194582026,341.3657863197547,0.29487179487179488
www.research.gov,www.research.gov/research-web/,Research.gov - NSF User Landing Page,137128,121304,36777,1.130449119567368,110.30739855672526,0.074877992481698866
www.research.gov,www.research.gov/gapps-web/gapps/searchResults,Research.gov - Proposal Status - Search Results,108035,71296,19037,1.5153024012567324,126.91278629477108,0.084969703770197483
seedfund.nsf.gov,seedfund.nsf.gov/next/,"America’s Seed Fund powered by NSF. | NSF SBIR",77722,71232,64548,1.0911107367475292,52.675737342318058,0.58629548517520214
www.nsf.gov,www.nsf.gov/news/special_reports/apps/,"Science Zone | National Science Foundation",66700,67039,68121,0.99494324199346651,5.82877682774206,0.32598934948313668
new.nsf.gov,new.nsf.gov/,NSF - National Science Foundation,65462,67214,64344,0.97393400184485379,3.0651125824381826,0.98524116999434641
www.nsf.gov,www.nsf.gov/awardsearch/advancedSearchResult,NSF Award Search: Advanced Search Results.,60764,42203,23684,1.4398028576167572,143.13021664564133,0.19453593346444564
www.research.gov,www.research.gov/gapps-web/gapps/viewDetail,Research.gov - Proposal Status - Application Detail,59606,31915,12351,1.8676484411718628,131.31443075848347,0.077988406705310986
www.nsf.gov,www.nsf.gov/crssprgm/reu/reu_search.jsp,"Search for an REU Site | NSF - National Science Foundation",55420,37672,28512,1.4711191335740073,81.068715359258874,0.15427904013590996
www.research.gov,www.research.gov/rppr-web/rppr,RPPR - Report Entry - Participants & Other Collaborating Organizations,53214,8633,4539,6.1640217769025831,208.04413339893432,0.056411444457314955
www.nsf.gov,www.nsf.gov/awardsearch/simpleSearchResult,NSF Award Search: Simple Search Results.,52763,28740,14955,1.8358733472512179,163.73235821409187,0.19015309672929714
www.research.gov,www.research.gov/rppr-web/rppr,RPPR - Report Entry - Products,45321,9657,4640,4.6930723827275553,308.0269239648959,0.059024541783162472
new.nsf.gov,new.nsf.gov/funding/opportunities,"Funding search | NSF - National Science Foundation",38538,26178,19655,1.4721521888608755,109.55423567656048,0.17480326992130796
www.research.gov,www.research.gov/rppr-web/rppr,RPPR - Reports Due,37365,21978,9872,1.7001092001092002,73.955862635135134,0.031486031486031484
www.research.gov,www.research.gov/rppr-web/rppr,RPPR - Report Entry - Accomplishments,34530,12895,4967,2.6777820860798758,541.5944732035673,0.106863125242342
www.nsf.gov,www.nsf.gov/vpv404/geo/outreach/lightning-talks/AGU22LightningTalks Schedule.pdf,"404 - Page Not Found | NSF - National Science Foundation",33143,33203,33200,0.9981929343734,6.1803691062855766,0.81715507634852269
www.nsf.gov,www.nsf.gov/crssprgm/reu/,"REU - For Students | NSF - National Science Foundation",31726,28521,23181,1.1123733389432349,89.144192483012517,0.23908698853476384
