domain,page,page_title,pageviews
www.nsf.gov,www.nsf.gov/,NSF - National Science Foundation,69585
www.research.gov,www.research.gov/research-web/,Research.gov - Homepage,47074
www.nsf.gov,www.nsf.gov/crssprgm/reu/list_result.jsp,"REU Sites | NSF - National Science Foundation",43738
www.research.gov,www.research.gov/research-web/,Research.gov - NSF User Landing Page,28393
www.research.gov,www.research.gov/gapps-web/gapps/searchResults,Research.gov - Proposal Status - Search Results,22598
www.nsf.gov,www.nsf.gov/pubs/2024/nsf24523/nsf24523.htm,"Expanding Capacity in Quantum Information Science and Engineering (ExpandQISE) (nsf24523) | NSF - National Science Foundation",19350
seedfund.nsf.gov,seedfund.nsf.gov/next/,"America’s Seed Fund powered by NSF. | NSF SBIR",17570
www.research.gov,www.research.gov/rppr-web/rppr,RPPR - Report Entry - Participants & Other Collaborating Organizations,15344
new.nsf.gov,new.nsf.gov/,NSF - National Science Foundation,15199
www.nsf.gov,www.nsf.gov/crssprgm/reu/reu_search.jsp,"Search for an REU Site | NSF - National Science Foundation",14747
www.nsf.gov,www.nsf.gov/awardsearch/advancedSearchResult,NSF Award Search: Advanced Search Results.,13246
www.research.gov,www.research.gov/rppr-web/rppr,RPPR - Report Entry - Products,13106
www.research.gov,www.research.gov/gapps-web/gapps/viewDetail,Research.gov - Proposal Status - Application Detail,13062
www.nsf.gov,www.nsf.gov/awardsearch/simpleSearchResult,NSF Award Search: Simple Search Results.,11520
www.nsf.gov,www.nsf.gov/news/mmg/mmg_disp.jsp,"Multimedia Gallery - Who is NSF? | NSF - National Science Foundation",11031
www.research.gov,www.research.gov/rppr-web/rppr,RPPR - Reports Due,10798
www.research.gov,www.research.gov/rppr-web/rppr,RPPR - Report Entry - Accomplishments,10127
www.research.gov,www.research.gov/rppr-web/rppr,RPPR - Report Entry - View/Edit Participant,9158
www.research.gov,www.research.gov/rppr-web/rppr,RPPR - Report Entry - Cover,9022
www.nsf.gov,www.nsf.gov/crssprgm/reu/,"REU - For Students | NSF - National Science Foundation",8433
