date,browser,os_version,visits
2024-01-04,Internet Explorer,10,10
2024-01-03,Internet Explorer,7,2
2024-01-03,Internet Explorer,10,1
2024-01-01,Internet Explorer,7,1
2024-01-01,Internet Explorer,Vista,1
2023-12-31,Internet Explorer,3.1,1
2023-12-30,Internet Explorer,10,1
2023-12-28,Internet Explorer,7,2
2023-12-28,Internet Explorer,Server 2003,1
2023-12-27,Internet Explorer,10,5
2023-12-26,Internet Explorer,10,5
2023-12-26,Internet Explorer,7,1
2023-12-26,Internet Explorer,8.1,1
2023-12-25,Internet Explorer,7,1
2023-12-25,Internet Explorer,XP,1
2023-12-24,Internet Explorer,8.1,2
2023-12-23,Internet Explorer,10,2
2023-12-22,Internet Explorer,10,2
2023-12-21,Internet Explorer,10,3
2023-12-21,Internet Explorer,8,3
2023-12-21,Internet Explorer,XP,2
2023-12-21,Internet Explorer,7,1
2023-12-21,Internet Explorer,NT,1
2023-12-20,Internet Explorer,10,4
2023-12-20,Internet Explorer,7,2
2023-12-19,Internet Explorer,10,5
2023-12-18,Internet Explorer,10,5
2023-12-18,Internet Explorer,XP,1
2023-12-17,Internet Explorer,7,1
2023-12-17,Internet Explorer,8.1,1
2023-12-16,Internet Explorer,10,2
2023-12-15,Internet Explorer,7,1
2023-12-14,Internet Explorer,10,1
2023-12-14,Internet Explorer,7,1
2023-12-14,Internet Explorer,8.1,1
2023-12-13,Internet Explorer,7,2
2023-12-13,Internet Explorer,95,1
2023-12-12,Internet Explorer,10,2
2023-12-12,Internet Explorer,98,1
2023-12-11,Internet Explorer,7,2
2023-12-11,Internet Explorer,10,1
2023-12-10,Internet Explorer,10,2
2023-12-10,Internet Explorer,7,2
2023-12-09,Internet Explorer,8,1
2023-12-09,Internet Explorer,Vista,1
2023-12-08,Internet Explorer,7,2
2023-12-07,Internet Explorer,10,1
2023-12-06,Internet Explorer,10,3
2023-12-06,Internet Explorer,8,1
2023-12-06,Internet Explorer,8.1,1
2023-12-05,Internet Explorer,10,2
2023-12-05,Internet Explorer,7,1
2023-12-04,Internet Explorer,10,2
2023-12-04,Internet Explorer,7,1
2023-12-04,Internet Explorer,Vista,1
2023-12-03,Internet Explorer,10,2
2023-12-03,Internet Explorer,7,1
2023-12-03,Internet Explorer,Server 2003,1
2023-12-02,Internet Explorer,10,5
2023-12-02,Internet Explorer,7,1
2023-12-02,Internet Explorer,CE,1
2023-12-02,Internet Explorer,Vista,1
2023-12-02,Internet Explorer,XP,1
2023-12-01,Internet Explorer,10,1
2023-12-01,Internet Explorer,8.1,1
2023-11-30,Internet Explorer,7,2
2023-11-29,Internet Explorer,7,2
2023-11-29,Internet Explorer,10,1
2023-11-29,Internet Explorer,NT,1
2023-11-28,Internet Explorer,10,2
2023-11-28,Internet Explorer,7,1
2023-11-28,Internet Explorer,XP,1
2023-11-27,Internet Explorer,10,9
2023-11-27,Internet Explorer,7,1
2023-11-27,Internet Explorer,8.1,1
2023-11-26,Internet Explorer,10,3
2023-11-26,Internet Explorer,7,2
2023-11-26,Internet Explorer,XP,2
2023-11-26,Internet Explorer,8.1,1
2023-11-25,Internet Explorer,10,3
2023-11-25,Internet Explorer,7,1
2023-11-24,Internet Explorer,10,2
2023-11-24,Internet Explorer,2000,1
2023-11-24,Internet Explorer,NT,1
2023-11-23,Internet Explorer,XP,2
2023-11-23,Internet Explorer,10,1
2023-11-23,Internet Explorer,7,1
2023-11-22,Internet Explorer,10,4
2023-11-22,Internet Explorer,7,2
2023-11-21,Internet Explorer,10,2
2023-11-21,Internet Explorer,7,1
2023-11-21,Internet Explorer,XP,1
2023-11-20,Internet Explorer,10,3
2023-11-19,Internet Explorer,8,1
2023-11-18,Internet Explorer,10,1
2023-11-18,Internet Explorer,NT,1
2023-11-17,Internet Explorer,10,9
2023-11-17,Internet Explorer,8,1
2023-11-17,Internet Explorer,Vista,1
2023-11-16,Internet Explorer,10,9
2023-11-16,Internet Explorer,7,1
2023-11-16,Internet Explorer,XP,1
2023-11-15,Internet Explorer,7,2
2023-11-15,Internet Explorer,10,1
2023-11-15,Internet Explorer,Vista,1
2023-11-15,Internet Explorer,XP,1
2023-11-14,Internet Explorer,10,5
2023-11-13,Internet Explorer,10,2
2023-11-13,Internet Explorer,7,1
2023-11-13,Internet Explorer,8,1
2023-11-13,Internet Explorer,8.1,1
2023-11-13,Internet Explorer,CE,1
