date,os_version,visits
2024-01-04,10,63058
2024-01-04,11,12075
2024-01-04,7,652
2024-01-04,8.1,218
2024-01-04,8,34
2024-01-04,XP,5
2024-01-04,NT,2
2024-01-04,Server 2003,1
2024-01-03,10,24163
2024-01-03,11,11456
2024-01-03,7,587
2024-01-03,8.1,187
2024-01-03,NT,68
2024-01-03,8,20
2024-01-03,XP,5
2024-01-02,10,21728
2024-01-02,11,10421
2024-01-02,7,834
2024-01-02,8.1,198
2024-01-02,8,31
2024-01-02,NT,7
2024-01-02,XP,4
2024-01-02,2000,1
2024-01-02,Server 2003,1
2024-01-01,10,5933
2024-01-01,11,4157
2024-01-01,7,341
2024-01-01,8.1,168
2024-01-01,8,24
2024-01-01,NT,12
2024-01-01,XP,3
2024-01-01,Vista,2
2024-01-01,Server 2003,1
2023-12-31,10,4867
2023-12-31,11,2900
2023-12-31,7,425
2023-12-31,8.1,130
2023-12-31,8,21
2023-12-31,NT,7
2023-12-31,XP,7
2023-12-31,3.1,1
2023-12-31,Vista,1
2023-12-30,10,10849
2023-12-30,11,3880
2023-12-30,7,371
2023-12-30,8.1,114
2023-12-30,8,24
2023-12-30,XP,6
2023-12-30,NT,4
2023-12-30,Vista,2
2023-12-30,Server 2003,1
2023-12-29,10,22176
2023-12-29,11,5479
2023-12-29,7,505
2023-12-29,8.1,152
2023-12-29,8,21
2023-12-29,NT,9
2023-12-29,Vista,4
2023-12-29,XP,3
2023-12-28,10,24556
2023-12-28,11,5758
2023-12-28,7,514
2023-12-28,8.1,179
2023-12-28,8,23
2023-12-28,NT,8
2023-12-28,XP,6
2023-12-28,Server 2003,1
2023-12-28,Vista,1
2023-12-27,10,19805
2023-12-27,11,5327
2023-12-27,7,477
2023-12-27,8.1,178
2023-12-27,8,29
2023-12-27,NT,4
2023-12-27,XP,2
2023-12-26,10,12575
2023-12-26,11,4394
2023-12-26,7,476
2023-12-26,8.1,174
2023-12-26,8,46
2023-12-26,NT,4
2023-12-26,XP,1
2023-12-25,10,3787
2023-12-25,11,2627
2023-12-25,7,375
2023-12-25,8.1,169
2023-12-25,8,24
2023-12-25,NT,2
2023-12-25,Vista,2
2023-12-25,XP,2
2023-12-25,2000,1
2023-12-24,10,4022
2023-12-24,11,2349
2023-12-24,7,353
2023-12-24,8.1,103
2023-12-24,8,12
2023-12-24,NT,3
2023-12-24,XP,3
2023-12-24,Vista,1
2023-12-23,10,5569
2023-12-23,11,2699
2023-12-23,7,698
2023-12-23,8.1,92
2023-12-23,8,30
2023-12-23,XP,7
2023-12-23,NT,5
2023-12-23,2000,1
2023-12-23,Vista,1
2023-12-22,10,45266
2023-12-22,11,5643
2023-12-22,7,834
2023-12-22,8.1,109
2023-12-22,8,23
2023-12-22,NT,5
2023-12-22,Vista,1
2023-12-22,XP,1
2023-12-21,10,23843
2023-12-21,11,8197
2023-12-21,7,634
2023-12-21,8.1,175
2023-12-21,8,26
2023-12-21,XP,8
2023-12-21,NT,6
2023-12-21,Vista,2
2023-12-20,10,30996
2023-12-20,11,10080
2023-12-20,7,728
2023-12-20,8.1,146
2023-12-20,8,27
2023-12-20,XP,7
2023-12-20,Vista,5
2023-12-20,(not set),1
2023-12-20,NT,1
2023-12-19,10,28025
2023-12-19,11,10580
2023-12-19,7,523
2023-12-19,8.1,170
2023-12-19,8,33
2023-12-19,XP,4
2023-12-19,Vista,3
2023-12-19,NT,1
2023-12-18,10,43041
2023-12-18,11,10966
2023-12-18,7,578
2023-12-18,8.1,167
2023-12-18,8,24
2023-12-18,XP,6
2023-12-18,NT,5
2023-12-18,Server 2003,2
2023-12-17,10,9107
2023-12-17,11,4032
2023-12-17,7,411
2023-12-17,8.1,109
2023-12-17,8,21
2023-12-17,NT,7
2023-12-17,XP,4
2023-12-17,Vista,3
2023-12-16,10,13884
2023-12-16,11,3365
2023-12-16,7,459
2023-12-16,8.1,111
2023-12-16,8,15
2023-12-16,NT,5
2023-12-16,XP,5
2023-12-15,10,94374
2023-12-15,11,9606
2023-12-15,7,622
2023-12-15,8.1,155
2023-12-15,8,30
2023-12-15,XP,19
2023-12-15,NT,7
2023-12-15,Vista,3
2023-12-15,Server 2003,1
2023-12-14,10,32564
2023-12-14,11,11360
2023-12-14,7,655
2023-12-14,8.1,185
2023-12-14,8,25
2023-12-14,NT,7
2023-12-14,XP,6
2023-12-14,Server 2003,2
2023-12-14,98,1
2023-12-13,10,31419
2023-12-13,11,11299
2023-12-13,7,665
2023-12-13,8.1,182
2023-12-13,8,17
2023-12-13,NT,5
2023-12-13,95,1
2023-12-13,Server 2003,1
2023-12-13,Vista,1
2023-12-13,XP,1
2023-12-12,10,40624
2023-12-12,11,11497
2023-12-12,7,573
2023-12-12,8.1,225
2023-12-12,8,22
2023-12-12,NT,6
2023-12-12,XP,2
2023-12-12,98,1
2023-12-12,Server 2003,1
2023-12-12,Vista,1
2023-12-11,10,40647
2023-12-11,11,11975
2023-12-11,7,541
2023-12-11,8.1,112
2023-12-11,8,26
2023-12-11,NT,10
2023-12-11,XP,6
2023-12-11,Vista,3
2023-12-10,10,7636
2023-12-10,11,4610
2023-12-10,7,308
2023-12-10,8.1,115
2023-12-10,8,26
2023-12-10,NT,4
