date,mobile_device,visits
2023-09-02,(not set),1195
2023-09-02,1811,1
2023-09-02,1814,1
2023-09-02,1816,1
2023-09-02,1819,1
2023-09-02,1902,1
2023-09-02,1907,2
2023-09-02,1908,1
2023-09-02,1935,1
2023-09-02,2019,1
2023-09-02,220333QBI,1
2023-09-02,22041219PI,1
2023-09-02,22101316C,1
2023-09-02,22101320I,1
2023-09-02,22127RK46C,1
2023-09-02,23028RN4DI,1
2023-09-02,5003D_EEA,1
2023-09-02,5033XR,1
2023-09-02,9137W,1
2023-09-02,A509W,1
2023-09-02,ATU-L22,1
2023-09-02,ATU-L31,1
2023-09-02,BC1s,1
2023-09-02,BC2,1
2023-09-02,BD2,1
2023-09-02,BD2d,1
2023-09-02,BD4,1
2023-09-02,BD4a,1
2023-09-02,BMH-AN20,1
2023-09-02,C20,1
2023-09-02,C6743,1
2023-09-02,CPH1803,1
2023-09-02,CPH1819,1
2023-09-02,CPH1909,2
2023-09-02,CPH1937,1
2023-09-02,CPH1938,4
2023-09-02,CPH1955,1
2023-09-02,CPH2001,1
2023-09-02,CPH2015,2
2023-09-02,CPH2061,1
2023-09-02,CPH2083,2
2023-09-02,CPH2127,1
2023-09-02,CPH2179,2
2023-09-02,CPH2185,1
2023-09-02,CPH2235,1
2023-09-02,CPH2269,1
2023-09-02,CPH2325,1
2023-09-02,CPH2337,1
2023-09-02,CPH2373,1
2023-09-02,CPH2381,1
2023-09-02,CPH2385,1
2023-09-02,CPH2387,1
2023-09-02,CPH2401,1
2023-09-02,CPH2473,2
2023-09-02,CPH2477,2
2023-09-02,D2212,1
2023-09-02,DE2118,1
2023-09-02,DN2101,1
2023-09-02,DRA-LX2,1
2023-09-02,DUB-LX1,1
2023-09-02,E7533,1
2023-09-02,ELS-AN00,1
2023-09-02,Edge 30 Ultra,1
2023-09-02,Firefox for Android,17
2023-09-02,HD1900,6
2023-09-02,INE-LX1r,1
2023-09-02,J701F,1
2023-09-02,JLN-AL00,2
2023-09-02,JLN-LX1,1
2023-09-02,KD6,1
2023-09-02,KE6,1
2023-09-02,KF8,1
2023-09-02,KFASWI,1
2023-09-02,KFGIWI,1
2023-09-02,KFKAWI,2
2023-09-02,KFMAWI,1
2023-09-02,KFONWI,1
2023-09-02,KFTRWI,1
2023-09-02,KG5j,1
2023-09-02,KSFUWI,1
2023-09-02,L6502,1
2023-09-02,LF7,1
2023-09-02,LIO-AN00,3
2023-09-02,M2002J9G,1
2023-09-02,M2006C3LI,1
2023-09-02,M2006C3LII,1
2023-09-02,M2006C3MII,2
2023-09-02,M2007J17C,1
2023-09-02,M2007J20CI,1
2023-09-02,M2010J19CI,1
2023-09-02,M2101K7AI,1
2023-09-02,M2103K19I,1
2023-09-02,M8L PLUS,1
2023-09-02,MED-LX9,1
2023-09-02,Moto G 5G (2022),1
2023-09-02,Moto G Power,1
