date,browser,visits
2024-01-04,Chrome,494859
2024-01-04,Safari,308868
2024-01-04,Edge,291186
2024-01-04,Safari (in-app),37727
2024-01-04,Firefox,15898
2024-01-04,Samsung Internet,12451
2024-01-04,Android Webview,11800
2024-01-04,(not set),1249
2024-01-04,Opera,923
2024-01-04,Amazon Silk,554
2024-01-04,Mozilla Compatible Agent,410
2024-01-04,Internet Explorer,177
2024-01-04,YaBrowser,28
2024-01-04,Whale Browser,11
2024-01-04,DuckDuckGo Browser,8
2024-01-04,Waterfox,8
2024-01-04,Meta Quest Browser,6
2024-01-04,Coc Coc,5
2024-01-04,Iron,5
2024-01-04,Aloha Browser,4
2024-01-04,Android Runtime,4
2024-01-04,SeaMonkey,4
2024-01-04,Opera Mini,3
2024-01-04,PaleMoon,3
2024-01-04,UC Browser,3
2024-01-04,NetFront,1
2024-01-04,Phoenix Browser,1
2024-01-04,Puffin,1
2024-01-03,Chrome,518796
2024-01-03,Safari,334287
2024-01-03,Edge,312671
2024-01-03,Safari (in-app),36753
2024-01-03,Firefox,15692
2024-01-03,Samsung Internet,13242
2024-01-03,Android Webview,11541
2024-01-03,(not set),1516
2024-01-03,Opera,945
2024-01-03,Amazon Silk,654
2024-01-03,Mozilla Compatible Agent,501
2024-01-03,Internet Explorer,159
2024-01-03,YaBrowser,22
2024-01-03,Whale Browser,13
2024-01-03,Iron,11
2024-01-03,UC Browser,9
2024-01-03,Waterfox,9
2024-01-03,DuckDuckGo Browser,8
2024-01-03,Aloha Browser,5
2024-01-03,Meta Quest Browser,5
2024-01-03,Opera Mini,3
2024-01-03,Coc Coc,1
2024-01-03,Mozilla,1
2024-01-03,Phoenix Browser,1
2024-01-03,SeaMonkey,1
2024-01-02,Chrome,498486
2024-01-02,Safari,316159
2024-01-02,Edge,293337
2024-01-02,Safari (in-app),29904
2024-01-02,Firefox,15586
2024-01-02,Samsung Internet,12848
2024-01-02,Android Webview,10357
2024-01-02,(not set),1320
2024-01-02,Opera,863
2024-01-02,Amazon Silk,585
2024-01-02,Mozilla Compatible Agent,398
2024-01-02,Internet Explorer,126
2024-01-02,YaBrowser,19
2024-01-02,Whale Browser,13
2024-01-02,Aloha Browser,12
2024-01-02,Iron,8
2024-01-02,DuckDuckGo Browser,7
2024-01-02,Meta Quest Browser,5
2024-01-02,Waterfox,4
2024-01-02,Coc Coc,3
2024-01-02,SeaMonkey,2
2024-01-02,Seznam,2
2024-01-02,UC Browser,2
2024-01-02,Android Browser,1
2024-01-02,Android Runtime,1
2024-01-02,BrowserNG,1
2024-01-02,PaleMoon,1
2024-01-01,Chrome,223976
2024-01-01,Safari,199241
2024-01-01,Edge,79698
2024-01-01,Safari (in-app),17658
2024-01-01,Samsung Internet,7913
2024-01-01,Android Webview,7598
2024-01-01,Firefox,6997
2024-01-01,(not set),989
2024-01-01,Opera,570
2024-01-01,Amazon Silk,510
2024-01-01,Mozilla Compatible Agent,306
2024-01-01,Internet Explorer,12
2024-01-01,YaBrowser,12
