date,mobile_device,visits
2024-01-04,iPhone,319053
2024-01-04,Edge,290085
2024-01-04,Chrome,286372
2024-01-04,Safari,94510
2024-01-04,(not set),25874
2024-01-04,Firefox,12283
2024-01-04,SM-S908U,7654
2024-01-04,SM-S918U,7487
2024-01-04,ChromeBook,6941
2024-01-04,SM-S901U,4888
2024-01-04,iPad,4662
2024-01-04,SM-G991U,4286
2024-01-04,SM-G998U,3812
2024-01-04,SM-S911U,3778
2024-01-04,SM-S906U,2924
2024-01-04,SM-S916U,2887
2024-01-04,SM-G996U,2050
2024-01-04,iPhone 13,2011
2024-01-04,Pixel 7 Pro,1990
2024-01-04,Pixel 7,1943
2024-01-04,Pixel 6,1923
2024-01-04,iPhone 13 Pro Max,1857
2024-01-04,iPhone 14 Pro Max,1842
2024-01-04,SM-N986U,1838
2024-01-04,SM-G781U,1768
2024-01-04,SM-A146U,1578
2024-01-04,SM-S918U1,1564
2024-01-04,Pixel 6a,1503
2024-01-04,iPhone 11,1481
2024-01-04,SM-S908U1,1348
2024-01-04,iPhone 13 Pro,1330
2024-01-04,Pixel 6 Pro,1325
2024-01-04,SM-G973U,1310
2024-01-04,iPhone 14 Pro,1286
2024-01-04,SM-G970U,1146
2024-01-04,SM-G975U,1114
2024-01-04,iPhone 14,1110
2024-01-04,SM-G781V,1094
2024-01-04,iPhone 12,1067
2024-01-04,SM-A326B,1066
2024-01-04,SM-N981U,1055
2024-01-04,SM-G960U,1048
2024-01-04,SM-G986U,1015
2024-01-04,Firefox for Android,1000
2024-01-04,SM-G990U,960
2024-01-04,SM-F936U,933
2024-01-04,Pixel 8 Pro,885
2024-01-04,SM-N960U,870
2024-01-04,SM-A136U,865
2024-01-04,SM-N975U,792
2024-01-04,SM-G965U,766
2024-01-04,SM-G981U,714
2024-01-04,Opera,707
2024-01-04,Pixel 7a,704
2024-01-04,Moto G Stylus 5G,690
2024-01-04,SM-F926U,684
2024-01-04,SM-F711U,681
2024-01-04,SM-A037U,680
2024-01-04,SM-F946U,656
2024-01-04,iPhone 12 Pro,643
2024-01-04,SM-G990U2,641
2024-01-04,iPhone XR,618
2024-01-04,SM-F721U,598
2024-01-04,SM-G998U1,594
2024-01-04,Pixel 8,580
2024-01-04,SM-A536U,578
2024-01-04,SM-F731U,578
2024-01-04,SM-G991U1,564
2024-01-04,SM-A716U,546
2024-01-04,SM-S901U1,536
2024-01-04,SM-A546U,527
2024-01-04,iPhone 14 Plus,527
2024-01-04,Moto G 5G (2022),516
2024-01-04,Edge 5G UW,511
2024-01-04,SM-G988U,494
2024-01-04,Moto G Stylus 5G (2022),492
2024-01-04,SM-N986U1,473
2024-01-04,SM-N970U,472
2024-01-04,SM-G781U1,453
2024-01-04,SM-G950U,452
2024-01-04,Pixel 5,449
2024-01-04,Moto G Power (2022),438
2024-01-04,moto g pure,434
2024-01-04,SM-A526U,426
2024-01-04,SM-S906U1,409
2024-01-04,iPhone SE (2nd generation),398
2024-01-04,Moto G Power (2021),396
2024-01-04,SM-A426U,394
2024-01-04,iPhone 11 Pro Max,389
2024-01-04,Pixel 4a,377
2024-01-04,SM-N950U,365
2024-01-04,SM-A125U,355
2024-01-04,SM-S916U1,352
2024-01-04,SM-S911U1,340
2024-01-04,one 5G ace,325
2024-01-04,moto g play (2023),320
2024-01-04,SM-G973U1,316
2024-01-04,SM-G996U1,315
2024-01-04,SM-S711U,307
2024-01-04,SM-F946U1,294
2024-01-04,SM-A037F,284
2024-01-04,SM-A236U,282
2024-01-04,iPhone 11 Pro,279
2024-01-04,moto g stylus 5G - 2023,272
2024-01-04,moto g 5G - 2023,269
2024-01-04,iPhone 13 mini,268
2024-01-04,SM-F936U1,266
2024-01-04,DE2118,263
2024-01-04,SM-G981V,259
2024-01-04,Pixel 4a (5G),255
2024-01-04,SM-S136DL,249
2024-01-04,SM-G990U1,246
2024-01-04,SM-G970U1,243
2024-01-04,SM-G955U,241
2024-01-04,SM-G975U1,240
2024-01-04,SM-F731U1,239
2024-01-04,iPhone 12 mini,239
2024-01-04,Moto G Stylus (2022),238
2024-01-04,SM-A135U,237
2024-01-04,SM-N981U1,231
2024-01-04,SM-G981U1,230
2024-01-04,SM-N975U1,227
2024-01-04,SM-G960U1,225
2024-01-04,SM-A536U1,224
2024-01-04,Pixel 5a,215
2024-01-04,SM-G986U1,213
2024-01-04,iPhone 8 Plus,212
2024-01-04,Moto G Stylus,200
2024-01-04,SM-A546U1,191
2024-01-04,SM-S536DL,187
