date,browser,os,visits
2024-01-04,Edge,Windows,290044
2024-01-04,Chrome,Windows,273013
2024-01-04,Safari,iOS,267057
2024-01-04,Chrome,Android,97237
2024-01-04,Safari,Macintosh,46749
2024-01-04,Chrome,Macintosh,43276
2024-01-04,Safari (in-app),iOS,37727
2024-01-04,Chrome,iOS,37029
2024-01-04,Chrome,Linux,35283
2024-01-04,Samsung Internet,Android,12284
2024-01-04,Android Webview,Android,11800
2024-01-04,Firefox,Windows,11669
2024-01-04,Chrome,Chrome OS,6941
2024-01-04,Firefox,Macintosh,2614
2024-01-04,Edge,Android,1060
2024-01-04,Firefox,Android,1002
2024-01-04,(not set),iOS,744
2024-01-04,Opera,Windows,702
2024-01-04,Firefox,Linux,622
2024-01-04,Amazon Silk,Android,554
2024-01-04,(not set),(not set),502
2024-01-04,Mozilla Compatible Agent,Macintosh,409
2024-01-04,Edge,Macintosh,406
2024-01-04,Samsung Internet,Linux,187
2024-01-04,Internet Explorer,Windows,177
2024-01-04,Opera,Android,170
2024-01-04,Opera,Macintosh,47
2024-01-04,Edge,Linux,44
2024-01-04,YaBrowser,Windows,17
2024-01-04,DuckDuckGo Browser,iOS,7
2024-01-04,Whale Browser,Windows,7
2024-01-04,Meta Quest Browser,Linux,6
2024-01-04,YaBrowser,Android,6
2024-01-04,Coc Coc,Windows,5
2024-01-04,Iron,iOS,5
2024-01-04,Opera,Linux,5
2024-01-04,Waterfox,Windows,5
2024-01-04,Aloha Browser,iOS,4
2024-01-04,Android Runtime,Android,4
2024-01-04,SeaMonkey,Windows,4
2024-01-04,Whale Browser,Android,4
2024-01-04,YaBrowser,iOS,4
2024-01-04,PaleMoon,Windows,3
2024-01-04,UC Browser,Android,3
2024-01-04,Waterfox,Macintosh,3
2024-01-04,(not set),Windows,2
2024-01-04,Firefox,Firefox OS,2
2024-01-04,Firefox,OS/2,2
2024-01-04,Opera Mini,(not set),2
2024-01-04,(not set),Android,1
2024-01-04,Chrome,Fuchsia,1
2024-01-04,DuckDuckGo Browser,Android,1
2024-01-04,Mozilla Compatible Agent,(not set),1
2024-01-04,NetFront,Sony,1
2024-01-04,Opera Mini,Samsung,1
2024-01-04,Phoenix Browser,Android,1
2024-01-04,Puffin,Linux,1
2024-01-04,Safari,Playstation 4,1
2024-01-04,YaBrowser,Macintosh,1
2024-01-03,Edge,Windows,311726
2024-01-03,Safari,iOS,286275
2024-01-03,Chrome,Windows,281822
2024-01-03,Chrome,Android,106591
2024-01-03,Safari,Macintosh,49989
2024-01-03,Chrome,Macintosh,44819
2024-01-03,Chrome,Linux,38667
2024-01-03,Chrome,iOS,37781
2024-01-03,Safari (in-app),iOS,36753
2024-01-03,Samsung Internet,Android,13051
2024-01-03,Firefox,Windows,11613
2024-01-03,Android Webview,Android,11541
2024-01-03,Chrome,Chrome OS,7254
2024-01-03,Firefox,Macintosh,2642
2024-01-03,Firefox,Android,1129
2024-01-03,Edge,Android,1127
2024-01-03,(not set),iOS,848
2024-01-03,Opera,Windows,697
2024-01-03,Firefox,Linux,683
2024-01-03,(not set),(not set),669
2024-01-03,Amazon Silk,Android,654
2024-01-03,Mozilla Compatible Agent,Macintosh,498
2024-01-03,Edge,Macintosh,428
2024-01-03,Samsung Internet,Linux,203
2024-01-03,Opera,Android,187
2024-01-03,Internet Explorer,Windows,159
2024-01-03,Opera,Macintosh,54
2024-01-03,Edge,Linux,49
2024-01-03,YaBrowser,Android,12
2024-01-03,Iron,iOS,11
2024-01-03,Waterfox,Windows,9
2024-01-03,UC Browser,Android,8
2024-01-03,DuckDuckGo Browser,iOS,7
2024-01-03,Opera,Linux,7
2024-01-03,Whale Browser,Windows,7
2024-01-03,Whale Browser,Android,6
2024-01-03,YaBrowser,Windows,6
2024-01-03,Meta Quest Browser,Linux,5
2024-01-03,YaBrowser,iOS,4
2024-01-03,Aloha Browser,Android,3
2024-01-03,Aloha Browser,iOS,2
2024-01-03,Mozilla Compatible Agent,(not set),2
2024-01-03,Opera Mini,(not set),2
2024-01-03,Safari,Playstation 4,2
2024-01-03,Samsung Internet,Tizen,2
2024-01-03,(not set),Windows,1
2024-01-03,Chrome,Fuchsia,1
2024-01-03,Coc Coc,Windows,1
2024-01-03,DuckDuckGo Browser,Android,1
2024-01-03,Edge,UNIX,1
2024-01-03,Firefox,FreeBSD,1
2024-01-03,Mozilla,Windows,1
2024-01-03,Mozilla Compatible Agent,Linux,1
2024-01-03,Opera Mini,Android,1
2024-01-03,Phoenix Browser,Android,1
2024-01-03,Safari,Linux,1
2024-01-03,Safari,Windows,1
2024-01-03,SeaMonkey,Windows,1
2024-01-03,UC Browser,iOS,1
2024-01-02,Edge,Windows,291749
2024-01-02,Chrome,Windows,273115
2024-01-02,Safari,iOS,270426
2024-01-02,Chrome,Android,99975
2024-01-02,Safari,Macintosh,49383
2024-01-02,Chrome,Macintosh,43937
2024-01-02,Chrome,iOS,37114
2024-01-02,Chrome,Linux,36226
2024-01-02,Safari (in-app),iOS,29904
2024-01-02,Samsung Internet,Android,12696
2024-01-02,Firefox,Windows,11450
2024-01-02,Android Webview,Android,10357
2024-01-02,Chrome,Chrome OS,6811
2024-01-02,Firefox,Macintosh,2571
2024-01-02,Edge,Android,1089
2024-01-02,Firefox,Android,1023
2024-01-02,(not set),iOS,858
2024-01-02,Opera,Windows,685
2024-01-02,Amazon Silk,Android,585
2024-01-02,Firefox,Linux,542
2024-01-02,Edge,Macintosh,461
2024-01-02,(not set),(not set),460
2024-01-02,Mozilla Compatible Agent,Macintosh,385
2024-01-02,Samsung Internet,Linux,194
2024-01-02,Internet Explorer,Windows,126
2024-01-02,Opera,Android,123
2024-01-02,Opera,Macintosh,47
