exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
usajobs.gov/search/results,5080737,48615396,2369249,9.568571646200148,358.5469108123487,5080737
usajobs.gov/,4364671,15504128,2753919,3.5521870949723358,296.01444576234957,4364671
usajobs.gov/applicant/application/applyhistorypost,801837,4483717,381565,5.591806065322503,192.28838030672068,801837
usajobs.gov/applicant/profile/dashboard,566343,7447312,368317,13.149826165415657,566.7460973297101,566343
opm.gov/policy-data-oversight/pay-leave/federal-holidays/,550192,622762,466299,1.1318994096606276,26.6581629685637,550192
usajobs.gov/applicant/profile/dashboard/,303672,1411045,202209,4.646608841118049,236.05062369925446,303672
opm.gov/policy-data-oversight/pay-leave/salaries-wages/2023/general-schedule/,287611,477654,233457,1.6607640180660683,100.90102951556095,287611
usajobs.gov/search/results/,221670,1409163,161896,6.357030721342536,247.84640682095005,221670
opm.gov/healthcare-insurance/healthcare/plan-information/compare-plans/fehb/plans,207153,954048,163671,4.605523453679164,408.6316201068775,207153
opm.gov/healthcare-insurance/healthcare/plan-information/compare-plans/fehb/plandetails,190984,1127534,140843,5.903813932057136,787.6709200770745,190984
opm.gov/,167789,372541,145483,2.220294536590599,115.62393243895607,167789
opm.gov/leaving/index.aspx,157080,948730,142146,6.039788642729819,492.9200662083015,157080
(not set),126507,0,104434,0.0,57.25692649418609,0
opm.gov/policy-data-oversight/pay-leave/salaries-wages/2023/general-schedule,124776,474131,95118,3.799857344361095,195.0749823684042,124776
usajobs.gov/applicant/document/resumes,113683,997861,88869,8.777574483432,667.6074523015754,113683
opm.gov/healthcare-insurance/healthcare/plan-information/plans/,90005,380590,81854,4.22854285873007,330.65056385756344,90005
opm.gov/policy-data-oversight/pay-leave/salaries-wages/,85837,260214,74310,3.031489916935587,114.48896163659028,85837
opm.gov/about-us/our-people-organization/support-functions/chief-financial-officer/cybersecurity-resource-center/,81286,96590,74970,1.1882735034323253,42.78738036070172,81286
usajobs.gov/search/,80381,415882,50104,5.173884375660915,200.81387392543013,80381
usajobs.gov/search,77803,488483,60074,6.278459699497449,230.79980206418776,77803
