domain,page,page_title,pageviews
www.usajobs.gov,www.usajobs.gov/,USAJOBS - The Federal Government's official employment site,2433821
www.usajobs.gov,www.usajobs.gov/Search/Results,USAJOBS - Search,1105037
www.usajobs.gov,www.usajobs.gov/Applicant/Profile/Dashboard/,USAJOBS - Profile Dashboard,771724
www.usajobs.gov,www.usajobs.gov/applicant/profile/dashboard/,USAJOBS - Profile Dashboard,748487
www.usajobs.gov,www.usajobs.gov/search/results/,USAJOBS - Search,720972
www.usajobs.gov,www.usajobs.gov/applicant/application/applyhistorypost/,Apply History Post,530302
www.opm.gov,www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/2024/general-schedule,General Schedule,499820
www.usajobs.gov,www.usajobs.gov/applicant/profile/,USAJOBS - Profile,325889
www.usajobs.gov,www.usajobs.gov/applicant/document/resumes/,USAJOBS - Documents - Resumes,253707
www.opm.gov,www.opm.gov/policy-data-oversight/pay-leave/salaries-wages/,Salaries & Wages,235223
www.usajobs.gov,www.usajobs.gov/Applicant/Profile/Dashboard,USAJOBS - Profile Dashboard,215234
www.opm.gov,www.opm.gov/,OPM Home - OPM.gov,178497
www.usajobs.gov,www.usajobs.gov/applicant/application/applyreturninternal/,USAJOBS - Application - ApplyReturn,156690
www.usajobs.gov,www.usajobs.gov/Search/Results?p=1,USAJOBS - Search,154920
www.usajobs.gov,www.usajobs.gov/Applicant/Profile/Dashboard/?c=application-active,USAJOBS - Profile Dashboard,152428
www.opm.gov,www.opm.gov/policy-data-oversight/pay-leave/federal-holidays/,Federal Holidays,150310
www.usajobs.gov,www.usajobs.gov/Search/Results?query=startdate,USAJOBS - Search,115636
www.usajobs.gov,www.usajobs.gov/applicant/profile/dashboard/?c=saved-job,USAJOBS - Profile Dashboard,110020
cbp.usajobs.gov,cbp.usajobs.gov/search/results/?query=relevance&k=recruitment%20incentive%20bpa,USAJOBS - Search,104633
www.usajobs.gov,www.usajobs.gov/applicant/document/otherdocuments/,USAJOBS - Documents - Other Docs,87190
