date,browser,os_version,visits
2024-01-04,Internet Explorer,10,201
2024-01-04,Internet Explorer,7,9
2024-01-04,Internet Explorer,8,9
2024-01-04,Internet Explorer,XP,9
2024-01-03,Internet Explorer,10,131
2024-01-03,Internet Explorer,2000,9
2024-01-03,Internet Explorer,7,9
2024-01-03,Internet Explorer,8,9
2024-01-03,Internet Explorer,8.1,9
2024-01-02,Internet Explorer,10,70
2024-01-02,Internet Explorer,7,9
2024-01-02,Internet Explorer,8,9
2024-01-02,Internet Explorer,8.1,9
2023-12-29,Internet Explorer,10,44
2023-12-29,Internet Explorer,7,17
2023-12-28,Internet Explorer,10,61
2023-12-27,Internet Explorer,10,44
2023-12-26,Internet Explorer,10,79
2023-12-26,Internet Explorer,7,9
2023-12-26,Internet Explorer,8.1,9
2023-12-25,Internet Explorer,10,9
2023-12-24,Internet Explorer,10,9
2023-12-23,Internet Explorer,10,9
2023-12-22,Internet Explorer,10,70
2023-12-22,Internet Explorer,XP,9
2023-12-21,Internet Explorer,10,87
2023-12-21,Internet Explorer,XP,9
2023-12-20,Internet Explorer,10,87
2023-12-20,Internet Explorer,8,9
2023-12-19,Internet Explorer,10,61
2023-12-19,Internet Explorer,XP,17
2023-12-19,Internet Explorer,8,9
2023-12-18,Internet Explorer,10,96
2023-12-18,Internet Explorer,8,9
2023-12-17,Internet Explorer,10,9
2023-12-16,Internet Explorer,XP,9
2023-12-15,Internet Explorer,10,26
2023-12-14,Internet Explorer,10,114
2023-12-14,Internet Explorer,8,9
2023-12-13,Internet Explorer,10,122
2023-12-13,Internet Explorer,8,9
2023-12-12,Internet Explorer,10,105
2023-12-12,Internet Explorer,7,9
2023-12-12,Internet Explorer,8,9
2023-12-12,Internet Explorer,XP,9
2023-12-11,Internet Explorer,10,245
2023-12-11,Internet Explorer,8,17
2023-12-09,Internet Explorer,10,35
2023-12-08,Internet Explorer,10,131
2023-12-07,Internet Explorer,10,87
2023-12-06,Internet Explorer,10,114
2023-12-06,Internet Explorer,8,9
2023-12-05,Internet Explorer,10,105
2023-12-05,Internet Explorer,7,9
2023-12-05,Internet Explorer,8,9
2023-12-04,Internet Explorer,10,105
2023-12-03,Internet Explorer,10,17
2023-12-02,Internet Explorer,10,35
2023-12-01,Internet Explorer,10,70
2023-11-30,Internet Explorer,10,87
2023-11-30,Internet Explorer,8,9
2023-11-29,Internet Explorer,10,114
2023-11-29,Internet Explorer,8.1,9
2023-11-28,Internet Explorer,10,131
2023-11-28,Internet Explorer,8,9
2023-11-27,Internet Explorer,10,114
2023-11-27,Internet Explorer,8,17
2023-11-27,Internet Explorer,7,9
2023-11-26,Internet Explorer,10,44
2023-11-25,Internet Explorer,10,17
2023-11-24,Internet Explorer,10,61
2023-11-23,Internet Explorer,10,9
2023-11-23,Internet Explorer,7,9
2023-11-22,Internet Explorer,10,157
2023-11-22,Internet Explorer,XP,9
2023-11-21,Internet Explorer,10,175
2023-11-21,Internet Explorer,8,17
2023-11-21,Internet Explorer,XP,9
2023-11-20,Internet Explorer,10,175
2023-11-20,Internet Explorer,8,9
2023-11-19,Internet Explorer,10,9
2023-11-18,Internet Explorer,10,35
2023-11-17,Internet Explorer,10,157
2023-11-17,Internet Explorer,8,9
2023-11-16,Internet Explorer,10,131
2023-11-16,Internet Explorer,7,9
2023-11-15,Internet Explorer,10,236
2023-11-15,Internet Explorer,XP,9
2023-11-14,Internet Explorer,10,149
2023-11-14,Internet Explorer,7,17
2023-11-13,Internet Explorer,10,254
2023-11-13,Internet Explorer,8,9
2023-11-12,Internet Explorer,10,35
2023-11-11,Internet Explorer,10,35
2023-11-10,Internet Explorer,10,26
2023-11-10,Internet Explorer,8,9
2023-11-09,Internet Explorer,10,114
2023-11-09,Internet Explorer,XP,17
2023-11-09,Internet Explorer,8,9
2023-11-08,Internet Explorer,10,157
2023-11-07,Internet Explorer,10,122
2023-11-07,Internet Explorer,98,9
2023-11-06,Internet Explorer,10,175
2023-11-06,Internet Explorer,7,9
2023-11-05,Internet Explorer,10,9
2023-11-05,Internet Explorer,XP,9
2023-11-04,Internet Explorer,10,35
2023-11-04,Internet Explorer,7,9
2023-11-03,Internet Explorer,10,166
2023-11-03,Internet Explorer,7,26
2023-11-02,Internet Explorer,10,210
2023-11-02,Internet Explorer,7,9
2023-11-01,Internet Explorer,10,70
2023-11-01,Internet Explorer,7,26
2023-10-31,Internet Explorer,10,219
2023-10-31,Internet Explorer,7,17
2023-10-30,Internet Explorer,10,236
2023-10-30,Internet Explorer,XP,17
2023-10-30,Internet Explorer,7,9
2023-10-29,Internet Explorer,10,87
2023-10-29,Internet Explorer,8.1,17
2023-10-28,Internet Explorer,10,35
2023-10-27,Internet Explorer,10,131
2023-10-27,Internet Explorer,7,9
2023-10-26,Internet Explorer,10,306
2023-10-26,Internet Explorer,7,9
2023-10-25,Internet Explorer,10,262
2023-10-25,Internet Explorer,8.1,44
2023-10-24,Internet Explorer,10,271
2023-10-23,Internet Explorer,10,192
2023-10-23,Internet Explorer,7,9
2023-10-23,Internet Explorer,8.1,9
2023-10-22,Internet Explorer,10,35
2023-10-22,Internet Explorer,8,9
2023-10-22,Internet Explorer,8.1,9
2023-10-21,Internet Explorer,10,35
2023-10-21,Internet Explorer,7,9
2023-10-20,Internet Explorer,10,175
2023-10-20,Internet Explorer,7,17
2023-10-19,Internet Explorer,10,122
2023-10-19,Internet Explorer,7,17
2023-10-18,Internet Explorer,10,254
2023-10-18,Internet Explorer,7,17
2023-10-18,Internet Explorer,8.1,9
2023-10-17,Internet Explorer,10,201
2023-10-17,Internet Explorer,7,9
2023-10-17,Internet Explorer,8.1,9
2023-10-16,Internet Explorer,10,184
2023-10-16,Internet Explorer,7,9
2023-10-15,Internet Explorer,10,52
2023-10-14,Internet Explorer,10,52
2023-10-13,Internet Explorer,10,140
2023-10-13,Internet Explorer,7,26
2023-10-12,Internet Explorer,10,219
2023-10-11,Internet Explorer,10,122
2023-10-11,Internet Explorer,7,9
2023-10-11,Internet Explorer,8.1,9
2023-10-10,Internet Explorer,10,297
2023-10-10,Internet Explorer,7,9
2023-10-10,Internet Explorer,8.1,9
2023-10-09,Internet Explorer,10,26
2023-10-09,Internet Explorer,XP,17
2023-10-08,Internet Explorer,Server 2003,9
2023-10-07,Internet Explorer,XP,17
2023-10-07,Internet Explorer,10,9
