date,os_version,visits
2024-01-04,10,449226
2024-01-04,11,121585
2024-01-04,7,1757
2024-01-04,8.1,874
2024-01-04,8,79
2024-01-04,Vista,17
2024-01-04,XP,17
2024-01-04,NT,9
2024-01-03,10,490386
2024-01-03,11,129978
2024-01-03,7,2098
2024-01-03,8.1,944
2024-01-03,8,105
2024-01-03,2000,9
2024-01-03,Vista,9
2024-01-02,10,461649
2024-01-02,11,121165
2024-01-02,7,2011
2024-01-02,8.1,892
2024-01-02,8,149
2024-01-02,Vista,17
2024-01-02,XP,9
2024-01-01,10,99536
2024-01-01,11,45681
2024-01-01,7,848
2024-01-01,8.1,472
2024-01-01,8,79
2023-12-31,10,82181
2023-12-31,11,29778
2023-12-31,7,761
2023-12-31,8.1,367
2023-12-31,8,61
2023-12-31,XP,9
2023-12-30,10,94404
2023-12-30,11,36746
2023-12-30,7,927
2023-12-30,8.1,376
2023-12-30,8,9
2023-12-29,10,258032
2023-12-29,11,69321
2023-12-29,7,1119
2023-12-29,8.1,577
2023-12-29,8,9
2023-12-29,Vista,9
2023-12-28,10,311091
2023-12-28,11,86894
2023-12-28,7,1408
2023-12-28,8.1,664
2023-12-28,8,87
2023-12-28,NT,35
2023-12-28,XP,17
2023-12-27,10,324616
2023-12-27,11,89053
2023-12-27,7,1460
2023-12-27,8.1,743
2023-12-27,8,52
2023-12-27,Vista,26
2023-12-27,XP,26
2023-12-27,NT,9
2023-12-26,10,286961
2023-12-26,11,76848
2023-12-26,7,1416
2023-12-26,8.1,629
2023-12-26,8,35
2023-12-26,Vista,17
2023-12-26,XP,17
2023-12-25,10,76778
2023-12-25,11,22897
2023-12-25,7,551
2023-12-25,8.1,192
2023-12-25,8,17
2023-12-24,10,77574
2023-12-24,11,23317
2023-12-24,7,455
2023-12-24,8.1,280
2023-12-24,8,17
2023-12-24,Vista,9
2023-12-23,10,90959
2023-12-23,11,30154
2023-12-23,7,664
2023-12-23,8.1,262
2023-12-23,8,35
2023-12-23,Vista,9
2023-12-22,10,334828
2023-12-22,11,87261
2023-12-22,7,1355
2023-12-22,8.1,420
2023-12-22,8,96
2023-12-22,XP,26
2023-12-22,NT,9
2023-12-22,Server 2003,9
2023-12-21,10,331925
2023-12-21,11,82793
2023-12-21,7,1259
2023-12-21,8.1,647
2023-12-21,8,44
2023-12-21,XP,26
2023-12-21,Vista,17
2023-12-21,NT,9
2023-12-20,10,347548
2023-12-20,11,87357
2023-12-20,7,1364
2023-12-20,8.1,533
2023-12-20,8,105
2023-12-20,XP,17
2023-12-20,NT,9
2023-12-19,10,356955
2023-12-19,11,96004
2023-12-19,7,1408
2023-12-19,8.1,629
2023-12-19,8,87
2023-12-19,XP,35
2023-12-19,Server 2003,9
2023-12-18,10,372412
2023-12-18,11,100008
2023-12-18,7,1504
2023-12-18,8.1,638
2023-12-18,8,96
2023-12-18,Vista,17
2023-12-18,XP,17
2023-12-17,10,85198
2023-12-17,11,37795
2023-12-17,7,831
2023-12-17,8.1,481
2023-12-17,8,87
2023-12-17,XP,26
2023-12-16,10,80782
2023-12-16,11,32969
2023-12-16,7,568
2023-12-16,8.1,358
2023-12-16,XP,44
2023-12-16,8,26
2023-12-16,(not set),9
2023-12-15,10,305697
2023-12-15,11,76848
2023-12-15,7,1189
2023-12-15,8.1,647
2023-12-15,8,70
2023-12-15,Server 2003,9
2023-12-15,XP,9
2023-12-14,10,353878
2023-12-14,11,90417
2023-12-14,7,1259
2023-12-14,8.1,551
2023-12-14,8,87
2023-12-14,Vista,17
2023-12-14,XP,17
2023-12-14,NT,9
2023-12-13,10,383664
2023-12-13,11,97979
2023-12-13,7,1565
2023-12-13,8.1,734
2023-12-13,8,44
2023-12-13,XP,35
2023-12-13,Vista,9
2023-12-12,10,392049
2023-12-12,11,103986
2023-12-12,7,1539
2023-12-12,8.1,664
2023-12-12,8,70
2023-12-12,XP,35
2023-12-12,Vista,17
2023-12-11,10,485735
2023-12-11,11,121803
2023-12-11,7,1976
2023-12-11,8.1,717
2023-12-11,8,96
2023-12-11,XP,44
2023-12-11,Vista,26
2023-12-10,10,110997
2023-12-10,11,49964
2023-12-10,7,1128
2023-12-10,8.1,446
2023-12-10,8,35
2023-12-10,XP,26
2023-12-09,10,99265
2023-12-09,11,40234
2023-12-09,7,962
2023-12-09,8.1,306
2023-12-09,XP,61
2023-12-09,8,17
2023-12-09,Vista,17
2023-12-08,10,347024
2023-12-08,11,86771
2023-12-08,7,1530
2023-12-08,8.1,490
2023-12-08,8,52
2023-12-07,10,399445
2023-12-07,11,104327
2023-12-07,7,1652
2023-12-07,8.1,769
2023-12-07,8,157
2023-12-07,XP,17
2023-12-07,Vista,9
2023-12-06,10,435412
2023-12-06,11,112973
2023-12-06,7,1486
2023-12-06,8.1,900
2023-12-06,8,114
2023-12-06,XP,26
2023-12-06,Vista,9
2023-12-05,10,418539
2023-12-05,11,110639
2023-12-05,7,1818
2023-12-05,8.1,892
2023-12-05,8,149
2023-12-05,Vista,17
2023-12-05,XP,17
2023-12-04,10,421249
2023-12-04,11,113139
2023-12-04,7,1766
2023-12-04,8.1,866
2023-12-04,8,122
2023-12-04,XP,35
2023-12-04,Vista,26
2023-12-03,10,107343
2023-12-03,11,44666
2023-12-03,7,927
2023-12-03,8.1,498
2023-12-03,8,87
2023-12-03,XP,35
2023-12-02,10,109292
2023-12-02,11,41064
2023-12-02,7,1102
2023-12-02,8.1,350
2023-12-02,8,87
2023-12-02,Vista,26
2023-12-02,XP,26
2023-12-01,10,359989
2023-12-01,11,88039
2023-12-01,7,1320
2023-12-01,8.1,629
2023-12-01,XP,79
2023-12-01,8,70
2023-12-01,(not set),9
2023-11-30,10,390650
2023-11-30,11,105664
2023-11-30,7,1469
2023-11-30,8.1,752
2023-11-30,8,17
2023-11-30,XP,9
2023-11-29,10,411440
2023-11-29,11,105070
2023-11-29,7,1652
2023-11-29,8.1,726
2023-11-29,8,52
2023-11-29,XP,26
2023-11-28,10,424668
2023-11-28,11,110866
2023-11-28,7,1670
2023-11-28,8.1,699
2023-11-28,8,87
2023-11-28,XP,26
2023-11-28,Server 2003,9
2023-11-27,10,428829
2023-11-27,11,115491
2023-11-27,7,2011
2023-11-27,8.1,918
2023-11-27,8,105
2023-11-27,XP,17
2023-11-27,Vista,9
2023-11-26,10,91440
2023-11-26,11,43101
2023-11-26,7,883
2023-11-26,8.1,481
2023-11-26,8,61
2023-11-26,Vista,17
