date,browser,visits
2024-01-04,Internet Explorer,1358
2024-01-03,Internet Explorer,2732
2024-01-02,Internet Explorer,2762
2024-01-01,Internet Explorer,786
2023-12-31,Internet Explorer,689
2023-12-30,Internet Explorer,1069
2023-12-29,Internet Explorer,2400
2023-12-28,Internet Explorer,2515
2023-12-27,Internet Explorer,2668
2023-12-26,Internet Explorer,2460
2023-12-25,Internet Explorer,587
2023-12-24,Internet Explorer,776
2023-12-23,Internet Explorer,1264
2023-12-22,Internet Explorer,2580
2023-12-21,Internet Explorer,2977
2023-12-20,Internet Explorer,2971
2023-12-19,Internet Explorer,3013
2023-12-18,Internet Explorer,3182
2023-12-17,Internet Explorer,847
2023-12-16,Internet Explorer,1313
2023-12-15,Internet Explorer,2719
2023-12-14,Internet Explorer,2955
2023-12-13,Internet Explorer,3038
2023-12-12,Internet Explorer,3099
2023-12-11,Internet Explorer,3254
2023-12-10,Internet Explorer,1755
2023-12-09,Internet Explorer,1343
2023-12-08,Internet Explorer,2959
2023-12-07,Internet Explorer,3074
2023-12-06,Internet Explorer,3180
2023-12-05,Internet Explorer,3272
2023-12-04,Internet Explorer,3382
2023-12-03,Internet Explorer,839
2023-12-02,Internet Explorer,1363
2023-12-01,Internet Explorer,2855
2023-11-30,Internet Explorer,3040
2023-11-29,Internet Explorer,2924
2023-11-28,Internet Explorer,3086
2023-11-27,Internet Explorer,3287
2023-11-26,Internet Explorer,852
2023-11-25,Internet Explorer,1079
2023-11-24,Internet Explorer,2022
2023-11-23,Internet Explorer,888
2023-11-22,Internet Explorer,2558
2023-11-21,Internet Explorer,2749
2023-11-20,Internet Explorer,2865
2023-11-19,Internet Explorer,804
2023-11-18,Internet Explorer,1095
2023-11-17,Internet Explorer,2574
2023-11-16,Internet Explorer,2729
2023-11-15,Internet Explorer,2984
2023-11-14,Internet Explorer,2635
2023-11-13,Internet Explorer,2759
2023-11-12,Internet Explorer,2342
2023-11-11,Internet Explorer,855
2023-11-10,Internet Explorer,2189
2023-11-09,Internet Explorer,2660
2023-11-08,Internet Explorer,2704
2023-11-07,Internet Explorer,2774
2023-11-06,Internet Explorer,2821
2023-11-05,Internet Explorer,672
2023-11-04,Internet Explorer,982
2023-11-03,Internet Explorer,2825
2023-11-02,Internet Explorer,3183
2023-11-01,Internet Explorer,3200
2023-10-31,Internet Explorer,3103
2023-10-30,Internet Explorer,3154
2023-10-29,Internet Explorer,1158
2023-10-28,Internet Explorer,1074
2023-10-27,Internet Explorer,3013
2023-10-26,Internet Explorer,3243
2023-10-25,Internet Explorer,3808
2023-10-24,Internet Explorer,3298
2023-10-23,Internet Explorer,3603
2023-10-22,Internet Explorer,858
2023-10-21,Internet Explorer,1178
2023-10-20,Internet Explorer,3281
2023-10-19,Internet Explorer,3413
2023-10-18,Internet Explorer,3633
2023-10-17,Internet Explorer,3827
2023-10-16,Internet Explorer,4091
2023-10-15,Internet Explorer,990
2023-10-14,Internet Explorer,1248
2023-10-13,Internet Explorer,3350
2023-10-12,Internet Explorer,3452
2023-10-11,Internet Explorer,3535
2023-10-10,Internet Explorer,3586
2023-10-09,Internet Explorer,2635
2023-10-08,Internet Explorer,1227
2023-10-07,Internet Explorer,1119
