date,screen_resolution,visits
2024-01-04,390x844,2399946
2024-01-04,428x926,1394544
2024-01-04,430x932,1127417
2024-01-04,414x896,975807
2024-01-04,1920x1080,956674
2024-01-04,393x852,841184
2024-01-04,375x812,728969
2024-01-04,412x915,363842
2024-01-04,375x667,331706
2024-01-04,1536x864,253747
2024-01-04,1440x900,242111
2024-01-04,360x800,227444
2024-01-04,360x780,215578
2024-01-04,1366x768,200933
2024-01-04,320x693,153534
2024-01-04,412x892,153474
2024-01-04,384x824,149838
2024-01-04,1280x720,138211
2024-01-04,412x883,130963
2024-01-04,384x854,106505
2024-01-04,2560x1440,106247
2024-01-04,385x854,98599
2024-01-04,384x832,96318
2024-01-04,810x1080,94011
2024-01-04,1600x900,94010
2024-01-04,414x736,87561
2024-01-04,412x869,81518
2024-01-04,384x857,81140
2024-01-04,768x1024,75579
2024-01-04,1680x1050,58536
2024-01-04,820x1180,56556
2024-01-04,432x960,54420
2024-01-04,1280x800,53513
2024-01-04,320x568,50971
2024-01-04,1024x1366,49339
2024-01-04,360x772,45935
2024-01-04,412x846,42488
2024-01-04,360x760,42452
2024-01-04,320x712,41628
2024-01-04,360x740,40940
2024-01-04,1920x1200,38264
2024-01-04,1280x1024,37062
2024-01-04,360x880,36857
2024-01-04,834x1194,35276
2024-01-04,385x824,33007
2024-01-04,432x984,29563
2024-01-04,1470x956,28068
2024-01-04,1512x982,26632
2024-01-04,2048x1152,26488
2024-01-04,320x694,23771
2024-01-04,345x883,23427
2024-01-04,834x1112,22975
2024-01-04,1728x1117,22261
2024-01-04,3440x1440,21362
2024-01-04,412x938,20334
2024-01-04,339x753,19513
2024-01-04,2240x1260,19510
2024-01-04,1536x960,18998
2024-01-04,360x720,17966
2024-01-04,360x640,17628
2024-01-04,1792x1120,17598
2024-01-04,448x998,16814
2024-01-04,393x851,14998
2024-01-04,800x1280,14368
2024-01-04,2560x1080,13774
2024-01-04,1024x768,12485
2024-01-04,377x837,12045
2024-01-04,339x735,12043
2024-01-04,412x1006,11877
2024-01-04,393x873,11472
2024-01-04,360x820,11386
2024-01-04,320x687,10816
2024-01-04,376x835,10746
2024-01-04,347x772,10589
2024-01-04,388x861,10077
2024-01-04,1360x768,9547
2024-01-04,691x829,9010
2024-01-04,320x640,8943
2024-01-04,412x823,8635
2024-01-04,800x600,8335
2024-01-04,360x803,8292
2024-01-04,744x1133,8116
2024-01-04,320x872,8048
2024-01-04,339x727,7972
2024-01-04,412x877,7895
2024-01-04,1368x912,7676
2024-01-04,601x962,7211
2024-01-04,1710x1107,7158
2024-01-04,320x676,7076
2024-01-04,320x658,6855
2024-01-04,352x781,6562
2024-01-04,1707x1067,6440
2024-01-04,360x804,6002
2024-01-04,388x883,5942
2024-01-04,1504x1003,5873
2024-01-04,1707x960,5638
2024-01-04,412x918,5112
2024-01-04,486x1079,5057
2024-01-04,320x729,4837
2024-01-04,352x800,4811
2024-01-04,1280x960,4735
2024-01-04,534x854,4578
2024-01-04,346x768,4569
2024-01-04,412x732,4482
2024-01-04,1600x1200,4414
2024-01-04,674x842,4250
2024-01-04,384x811,4212
2024-01-04,360x806,4202
2024-01-04,320x714,4166
2024-01-04,485x1076,3903
2024-01-04,1440x960,3590
2024-01-04,1080x1920,3586
2024-01-04,1344x840,3584
2024-01-04,412x960,3579
2024-01-04,3840x2160,3280
2024-01-04,339x756,3217
2024-01-04,320x569,3095
2024-01-04,800x1334,3080
2024-01-04,320x783,3078
2024-01-04,339x716,3069
2024-01-04,5120x1440,3019
2024-01-04,485x1049,3013
2024-01-04,396x880,2936
2024-01-04,1440x1080,2902
2024-01-04,1093x615,2815
2024-01-04,376x814,2693
2024-01-04,1500x1000,2627
2024-01-04,2752x1152,2529
2024-01-04,2195x1235,2514
2024-01-04,509x1130,2461
2024-01-04,1098x618,2447
2024-01-04,424x942,2422
2024-01-04,361x722,2392
2024-01-04,3840x1080,2297
2024-01-04,377x816,2284
2024-01-04,915x412,2279
2024-01-04,384x939,2278
2024-01-04,3840x1600,2237
2024-01-04,1746x982,2227
2024-01-04,1536x1024,2217
2024-01-04,486x1052,2202
2024-01-04,601x1007,2195
2024-01-04,339x829,2159
2024-01-04,412x919,2109
2024-01-04,753x1205,2067
2024-01-04,393x808,2032
2024-01-04,1152x720,2015
2024-01-04,1300x730,1999
2024-01-04,393x786,1985
2024-01-04,1536x865,1973
2024-01-04,385x769,1874
