page_title,event_label,page,total_events
"Snow Globes Stamps | USPS.com",https://www.usps.com/ecp/asset/images/684504-L0.jpg,store.usps.com/store/product/buy-stamps/snow-globes-stamps-s_684504,9280
"Snowy Beauty Stamps | USPS.com",https://www.usps.com/ecp/asset/images/684004-L0.jpg,store.usps.com/store/product/buy-stamps/snowy-beauty-stamps-s_684004,5878
"Holiday Elves Stamps | USPS.com",https://www.usps.com/ecp/asset/images/683904-L0.jpg,store.usps.com/store/product/buy-stamps/holiday-elves-stamps-s_683904,4331
"Winter Woodland Animals Stamps | USPS.com",https://www.usps.com/ecp/asset/images/684604-L0.jpg,store.usps.com/store/product/buy-stamps/winter-woodland-animals-stamps-s_684604,3609
"Thinking of You Stamps | USPS.com",https://www.usps.com/ecp/asset/images/484104-L0.jpg,store.usps.com/store/product/buy-stamps/thinking-of-you-stamps-s_484104,3403
"Waterfalls Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580904-L0.jpg,store.usps.com/store/product/buy-stamps/waterfalls-stamps-s_580904,2990
"Life Magnified Stamps | USPS.com",https://www.usps.com/ecp/asset/images/484004-L0.jpg,store.usps.com/store/product/buy-stamps/life-magnified-stamps-s_484004,2372
"Tulips Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580204-L0.jpg,store.usps.com/store/product/buy-stamps/tulips-stamps-s_580204,2165
How to apply - Careers - About.usps.com,https://about.usps.com/video/HowTo_Create.mp4,about.usps.com/careers/how-to-apply/,1444
How to apply - Careers - About.usps.com,https://about.usps.com/video/HowTo_Explore.mp4,about.usps.com/careers/how-to-apply/,1444
"Roy Lichtenstein Stamps | USPS.com",https://www.usps.com/ecp/asset/images/483504-L0.jpg,store.usps.com/store/product/buy-stamps/roy-lichtenstein-stamps-s_483504,1444
"Our Lady of Guápulo Stamp | USPS.com",https://www.usps.com/ecp/asset/images/682904-L0.jpg,store.usps.com/store/product/buy-stamps/our-lady-of-gupulo-stamps-s_682904,1340
Retail Postage Price Calculator Mail Services,https://pe.usps.com/cpim/ftp/manuals/dmm300/Notice123.pdf,postcalc.usps.com/calculator/mailservices,1340
"Tomie dePaola Stamps | USPS.com",https://www.usps.com/ecp/asset/images/483604-L0.jpg,store.usps.com/store/product/buy-stamps/tomie-depaola-stamps-s_483604,1237
"National Marine Sanctuaries Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580504-L0.jpg,store.usps.com/store/product/buy-stamps/national-marine-sanctuaries-stamps-s_580504,1134
"Railroad Stations Stamps | USPS.com",https://www.usps.com/ecp/asset/images/483904-L0.jpg,store.usps.com/store/product/buy-stamps/railroad-stations-stamps-s_483904,1134
"Tulip Blossoms Stamps | USPS.com",https://www.usps.com/ecp/asset/images/684204-L0.jpg,store.usps.com/store/product/buy-stamps/tulip-blossoms-stamps-s_684204,1134
"OSIRIS-REx Stamps | USPS.com",https://www.usps.com/ecp/asset/images/484204-L0.jpg,store.usps.com/store/product/buy-stamps/osiris-rex-stamps-s_484204,1031
Retail Postage Price Calculator,https://pe.usps.com/cpim/ftp/manuals/dmm300/Notice123.pdf,postcalc.usps.com/,1031
"Art of the Skateboard Stamps | USPS.com",https://www.usps.com/ecp/asset/images/483404-L0.jpg,store.usps.com/store/product/buy-stamps/art-of-the-skateboard-stamps-s_483404,928
"Coral Reefs Stamp | USPS.com",https://www.usps.com/ecp/asset/images/745104-L0.jpg,store.usps.com/store/product/buy-stamps/coral-reefs-postcard-stamps-s_745104,825
"Pony Cars Stamps | USPS.com",https://www.usps.com/ecp/asset/images/482404-L0.jpg,store.usps.com/store/product/buy-stamps/pony-cars-stamps-s_482404,825
"Every Door Direct Mail (EDDM) - Targeted Mail Marketing | USPS",https://www.usps.com/business/pdf/quick-reference-guide.pdf,www.usps.com/business/every-door-direct-mail.htm,722
"January Price Change 2024 | Postal Explorer",https://pe.usps.com/resources/PriceChange/January%202024%20Price%20Change%20111523%20-%20Notice%20123.xlsx,pe.usps.com/pricechange/index,722
"Love 2023 Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580804-L0.jpg,store.usps.com/store/product/buy-stamps/love-2023-stamps-s_580804,722
"Virgin and Child Stamp | USPS.com",https://www.usps.com/ecp/asset/images/684104-L0.jpg,store.usps.com/store/product/buy-stamps/virgin-and-child-stamps-s_684104,722
"Backyard Games Stamp | USPS.com",https://www.usps.com/ecp/asset/images/481204-L0.jpg,store.usps.com/store/product/buy-stamps/backyard-games-stamps-s_481204,619
"Day of the Dead Stamp | USPS.com",https://www.usps.com/ecp/asset/images/481404-L0.jpg,store.usps.com/store/product/buy-stamps/day-of-the-dead-stamps-s_481404,619
"How to Prepare & Send a Package | USPS",https://www.usps.com/assets/transcripts/usps-how-to-address-a-package.txt,www.usps.com/ship/packages.htm,619
How to apply - Careers - About.usps.com,https://about.usps.com/video/HowTo_Post.mp4,about.usps.com/careers/how-to-apply/,619
"Mighty Mississippi Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580304-L0.jpg,store.usps.com/store/product/buy-stamps/mighty-mississippi-stamps-s_580304,619
"Priority Mail Tyvek Envelope | USPS.com",https://www.usps.com/ecp/asset/images/EP_14-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-tyvek-envelope-p_ep_14,619
"Ruth Bader Ginsburg Stamps | USPS.com",https://www.usps.com/ecp/asset/images/483304-L0.jpg,store.usps.com/store/product/buy-stamps/ruth-bader-ginsburg-stamps-s_483304,619
"Thank You Stamp | USPS.com",https://www.usps.com/ecp/asset/images/572904-L0.jpg,store.usps.com/store/product/buy-stamps/thank-you-stamps-s_572904,619
