page_title,event_label,page,total_events
"Snow Globes Stamps | USPS.com",https://www.usps.com/ecp/asset/images/684504-L0.jpg,store.usps.com/store/product/buy-stamps/snow-globes-stamps-s_684504,1390
"Snowy Beauty Stamps | USPS.com",https://www.usps.com/ecp/asset/images/684004-L0.jpg,store.usps.com/store/product/buy-stamps/snowy-beauty-stamps-s_684004,930
"Holiday Elves Stamps | USPS.com",https://www.usps.com/ecp/asset/images/683904-L0.jpg,store.usps.com/store/product/buy-stamps/holiday-elves-stamps-s_683904,744
"Winter Woodland Animals Stamps | USPS.com",https://www.usps.com/ecp/asset/images/684604-L0.jpg,store.usps.com/store/product/buy-stamps/winter-woodland-animals-stamps-s_684604,536
"Waterfalls Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580904-L0.jpg,store.usps.com/store/product/buy-stamps/waterfalls-stamps-s_580904,449
"Thinking of You Stamps | USPS.com",https://www.usps.com/ecp/asset/images/484104-L0.jpg,store.usps.com/store/product/buy-stamps/thinking-of-you-stamps-s_484104,427
"Life Magnified Stamps | USPS.com",https://www.usps.com/ecp/asset/images/484004-L0.jpg,store.usps.com/store/product/buy-stamps/life-magnified-stamps-s_484004,339
"Railroad Stations Stamps | USPS.com",https://www.usps.com/ecp/asset/images/483904-L0.jpg,store.usps.com/store/product/buy-stamps/railroad-stations-stamps-s_483904,296
Retail Postage Price Calculator Mail Services,https://pe.usps.com/cpim/ftp/manuals/dmm300/Notice123.pdf,postcalc.usps.com/calculator/mailservices,285
How to apply - Careers - About.usps.com,https://about.usps.com/video/HowTo_Explore.mp4,about.usps.com/careers/how-to-apply/,252
"Roy Lichtenstein Stamps | USPS.com",https://www.usps.com/ecp/asset/images/483504-L0.jpg,store.usps.com/store/product/buy-stamps/roy-lichtenstein-stamps-s_483504,208
"Tulips Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580204-L0.jpg,store.usps.com/store/product/buy-stamps/tulips-stamps-s_580204,197
"National Marine Sanctuaries Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580504-L0.jpg,store.usps.com/store/product/buy-stamps/national-marine-sanctuaries-stamps-s_580504,186
"Tomie dePaola Stamps | USPS.com",https://www.usps.com/ecp/asset/images/483604-L0.jpg,store.usps.com/store/product/buy-stamps/tomie-depaola-stamps-s_483604,175
"Mighty Mississippi Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580304-L0.jpg,store.usps.com/store/product/buy-stamps/mighty-mississippi-stamps-s_580304,153
"Love 2023 Stamps | USPS.com",https://www.usps.com/ecp/asset/images/580804-L0.jpg,store.usps.com/store/product/buy-stamps/love-2023-stamps-s_580804,142
"Pony Cars Stamps | USPS.com",https://www.usps.com/ecp/asset/images/482404-L0.jpg,store.usps.com/store/product/buy-stamps/pony-cars-stamps-s_482404,142
Retail Postage Price Calculator,https://pe.usps.com/cpim/ftp/manuals/dmm300/Notice123.pdf,postcalc.usps.com/,142
"Art of the Skateboard Stamps | USPS.com",https://www.usps.com/ecp/asset/images/483404-L0.jpg,store.usps.com/store/product/buy-stamps/art-of-the-skateboard-stamps-s_483404,131
"Global: Poinsettia Stamp | USPS.com",https://www.usps.com/ecp/asset/images/565904-L0.jpg,store.usps.com/store/product/buy-stamps/global-poinsettia-stamps-s_565904,131
"Piñatas! Stamps | USPS.com",https://www.usps.com/ecp/asset/images/684404-L0.jpg,store.usps.com/store/product/buy-stamps/piatas-stamps-s_684404,131
"Priority Mail Box - 4 | USPS.com",https://www.usps.com/ecp/asset/images/O_BOX4-L0.jpg,store.usps.com/store/product/shipping-supplies/priority-mail-box-4-p_o_box4,120
"Virgin and Child Stamp | USPS.com",https://www.usps.com/ecp/asset/images/684104-L0.jpg,store.usps.com/store/product/buy-stamps/virgin-and-child-stamps-s_684104,120
"Military Care Package Kit | USPS.com",https://www.usps.com/ecp/asset/images/MILITARYKIT-L0.jpg,store.usps.com/store/product/shipping-supplies/military-care-kit-p_militarykit,109
"Tulip Blossoms Stamps | USPS.com",https://www.usps.com/ecp/asset/images/684204-L0.jpg,store.usps.com/store/product/buy-stamps/tulip-blossoms-stamps-s_684204,109
"Backyard Games Stamp | USPS.com",https://www.usps.com/ecp/asset/images/481204-L0.jpg,store.usps.com/store/product/buy-stamps/backyard-games-stamps-s_481204,99
"Our Lady of Guápulo Stamp | USPS.com",https://www.usps.com/ecp/asset/images/682904-L0.jpg,store.usps.com/store/product/buy-stamps/our-lady-of-gupulo-stamps-s_682904,99
"Domestic Claims | USPS",https://onlineclaims.usps.com/OICWeb/media/globals/images/global/borderradius/pdf_icon.jpg,onlineclaims.usps.com/oicweb/claims_history,88
How to apply - Careers - About.usps.com,https://about.usps.com/video/HowTo_Post.mp4,about.usps.com/careers/how-to-apply/,77
"OSIRIS-REx Stamps | USPS.com",https://www.usps.com/ecp/asset/images/484204-L0.jpg,store.usps.com/store/product/buy-stamps/osiris-rex-stamps-s_484204,77
Postal exams - Careers - About.usps.com,https://about.usps.com/careers/global/pdf/vea-guide.pdf,about.usps.com/careers/how-to-apply/exams.htm,77
