domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
(other),(other),743763111,417062534,146615707,1.7833371505866311,155.67193983647698,0.54166623367804123
tools.usps.com,/go/TrackConfirmAction,32055130,10184629,4244733,3.1474028165385306,514.42560782436135,0.048472752419356661
tools.usps.com,/go/TrackConfirmAction_input,30769589,10453160,5311754,2.9435681650333487,435.50380055596577,0.066466790903420586
tools.usps.com,/go/TrackConfirmAction.action,6087402,1931190,1008551,3.1521507464309573,520.3544887906736,0.064021147582578611
informeddelivery.usps.com,/entreg/LoginAction_input,4088816,1424790,949173,2.8697674745050148,181.50899879753439,0.0025814330532920641
informeddelivery.usps.com,/manage/informed-delivery.htm,3579072,1169393,607896,3.060623759506,164.26340766910184,0.0013673760660445206
www.usps.com,/,3498718,1711014,1304062,2.0448213749273823,188.54885090037195,0.015847912407496372
tools.usps.com,/,2771769,791299,618513,3.502808672827844,395.38244149418733,0.0016264395633003453
reg.usps.com,/entreg/LoginAction_input,2357185,1184010,877442,1.9908488948573069,194.80845967344362,0.077849849241138164
tools.usps.com,/go/TrackConfirmAction!input.action,1644993,502163,270059,3.2758148250667611,435.6893910752226,0.044630926611478744
www.usps.com,/manage/informed-delivery.htm,1317858,802507,451863,1.6421763299260941,163.64499233699891,0.015716996861086571
informeddelivery.usps.com,/,1252580,436144,271247,2.8719413771598372,164.86660436794497,0.00153848270296049
tools.usps.com,/rcas.htm,1183662,208286,185819,5.6828687477794952,503.81913834837673,0.019655665767262322
reg.usps.com,/,1109541,412064,356736,2.6926424050632911,343.59021669922146,0.0037688320260930342
reg.usps.com,/manage/informed-delivery.htm,1023779,514785,314068,1.9887506434725177,128.3037276277436,0.000975164389016774
reg.usps.com,/logout,1017596,162450,99342,6.2640566328100951,4446.1712974016991,0.03708833487226839
tools.usps.com,/logout,953817,113351,60661,8.41472064648746,473.81578166427295,0.044410724210637756
informeddelivery.usps.com,/box/pages/secure/DashboardAction_input.action,808203,304136,152407,2.6573736749348975,218.00313261644789,0.042109451035063264
www.usps.com,/root/global/server_responses/anyapp_outage_apology.htm,803041,254870,204226,3.1507866755600893,212.49248732194454,0.023274610585788835
postcalc.usps.com,/,794518,249845,228871,3.18004362704877,156.66042710759075,0.0036582681262382678
