domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
tools.usps.com,tools.usps.com/go/TrackConfirmAction,USPS.com® - USPS Tracking® Results,177700878,127605851,41832525,1.3925762542032654,172.41985940389358,0.50263724192396164
tools.usps.com,tools.usps.com/go/TrackConfirmAction_input,USPS.com® - USPS Tracking® Results,172292063,133974717,54914608,1.2860043063199753,147.89529885626609,0.69569881606840789
informeddelivery.usps.com,informeddelivery.usps.com/box/pages/secure/DashboardAction_input.action,Informed Delivery,69372362,39421227,7107159,1.7597717595142333,135.57962924973722,0.069292033959267682
reg.usps.com,reg.usps.com/entreg/LoginAction_input,USPS.com® - Sign In,49271487,43771792,19355142,1.1256447074408102,63.528182949376919,0.26194652939957314
tools.usps.com,tools.usps.com/go/TrackConfirmAction.action,USPS.com® - USPS Tracking® Results,39288599,31542653,13151785,1.2455705295302839,135.28360554752942,0.684881610941223
www.usps.com,www.usps.com/,"Welcome | USPS",38465782,30538500,16392999,1.259583214630712,75.846264631648367,0.1675666453820587
www.usps.com,www.usps.com/manage/informed-delivery.htm,"Informed Delivery - Mail & Package Notifications | USPS",35920890,32234511,8353341,1.1143612508965934,45.400302416442713,0.081074225075106615
reg.usps.com,reg.usps.com/portal/login,USPS.com® - Sign In,30319699,27461567,4856543,1.1040775276953423,33.323681186578817,0.014207565067208291
informeddelivery.usps.com,informeddelivery.usps.com/box/pages/secure/packageDashboardAction,(not set),29350940,20813388,6700446,1.4101952070465413,111.94545516081386,0.0824711478976897
tools.usps.com,tools.usps.com/go/TrackConfirmAction_input,USPS.com® - USPS Tracking®,23043693,18159075,10313683,1.268990463445963,69.979263820840288,0.100289139176968
reg.usps.com,reg.usps.com/logout,USPS.com® - Sign Out,12025199,8521122,4045370,1.4112226066003983,370.79899117669368,0.035766768742426173
informeddelivery.usps.com,informeddelivery.usps.com/box/pages/secure/DashboardAction_input,Informed Delivery,9959881,8783945,2770732,1.1338733336786604,87.930302763003709,0.049117907728247388
tools.usps.com,tools.usps.com/go/TrackConfirmAction!input.action,USPS.com® - USPS Tracking® Results,7036913,5449217,2210777,1.2913622269034248,150.96213954787109,0.61962993949405942
tools.usps.com,tools.usps.com/rcas.htm,"Schedule An Appointment | USPS",6211160,2101900,1179113,2.9550216470812121,549.63574265111538,0.13599600361577621
tools.usps.com,tools.usps.com/go/TrackConfirmAction,Tracking Home,4371299,2825130,1918312,1.5472912750917658,155.90421646950756,0.40003964419336457
www.usps.com,www.usps.com/root/global/server_responses/anyapp_outage_apology.htm,"This service is currently unavailable | USPS",4248646,2613549,1835618,1.6256232425716908,141.20171856211391,0.34987712111003083
tools.usps.com,tools.usps.com/zip-code-lookup.htm,"ZIP Code™ Lookup | USPS",4057154,4054721,1457160,1.0006000412852081,202.01871236193941,0.41650510602332441
tools.usps.com,tools.usps.com/go/TrackConfirmAction_input,Tracking Home,4047220,3064846,2052026,1.3205296448826467,144.30980844502346,0.59668903429405584
store.usps.com,store.usps.com/store/myaccount/profile.jsp,The Postal Store @ USPS.com,3728209,2330052,1679139,1.6000535610364059,58.893523275784737,0.032762788126616919
reg.usps.com,reg.usps.com/login,USPS.com® - Sign In,2989332,2412646,1711597,1.239026363585872,84.32876937732776,0.1514295922402209
