domain,page,page_title,pageviews
tools.usps.com,tools.usps.com/go/TrackConfirmAction,USPS.com® - USPS Tracking® Results,30573392
tools.usps.com,tools.usps.com/go/TrackConfirmAction_input,USPS.com® - USPS Tracking® Results,29667658
informeddelivery.usps.com,informeddelivery.usps.com/box/pages/secure/DashboardAction_input.action,Informed Delivery,13891482
reg.usps.com,reg.usps.com/entreg/LoginAction_input,USPS.com® - Sign In,8648773
www.usps.com,www.usps.com/manage/informed-delivery.htm,"Informed Delivery - Mail & Package Notifications | USPS",7229298
tools.usps.com,tools.usps.com/go/TrackConfirmAction.action,USPS.com® - USPS Tracking® Results,6763369
www.usps.com,www.usps.com/,"Welcome | USPS",6705242
reg.usps.com,reg.usps.com/portal/login,USPS.com® - Sign In,6492600
informeddelivery.usps.com,informeddelivery.usps.com/box/pages/secure/packageDashboardAction,(not set),4662630
tools.usps.com,tools.usps.com/go/TrackConfirmAction_input,USPS.com® - USPS Tracking®,3888064
reg.usps.com,reg.usps.com/logout,USPS.com® - Sign Out,2678134
informeddelivery.usps.com,informeddelivery.usps.com/box/pages/secure/DashboardAction_input,Informed Delivery,2002763
tools.usps.com,tools.usps.com/rcas.htm,"Schedule An Appointment | USPS",2002282
tools.usps.com,tools.usps.com/go/TrackConfirmAction!input.action,USPS.com® - USPS Tracking® Results,1196642
tools.usps.com,tools.usps.com/zip-code-lookup.htm,"ZIP Code™ Lookup | USPS",855024
store.usps.com,store.usps.com/store/myaccount/profile.jsp,The Postal Store @ USPS.com,790849
tools.usps.com,tools.usps.com/go/TrackConfirmAction,Tracking Home,739538
reg.usps.com,reg.usps.com/login,USPS.com® - Sign In,704467
tools.usps.com,tools.usps.com/go/TrackConfirmAction_input,Tracking Home,682653
tools.usps.com,tools.usps.com/find-location.htm,"PO Locator | USPS",627550
