domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.sba.gov,www.sba.gov/,Small Business Administration,351310,299430,239729,1.1732625321444077,92.353516000180349,0.26847677253448216
www.sba.gov,www.sba.gov/funding-programs/loans,"Loans | U.S. Small Business Administration",176282,158471,137442,1.112392803730651,88.255244607978753,0.1768904089707265
www.sba.gov,www.sba.gov/funding-programs/loans/make-payment-sba,"Make a payment to SBA | U.S. Small Business Administration",174217,143897,125403,1.2107062690674579,65.21396995996443,0.1930061085359667
www.sba.gov,www.sba.gov/funding-programs/loans/covid-19-relief-options/paycheck-protection-program,"Paycheck Protection Program | U.S. Small Business Administration",157505,154026,144916,1.0225870956851442,26.43940969172737,0.83784555854206433
www.sba.gov,www.sba.gov/funding-programs/grants,"Grants | U.S. Small Business Administration",99289,89023,78073,1.1153185131932197,109.16763795216966,0.21111398177998944
www.sba.gov,www.sba.gov/business-guide/plan-your-business/write-your-business-plan,"Write your business plan | U.S. Small Business Administration",96832,92220,69220,1.0500108436347864,141.17630303181519,0.37997180654955542
www.sba.gov,www.sba.gov/funding-programs/loans/lender-match-connects-you-lenders,"Lender Match connects you to lenders | U.S. Small Business Administration",93525,84793,72182,1.1029801988371681,78.055869235880323,0.11801681742596677
www.sba.gov,www.sba.gov/business-guide/10-steps-start-your-business,"10 steps to start your business | U.S. Small Business Administration",83887,78437,64809,1.0694825146295752,121.53551167777962,0.37613626222318547
www.sba.gov,www.sba.gov/about-sba/open-government/about-sbagov-website/sba-account-login-registration-portals,"SBA account login and registration portals | U.S. Small Business Administration",75154,61273,52255,1.22654350203189,80.646035316517882,0.10046839554126613
www.sba.gov,www.sba.gov/funding-programs/loans/covid-19-relief-options/eidl,"COVID-19 Economic Injury Disaster Loan | U.S. Small Business Administration",66968,57578,47973,1.1630831220257738,93.803263966271842,0.31371357115564974
www.sba.gov,www.sba.gov/local-assistance/find,"Find local assistance | U.S. Small Business Administration",64754,40587,30610,1.5954369625742233,160.03165411057728,0.21913420553379162
www.sba.gov,www.sba.gov/funding-programs/loans/7a-loans,"7(a) loans | U.S. Small Business Administration",54121,50394,42470,1.0739572171290233,128.86985322907489,0.15678453784180657
www.sba.gov,www.sba.gov/business-guide/launch-your-business/register-your-business,"Register your business | U.S. Small Business Administration",42419,37134,31408,1.1423223999569128,142.73496767959281,0.26272418807561804
www.sbir.gov,www.sbir.gov/,SBIR.gov,40035,35447,27663,1.129432674133213,84.914224667193281,0.3185601038169662
www.sba.gov,www.sba.gov/funding-programs/loans/microloans/list-microlenders,"List of microlenders | U.S. Small Business Administration",40010,20162,14761,1.9844261481995833,194.7791842697649,0.22770558476341632
www.sba.gov,www.sba.gov/business-guide/launch-your-business/choose-business-structure,"Choose a business structure | U.S. Small Business Administration",39846,39535,30835,1.0078664474516252,179.05347416074363,0.35191602377640063
www.sba.gov,www.sba.gov/funding-programs/loans/microloans,"Microloans | U.S. Small Business Administration",38834,36648,32696,1.0596485483518883,101.00705008145054,0.10846430910281597
www.sba.gov,www.sba.gov/events,"Find events | U.S. Small Business Administration",34926,11659,9171,2.9956256968865254,169.70512362312377,0.1694828029848186
certify.sba.gov,certify.sba.gov/users/sign_in,SBA Certify - Small Business Administration,34720,24566,9196,1.4133355043556135,67.041633644305151,0.11800862981356346
certify.sba.gov,certify.sba.gov/,"SBA Certify - Small Business Administration | SBA Certify - Small",33074,28902,16836,1.1443498719811778,165.51646316798147,0.21233824648813232
www.sba.gov,www.sba.gov/funding-programs/loans/504-loans,"504 loans | U.S. Small Business Administration",32843,30556,27140,1.0748461840555046,121.67761132818433,0.14249247283675873
www.sba.gov,www.sba.gov/funding-programs,"Funding Programs | U.S. Small Business Administration",32002,28158,26001,1.1365153775126073,99.5955845424391,0.087506214930037643
www.sba.gov,www.sba.gov/about-sba/organization/contact-sba,"Contact SBA | U.S. Small Business Administration",31676,29201,23296,1.0847573713229,202.75892844710796,0.21773226944282731
www.sba.gov,www.sba.gov/business-guide/launch-your-business/choose-your-business-name,"Choose your business name | U.S. Small Business Administration",31618,28059,23606,1.1268398731244877,138.21815556203,0.24366513418154603
certify.sba.gov,certify.sba.gov/vendor_admin/dashboard,SBA Certify - Small Business Administration,30645,15092,5404,2.0305459846276173,140.86497820355154,0.082295255764643513
www.sba.gov,www.sba.gov/business-guide/launch-your-business/get-federal-state-tax-id-numbers,"Get federal and state tax ID numbers | U.S. Small Business Administration",30383,29343,24752,1.0354428654193504,138.07959936625431,0.27952152131683877
www.sba.gov,www.sba.gov/business-guide/plan-your-business/fund-your-business,"Fund your business | U.S. Small Business Administration",30123,30063,25777,1.0019958088015168,118.77407982772843,0.28483517945647474
