date,mobile_device,visits
2024-01-04,Chrome,31406
2024-01-04,iPhone,23348
2024-01-04,Safari,15436
2024-01-04,Edge,12272
2024-01-04,ChromeBook,1650
2024-01-04,Firefox,1618
2024-01-04,(not set),1176
2024-01-03,Chrome,30905
2024-01-03,iPhone,24331
2024-01-03,Safari,15270
2024-01-03,Edge,12572
2024-01-03,Firefox,1590
2024-01-03,ChromeBook,1409
2024-01-03,(not set),1079
2024-01-02,Chrome,29885
2024-01-02,iPhone,24233
2024-01-02,Safari,16269
2024-01-02,Edge,11758
2024-01-02,Firefox,1532
2024-01-02,ChromeBook,1199
2024-01-02,(not set),1076
2024-01-01,iPhone,15812
2024-01-01,Chrome,11410
2024-01-01,Safari,6827
2024-01-01,Edge,2812
2023-12-31,iPhone,13630
2023-12-31,Chrome,8665
2023-12-31,Safari,5002
2023-12-31,Edge,2001
2023-12-30,iPhone,15533
2023-12-30,Chrome,10463
2023-12-30,Safari,6259
2023-12-30,Edge,2503
2023-12-29,iPhone,19786
2023-12-29,Chrome,18371
2023-12-29,Safari,9298
2023-12-29,Edge,7457
2023-12-28,Chrome,21807
2023-12-28,iPhone,20435
2023-12-28,Safari,10676
2023-12-28,Edge,7918
2023-12-28,Firefox,1150
2023-12-27,Chrome,21595
2023-12-27,iPhone,20052
2023-12-27,Safari,10907
2023-12-27,Edge,7846
2023-12-27,Firefox,1039
2023-12-26,Chrome,17521
2023-12-26,iPhone,17346
2023-12-26,Safari,9117
2023-12-26,Edge,6343
2023-12-25,iPhone,10507
2023-12-25,Chrome,7653
2023-12-25,Safari,3725
2023-12-25,Edge,1390
2023-12-24,iPhone,10982
2023-12-24,Chrome,7208
2023-12-24,Safari,3741
2023-12-24,Edge,1303
2023-12-23,iPhone,12633
2023-12-23,Chrome,8501
2023-12-23,Safari,4802
2023-12-23,Edge,1881
2023-12-22,Chrome,17408
2023-12-22,iPhone,15521
2023-12-22,Safari,8432
2023-12-22,Edge,7122
2023-12-21,Chrome,22765
2023-12-21,iPhone,17721
2023-12-21,Safari,10761
2023-12-21,Edge,8623
2023-12-21,Firefox,1106
2023-12-20,Chrome,25664
2023-12-20,iPhone,19422
2023-12-20,Safari,12702
