date,browser,os,visits
2024-01-04,Chrome,Windows,28963
2024-01-04,Safari,iOS,21123
2024-01-04,Edge,Windows,12270
2024-01-04,Chrome,Android,9038
2024-01-04,Chrome,Macintosh,7671
2024-01-04,Safari,Macintosh,6915
2024-01-04,Chrome,Linux,3053
2024-01-04,Chrome,iOS,2898
2024-01-04,Chrome,Chrome OS,1650
2024-01-04,Firefox,Windows,1540
2024-01-04,Samsung Internet,Android,820
2024-01-04,Firefox,Macintosh,480
2024-01-04,Safari (in-app),iOS,349
2024-01-04,Android Webview,Android,188
2024-01-04,Opera,Windows,113
2024-01-03,Chrome,Windows,29074
2024-01-03,Safari,iOS,21858
2024-01-03,Edge,Windows,12543
2024-01-03,Chrome,Android,9135
2024-01-03,Safari,Macintosh,7512
2024-01-03,Chrome,Macintosh,7369
2024-01-03,Chrome,Linux,3007
2024-01-03,Chrome,iOS,2947
2024-01-03,Firefox,Windows,1514
2024-01-03,Chrome,Chrome OS,1409
2024-01-03,Samsung Internet,Android,809
2024-01-03,Firefox,Macintosh,449
2024-01-03,Safari (in-app),iOS,352
2024-01-03,Android Webview,Android,158
2024-01-03,Opera,Windows,112
2024-01-02,Chrome,Windows,27541
2024-01-02,Safari,iOS,21692
2024-01-02,Edge,Windows,11730
2024-01-02,Chrome,Android,8944
2024-01-02,Safari,Macintosh,7702
2024-01-02,Chrome,Macintosh,7684
2024-01-02,Chrome,Linux,3044
2024-01-02,Chrome,iOS,2783
2024-01-02,Firefox,Windows,1433
2024-01-02,Chrome,Chrome OS,1197
2024-01-02,Samsung Internet,Android,827
2024-01-02,Firefox,Macintosh,392
2024-01-02,Safari (in-app),iOS,370
2024-01-02,Android Webview,Android,174
2024-01-02,Opera,Windows,123
2024-01-01,Safari,iOS,14266
2024-01-01,Chrome,Windows,8609
2024-01-01,Chrome,Android,6353
2024-01-01,Safari,Macintosh,3691
2024-01-01,Chrome,Macintosh,2938
2024-01-01,Chrome,Linux,2896
2024-01-01,Edge,Windows,2803
2024-01-01,Chrome,iOS,2063
2024-01-01,Chrome,Chrome OS,630
2024-01-01,Samsung Internet,Android,547
2024-01-01,Firefox,Windows,507
2024-01-01,Safari (in-app),iOS,250
2024-01-01,Firefox,Macintosh,189
2024-01-01,Android Webview,Android,154
2023-12-31,Safari,iOS,12090
2023-12-31,Chrome,Windows,6069
2023-12-31,Chrome,Android,5550
2023-12-31,Chrome,Linux,2904
2023-12-31,Safari,Macintosh,2651
2023-12-31,Chrome,Macintosh,2200
2023-12-31,Edge,Windows,1994
2023-12-31,Chrome,iOS,1768
2023-12-31,Samsung Internet,Android,468
2023-12-31,Chrome,Chrome OS,436
2023-12-31,Firefox,Windows,393
2023-12-31,Safari (in-app),iOS,230
2023-12-31,Firefox,Macintosh,170
2023-12-31,Android Webview,Android,136
2023-12-30,Safari,iOS,13846
2023-12-30,Chrome,Windows,7584
2023-12-30,Chrome,Android,5930
2023-12-30,Safari,Macintosh,3300
2023-12-30,Chrome,Linux,2944
2023-12-30,Chrome,Macintosh,2721
2023-12-30,Edge,Windows,2492
2023-12-30,Chrome,iOS,1951
2023-12-30,Chrome,Chrome OS,526
2023-12-30,Samsung Internet,Android,493
2023-12-30,Firefox,Windows,486
2023-12-30,Safari (in-app),iOS,380
2023-12-30,Firefox,Macintosh,199
2023-12-30,Android Webview,Android,173
2023-12-29,Safari,iOS,17664
2023-12-29,Chrome,Windows,15743
2023-12-29,Edge,Windows,7463
2023-12-29,Chrome,Android,7193
2023-12-29,Safari,Macintosh,4818
2023-12-29,Chrome,Macintosh,4239
2023-12-29,Chrome,Linux,3011
2023-12-29,Chrome,iOS,2240
2023-12-29,Firefox,Windows,878
2023-12-29,Chrome,Chrome OS,653
2023-12-29,Samsung Internet,Android,639
2023-12-29,Safari (in-app),iOS,341
2023-12-29,Firefox,Macintosh,281
2023-12-29,Android Webview,Android,173
2023-12-28,Chrome,Windows,19346
2023-12-28,Safari,iOS,18212
2023-12-28,Edge,Windows,7920
2023-12-28,Chrome,Android,7398
2023-12-28,Chrome,Macintosh,5140
2023-12-28,Safari,Macintosh,5107
2023-12-28,Chrome,Linux,3093
2023-12-28,Chrome,iOS,2516
2023-12-28,Firefox,Windows,1085
2023-12-28,Samsung Internet,Android,727
2023-12-28,Chrome,Chrome OS,709
2023-12-28,Safari (in-app),iOS,363
2023-12-28,Firefox,Macintosh,311
2023-12-28,Android Webview,Android,160
2023-12-27,Chrome,Windows,18900
2023-12-27,Safari,iOS,17753
2023-12-27,Edge,Windows,7827
2023-12-27,Chrome,Android,7588
2023-12-27,Safari,Macintosh,5264
2023-12-27,Chrome,Macintosh,5116
2023-12-27,Chrome,Linux,3025
2023-12-27,Chrome,iOS,2453
2023-12-27,Firefox,Windows,990
2023-12-27,Chrome,Chrome OS,743
2023-12-27,Samsung Internet,Android,691
2023-12-27,Safari (in-app),iOS,365
2023-12-27,Firefox,Macintosh,323
2023-12-27,Android Webview,Android,183
2023-12-27,Opera,Windows,102
2023-12-26,Safari,iOS,15322
2023-12-26,Chrome,Windows,15052
2023-12-26,Chrome,Android,6860
2023-12-26,Edge,Windows,6339
2023-12-26,Safari,Macintosh,4613
2023-12-26,Chrome,Macintosh,4117
2023-12-26,Chrome,Linux,2980
2023-12-26,Chrome,iOS,2200
2023-12-26,Firefox,Windows,825
2023-12-26,Chrome,Chrome OS,635
2023-12-26,Samsung Internet,Android,626
2023-12-26,Safari (in-app),iOS,269
2023-12-26,Firefox,Macintosh,250
2023-12-26,Android Webview,Android,167
2023-12-25,Safari,iOS,9253
2023-12-25,Chrome,Windows,4967
2023-12-25,Chrome,Android,4216
2023-12-25,Chrome,Linux,2798
2023-12-25,Safari,Macintosh,1856
2023-12-25,Chrome,Macintosh,1674
2023-12-25,Chrome,iOS,1455
2023-12-25,Edge,Windows,1389
2023-12-25,Samsung Internet,Android,426
2023-12-25,Chrome,Chrome OS,302
2023-12-25,Firefox,Windows,255
2023-12-25,Firefox,Macintosh,124
2023-12-24,Safari,iOS,9838
2023-12-24,Chrome,Windows,4475
2023-12-24,Chrome,Android,4290
2023-12-24,Chrome,Linux,2859
2023-12-24,Safari,Macintosh,1785
2023-12-24,Chrome,Macintosh,1751
2023-12-24,Chrome,iOS,1388
2023-12-24,Edge,Windows,1301
2023-12-24,Samsung Internet,Android,384
2023-12-24,Firefox,Windows,287
2023-12-24,Chrome,Chrome OS,271
2023-12-24,Firefox,Macintosh,102
2023-12-23,Safari,iOS,11083
2023-12-23,Chrome,Windows,5839
2023-12-23,Chrome,Android,4908
2023-12-23,Chrome,Linux,2829
2023-12-23,Safari,Macintosh,2445
2023-12-23,Chrome,Macintosh,2162
2023-12-23,Edge,Windows,1879
2023-12-23,Chrome,iOS,1690
2023-12-23,Samsung Internet,Android,469
2023-12-23,Chrome,Chrome OS,403
2023-12-23,Firefox,Windows,328
2023-12-23,Firefox,Macintosh,144
2023-12-23,Safari (in-app),iOS,144
2023-12-23,Android Webview,Android,106
2023-12-22,Chrome,Windows,14788
2023-12-22,Safari,iOS,13896
2023-12-22,Edge,Windows,7125
2023-12-22,Chrome,Android,6045
2023-12-22,Chrome,Macintosh,4059
2023-12-22,Safari,Macintosh,3874
