date,os,visits
2024-01-04,Windows,42553
2024-01-04,iOS,23944
2024-01-04,Macintosh,15424
2024-01-04,Android,10286
2024-01-04,Linux,3181
2024-01-04,Chrome OS,1650
2024-01-03,Windows,43015
2024-01-03,iOS,25161
2024-01-03,Macintosh,15249
2024-01-03,Android,10439
2024-01-03,Linux,3095
2024-01-03,Chrome OS,1409
2024-01-02,Windows,41759
2024-01-02,iOS,24846
2024-01-02,Macintosh,16247
2024-01-02,Android,10153
2024-01-02,Linux,3181
2024-01-02,Chrome OS,1197
2024-01-01,iOS,16311
2024-01-01,Windows,12056
2024-01-01,Android,7338
2024-01-01,Macintosh,6799
2024-01-01,Linux,2998
2024-01-01,Chrome OS,630
2023-12-31,iOS,14090
2023-12-31,Windows,8653
2023-12-31,Android,6335
2023-12-31,Macintosh,4991
2023-12-31,Linux,2992
2023-12-31,Chrome OS,436
2023-12-30,iOS,16095
2023-12-30,Windows,10532
2023-12-30,Android,6717
2023-12-30,Macintosh,6247
2023-12-30,Linux,3061
2023-12-30,Chrome OS,526
2023-12-29,Windows,24133
2023-12-29,iOS,20344
2023-12-29,Macintosh,9290
2023-12-29,Android,8044
2023-12-29,Linux,3087
2023-12-29,Chrome OS,653
2023-12-28,Windows,28671
2023-12-28,iOS,20936
2023-12-28,Macintosh,10673
2023-12-28,Android,8486
2023-12-28,Linux,3183
2023-12-28,Chrome OS,709
2023-12-27,Windows,28069
2023-12-27,iOS,20617
2023-12-27,Macintosh,10893
2023-12-27,Android,8610
2023-12-27,Linux,3099
2023-12-27,Chrome OS,743
2023-12-26,Windows,22317
2023-12-26,iOS,17804
2023-12-26,Macintosh,9109
2023-12-26,Android,7703
2023-12-26,Linux,3065
2023-12-26,Chrome OS,635
2023-12-25,iOS,10760
2023-12-25,Windows,6690
2023-12-25,Android,4895
2023-12-25,Macintosh,3715
2023-12-25,Linux,2893
2023-12-25,Chrome OS,302
2023-12-24,iOS,11227
2023-12-24,Windows,6125
2023-12-24,Android,4903
2023-12-24,Macintosh,3724
2023-12-24,Linux,2942
2023-12-24,Chrome OS,271
2023-12-23,iOS,12998
2023-12-23,Windows,8132
2023-12-23,Android,5626
2023-12-23,Macintosh,4799
2023-12-23,Linux,2887
2023-12-23,Chrome OS,403
2023-12-22,Windows,22976
2023-12-22,iOS,15890
2023-12-22,Macintosh,8429
2023-12-22,Android,6924
2023-12-22,Linux,3034
2023-12-22,Chrome OS,574
2023-12-21,Windows,30383
2023-12-21,iOS,18100
2023-12-21,Macintosh,10759
2023-12-21,Android,7989
2023-12-21,Linux,3055
2023-12-21,Chrome OS,870
2023-12-20,Windows,34430
2023-12-20,iOS,19820
2023-12-20,Macintosh,12660
2023-12-20,Android,8456
2023-12-20,Linux,3170
2023-12-20,Chrome OS,1032
2023-12-20,(not set),133
2023-12-19,Windows,37659
2023-12-19,iOS,21283
2023-12-19,Macintosh,13076
2023-12-19,Android,8853
2023-12-19,Linux,3115
2023-12-19,Chrome OS,1141
2023-12-18,Windows,36585
2023-12-18,iOS,21267
2023-12-18,Macintosh,13186
2023-12-18,Android,8715
2023-12-18,Linux,3025
2023-12-18,Chrome OS,1294
2023-12-17,iOS,14897
2023-12-17,Windows,11040
2023-12-17,Android,6759
2023-12-17,Macintosh,6377
2023-12-17,Linux,2916
2023-12-17,Chrome OS,625
2023-12-16,iOS,15050
2023-12-16,Windows,10358
2023-12-16,Android,6284
2023-12-16,Macintosh,5825
2023-12-16,Linux,2883
2023-12-16,Chrome OS,523
2023-12-15,Windows,31569
2023-12-15,iOS,19199
2023-12-15,Macintosh,10737
2023-12-15,Android,8622
2023-12-15,Linux,3038
2023-12-15,Chrome OS,1218
2023-12-14,Windows,36477
2023-12-14,iOS,21143
2023-12-14,Macintosh,12900
2023-12-14,Android,9463
2023-12-14,Linux,3120
2023-12-14,Chrome OS,1552
2023-12-13,Windows,39894
2023-12-13,iOS,21750
2023-12-13,Macintosh,13815
2023-12-13,Android,9048
2023-12-13,Linux,3032
2023-12-13,Chrome OS,1890
2023-12-13,(not set),105
2023-12-12,Windows,41246
2023-12-12,iOS,23114
2023-12-12,Macintosh,14479
2023-12-12,Android,9062
2023-12-12,Linux,3099
2023-12-12,Chrome OS,1858
2023-12-11,Windows,43233
2023-12-11,iOS,21439
2023-12-11,Macintosh,14291
2023-12-11,Android,9603
2023-12-11,Linux,3099
2023-12-11,Chrome OS,1786
2023-12-10,iOS,16560
2023-12-10,Windows,13009
2023-12-10,Macintosh,7670
2023-12-10,Android,7067
2023-12-10,Linux,2961
2023-12-10,Chrome OS,700
2023-12-09,iOS,16424
2023-12-09,Windows,11465
2023-12-09,Android,8030
2023-12-09,Macintosh,6258
2023-12-09,Linux,2904
2023-12-09,Chrome OS,585
2023-12-08,Windows,33790
2023-12-08,iOS,20239
2023-12-08,Macintosh,11216
2023-12-08,Android,8190
2023-12-08,Linux,3082
2023-12-08,Chrome OS,1648
2023-12-07,Windows,41378
2023-12-07,iOS,21555
2023-12-07,Macintosh,14346
2023-12-07,Android,9433
2023-12-07,Linux,3145
2023-12-07,Chrome OS,1968
2023-12-06,Windows,43325
2023-12-06,iOS,22382
2023-12-06,Macintosh,14976
2023-12-06,Android,9681
2023-12-06,Linux,3084
2023-12-06,Chrome OS,1791
2023-12-05,Windows,43446
2023-12-05,iOS,23417
2023-12-05,Macintosh,15822
2023-12-05,Android,9634
2023-12-05,Linux,3171
2023-12-05,Chrome OS,2041
2023-12-04,Windows,43155
2023-12-04,iOS,22866
2023-12-04,Macintosh,16244
2023-12-04,Android,9953
2023-12-04,Linux,3183
2023-12-04,Chrome OS,1969
2023-12-03,iOS,17547
2023-12-03,Windows,13961
2023-12-03,Android,8828
2023-12-03,Macintosh,8366
2023-12-03,Linux,3025
2023-12-03,Chrome OS,796
2023-12-02,iOS,17206
2023-12-02,Windows,12639
2023-12-02,Android,7463
2023-12-02,Macintosh,6988
2023-12-02,Linux,3085
2023-12-02,Chrome OS,732
2023-12-01,Windows,36253
2023-12-01,iOS,21646
2023-12-01,Macintosh,12715
2023-12-01,Android,9215
2023-12-01,Linux,3167
2023-12-01,Chrome OS,1551
2023-11-30,Windows,42014
2023-11-30,iOS,23999
2023-11-30,Macintosh,15041
2023-11-30,Android,10343
2023-11-30,Linux,3103
2023-11-30,Chrome OS,2144
2023-11-29,Windows,43303
2023-11-29,iOS,24449
2023-11-29,Macintosh,15480
2023-11-29,Android,11019
2023-11-29,Linux,3034
2023-11-29,Chrome OS,2112
2023-11-28,Windows,43839
2023-11-28,iOS,23429
2023-11-28,Macintosh,15732
2023-11-28,Android,10134
2023-11-28,Linux,3096
2023-11-28,Chrome OS,1951
2023-11-28,(not set),117
2023-11-27,Windows,42051
2023-11-27,iOS,22726
2023-11-27,Macintosh,15472
2023-11-27,Android,9412
2023-11-27,Linux,3183
2023-11-27,Chrome OS,2012
2023-11-26,iOS,17453
2023-11-26,Windows,12878
2023-11-26,Macintosh,7959
2023-11-26,Android,7912
2023-11-26,Linux,2971
2023-11-26,Chrome OS,726
2023-11-25,iOS,19103
2023-11-25,Windows,12034
2023-11-25,Android,8185
2023-11-25,Macintosh,6794
2023-11-25,Linux,2969
2023-11-25,Chrome OS,587
2023-11-24,Windows,17589
2023-11-24,iOS,17118
2023-11-24,Android,7674
2023-11-24,Macintosh,7365
2023-11-24,Linux,3042
2023-11-24,Chrome OS,663
2023-11-23,iOS,13101
2023-11-23,Windows,9844
2023-11-23,Android,6343
2023-11-23,Macintosh,4925
2023-11-23,Linux,2887
2023-11-23,Chrome OS,389
2023-11-23,(not set),103
2023-11-22,Windows,27168
2023-11-22,iOS,19097
2023-11-22,Macintosh,9974
2023-11-22,Android,8015
2023-11-22,Linux,3106
2023-11-22,Chrome OS,751
