domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
www.sba.gov,1823803,1341023,3513961,1.9267218005453439,191.97856791385036,0.44976787514879624
www.sbir.gov,165484,110719,426620,2.5780135843948662,245.95949089195338,0.42361799328031713
certify.sba.gov,51833,21766,339652,6.5528138444620225,597.40408405716437,0.27513360214535143
www.certify.sba.gov,1155,570,5005,4.333333333333333,354.36368933419908,0.2917748917748918
content.prod.sba.gov,610,130,2736,4.4852459016393444,607.13372961803282,0.16393442622950818
cloudfront.www.sba.gov,96,87,143,1.4895833333333333,54.130148989583326,0.52083333333333337
prod.sba.gov,72,36,84,1.1666666666666667,49.932956527777776,0.69444444444444442
cloudfront.www.sba.govhttps,71,66,120,1.6901408450704225,108.92209929577464,0.45070422535211269
www.acq.osd.mil,69,63,76,1.1014492753623188,33.359618869565217,0.69565217391304346
www.usa.gov,68,62,77,1.1323529411764706,72.936981794117642,0.35294117647058826
webcache.googleusercontent.com,51,44,55,1.0784313725490196,144.60367772549017,0.29411764705882354
www.grants.gov,28,28,0,0,0,0.035714285714285712
www.gsa.gov,19,19,0,0,0,0.36842105263157893
www.mbda.gov,15,13,7,0.46666666666666667,48.5382716,0.33333333333333331
business.defense.gov,9,6,10,1.1111111111111112,170.22066944444444,0.33333333333333331
www.ecfr.gov,9,9,11,1.2222222222222223,54.507203666666669,0.22222222222222221
sam.gov,5,5,5,1,380.45256499999994,0
www.health.mil,5,3,4,0.8,0,1
www.osha.gov,5,5,6,1.2,13.439580799999998,0.4
www.va.gov,5,5,3,0.6,22.328877799999997,0.6
