page_title,event_label,page,total_events
"Rebecca's Business Plan Template - Traditional | U.S. Small Business Administration",file_download,www.sba.gov/document/support-rebeccas-business-plan-template-traditional,4554
"Andrew's Business Plan Template - Lean | U.S. Small Business Administration",file_download,www.sba.gov/document/support-andrews-business-plan-template-lean,2948
"Table of size standards | U.S. Small Business Administration",file_download,www.sba.gov/document/support-table-size-standards,2846
"Andrew's Business Plan Template - Traditional | U.S. Small Business Administration",file_download,www.sba.gov/document/support-andrews-business-plan-template-traditional,2728
"Calculate Startup Costs | U.S. Small Business Administration",file_download,www.sba.gov/document/support-calculate-startup-costs,1032
"Borrower Information Form | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-1919-borrower-information-form,990
"Personal Financial Statement | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-413-personal-financial-statement,938
"Lender and Development Company Loan Programs | U.S. Small Business Administration",file_download,www.sba.gov/document/sop-50-10-lender-development-company-loan-programs,878
"About | SBIR.gov",file_download,www.sbir.gov/about,442
"PPP First Draw Borrower Application Form | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-2483-ppp-first-draw-borrower-application-form,403
"SBA Franchise Directory | U.S. Small Business Administration",file_download,www.sba.gov/document/support-sba-franchise-directory,327
"Borrower's Consent to Verify Information and Third-party Authorization | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-borrowers-consent-verify-information-third-party-authorization,307
"Declaration of Identity Theft | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-3513-declaration-identity-theft,299
"SBA 7(a) Loan Guaranty Fee Calculator | U.S. Small Business Administration",file_download,www.sba.gov/document/support-sba-7a-loan-guaranty-fee-calculator,258
"Directory of federal government prime contractors with subcontracting plans | U.S. Small Business Administration",file_download,www.sba.gov/document/support-directory-federal-government-prime-contractors-subcontracting-plans,253
"Sample business plans | U.S. Small Business Administration",file_download,www.sba.gov/document/support-sample-business-plans,241
"HUBZone program | U.S. Small Business Administration",file_download,www.sba.gov/federal-contracting/contracting-assistance-programs/hubzone-program,235
"Settlement Sheet (Use of Proceeds Certification) | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-1050-settlement-sheet-use-proceeds-certification,221
"7(a) Loan Servicing and Liquidation | U.S. Small Business Administration",file_download,www.sba.gov/document/sop-50-57-7a-loan-servicing-liquidation,220
"HUBZone Supporting Documents Checklist | U.S. Small Business Administration",file_download,www.sba.gov/document/support-hubzone-supporting-documents-checklist,200
"COVID-19 EIDL subordination submission process | U.S. Small Business Administration",file_download,www.sba.gov/document/support-covid-19-eidl-subordination-submission-process,169
"Eligible NAICS for the Women-Owned Small Business Federal Contracting program | U.S. Small Business Administration",file_download,www.sba.gov/document/support-eligible-naics-women-owned-small-business-federal-contracting-program,163
"Program for Investors in Microentrepreneurs (PRIME) | U.S. Small Business Administration",file_download,www.sba.gov/document/information-notice--program-investors-microentrepreneurs-prime,162
"Statement of Personal History | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-912-statement-personal-history,162
"Active mentor-protege agreements | U.S. Small Business Administration",file_download,www.sba.gov/document/support-active-mentor-protege-agreements,159
"Servicing and Liquidation Actions 7(a) Lender Matrix | U.S. Small Business Administration",file_download,www.sba.gov/document/support--servicing-liquidation-actions-7a-lender-matrix,159
"PPP lenders participating in direct forgiveness | U.S. Small Business Administration",file_download,www.sba.gov/document/support-ppp-lenders-participating-direct-forgiveness,157
"PPP 3508S Loan Forgiveness Application + Instructions | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-3508s-ppp-3508s-loan-forgiveness-application-instructions,149
"Renewals and Updates of SBA Forms 1919, 1971, 2237; Introduction of New SBA Form 3518; and Elimination of SBA Forms 1920 and 2449 | U.S. Small Business Administration",file_download,www.sba.gov/document/information-notice-5000-852422-renewals-updates-sba-forms-1919-1971-2237-introduction-new-sba-form-3518-elimination-sba-forms-1920,148
"Agency contracting goals | U.S. Small Business Administration",file_download,www.sba.gov/document/support-agency-contracting-goals,146
"7(a) Loan Post Approval Action Checklist | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-2237-7a-loan-post-approval-action-checklist,142
"Updates to SOP 50 10 7.1 | U.S. Small Business Administration",file_download,www.sba.gov/document/sop-50-10-71-updates-sop-50-10-71,136
"7(a) Fees Effective October 1, 2023, for Fiscal Year 2024 | U.S. Small Business Administration",file_download,www.sba.gov/document/information-notice-5000-848801-7a-fees-effective-october-1-2023-fiscal-year-2024,134
"Financial Statement of Debtor | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-770-financial-statement-debtor,131
"Offer in Compromise | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-1150-offer-compromise,131
"Frequently Asked Questions | SBIR.gov",file_download,www.sbir.gov/faqs/eligibility-requirements,130
"National Resource Guide (English) | U.S. Small Business Administration",file_download,www.sba.gov/document/support-national-resource-guide-english,130
"HUBZone eligibility workbook | U.S. Small Business Administration",file_download,www.sba.gov/document/support-hubzone-eligibility-workbook,129
"Entrepreneur | SBIR.gov",file_download,www.sbir.gov/applicant,127
"Ending Active Collections on Delinquent COVID-19 Economic Injury Disaster Loans | U.S. Small Business Administration",file_download,www.sba.gov/document/report-23-16-ending-active-collections-delinquent-covid-19-economic-injury-disaster-loans,126
"IRS Form 4506-C (SBA disaster loan) | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-4506-c-irs-form-4506-c-sba-disaster-loan,116
"Veteran contracting assistance programs | U.S. Small Business Administration",file_download,www.sba.gov/federal-contracting/contracting-assistance-programs/veteran-contracting-assistance-programs,115
"FAQ for PPP Borrowers and Lenders | U.S. Small Business Administration",file_download,www.sba.gov/document/support-faq-ppp-borrowers-lenders,114
"SBA Certify - Small Business Administration | SBA Certify - Small",file_download,certify.sba.gov/,108
"Issuance of SOP 50 10 7.1 | U.S. Small Business Administration",file_download,www.sba.gov/document/information-notice-5000-848663-issuance-sop-50-10-71,107
"Affiliation guide for size standards | U.S. Small Business Administration",file_download,www.sba.gov/document/support-affiliation-guide-size-standards,99
"PPP Loan Forgiveness Application + Instructions | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-3508-ppp-loan-forgiveness-application-instructions,92
"PPP Second Draw Borrower Application Form | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-2483-sd-ppp-second-draw-borrower-application-form,89
"Schedule of Liabilities | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-2202-schedule-liabilities,89
"Updated 7(a) Loan Program Forms 1919 and 1920 | U.S. Small Business Administration",file_download,www.sba.gov/document/information-notice-5000-17007-updated-7a-loan-program-forms-1919-1920,86
"2023 Size Standards Methodology White Paper | U.S. Small Business Administration",file_download,www.sba.gov/document/support-2023-size-standards-methodology-white-paper,85
"Non-manufacturer rule class waiver list | U.S. Small Business Administration",file_download,www.sba.gov/document/support-non-manufacturer-rule-class-waiver-list,83
"FAQ about PPP Loan Forgiveness | U.S. Small Business Administration",file_download,www.sba.gov/document/support-faq-about-ppp-loan-forgiveness,79
"Fee Disclosure and Compensation Agreement | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-159-fee-disclosure-compensation-agreement,74
"SBA Mentor Protégé Program Agreement Template | U.S. Small Business Administration",file_download,www.sba.gov/document/support-sba-mentor-protege-program-agreement-template,74
"SBA Form 1502 and Instructions | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-1502-sba-form-1502-instructions,73
"PRIME Grantees | U.S. Small Business Administration",file_download,www.sba.gov/document/support-prime-grantees,72
"Federal And State Technology (FAST) Partnership Program | SBIR.gov",file_download,www.sbir.gov/about-fast,71
"Microloan Program | U.S. Small Business Administration",file_download,www.sba.gov/document/sop-52-00-microloan-program,71
"Religious Eligibility Worksheet For Use with all 7(a) and 504 Loan Programs | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-1971-religious-eligibility-worksheet,67
"Request Loan Reinstatement | U.S. Small Business Administration",file_download,www.sba.gov/document/support-request-loan-reinstatement,66
"Boots to Business | U.S. Small Business Administration",file_download,www.sba.gov/sba-learning-platform/boots-business,64
"How to Calculate First Draw PPP Loan Amounts | U.S. Small Business Administration",file_download,www.sba.gov/document/support-how-calculate-first-draw-ppp-loan-amounts,64
"Shuttered Venues Operators Grant (SVOG) Evaluation | U.S. Small Business Administration",file_download,www.sba.gov/document/report-shuttered-venues-operators-grant-svog-evaluation,64
"Lender's Application for Guaranty | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-1920-lenders-application-guaranty,63
"Marketing plan example | U.S. Small Business Administration",file_download,www.sba.gov/document/support-marketing-plan-example,62
"Andrew's Business Plan Template - Lean | U.S. Small Business Administration",file_download,www.sba.gov/document/support-andrews-business-plan-template-lean#fid-6867,61
"SBA Form 3518, Community Advantage Addendum - 7(a) SBLC | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-2449-community-advantage-addendum-7a-pilot-program,61
"WOSB and EDWOSB Certification Options | U.S. Small Business Administration",file_download,www.sba.gov/document/support-wosb-edwosb-certification-options,61
"Additional 6-Month Deferment for SBA COVID-19 Economic Injury Disaster Loans | U.S. Small Business Administration",file_download,www.sba.gov/document/procedural-notice-5000-830558-additional-6-month-deferment-sba-covid-19-economic-injury-disaster-loans,60
"Universal Purchase Package (UPP) | U.S. Small Business Administration",file_download,www.sba.gov/document/support-universal-purchase-package-upp,58
"Agreement of Compliance | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-601-agreement-compliance,57
"Rebecca's Business Plan Template - Traditional | U.S. Small Business Administration",file_download,www.sba.gov/document/support-rebeccas-business-plan-template-traditional#fid-6864,57
"SBA Standard Loan Note (Form 147) | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-sba-standard-loan-note-form-147,57
"Assumption of Loan Requirement Letter | U.S. Small Business Administration",file_download,www.sba.gov/document/support-assumption-loan-requirement-letter,56
"Issuance of SOP 50 10 7 | U.S. Small Business Administration",file_download,www.sba.gov/document/information-notice-5000-847027-issuance-sop-50-10-7,56
"SBA Strategic Plan | U.S. Small Business Administration",file_download,www.sba.gov/document/support-sba-strategic-plan,56
"SBIC program application forms | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form--sbic-program-application-forms,56
"SBA Plan for Use of Covered Funds | U.S. Small Business Administration",file_download,www.sba.gov/document/report-sba-plan-use-covered-funds,54
"Congressional Budget Justification and Annual Performance Report | U.S. Small Business Administration",file_download,www.sba.gov/document/report-congressional-budget-justification-annual-performance-report,52
"Small Business Administration loan program performance | U.S. Small Business Administration",file_download,www.sba.gov/document/report-small-business-administration-loan-program-performance,51
"HUBZone Program Certification for Applicants Owned by U.S. Citizens, ANCs, NHOs, or CDCs | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-hubzone-program-certification-applicants-owned-us-citizens-ancs-nhos-or-cdcs,50
"HUBZone program | U.S. Small Business Administration",file_download,www.sba.gov/federal-contracting/contracting-assistance-programs/hubzone-program#id-apply-to-get-certified-as-a-hubzone-small-business,50
"SBA Awards Terms and Conditions | U.S. Small Business Administration",file_download,www.sba.gov/document/support-sba-awards-terms-conditions,50
"Lender's Transcript of Account | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-1149-lenders-transcript-account,48
"Company Registration | SBIR.gov",file_download,www.sbir.gov/registration,46
"Disaster Home Loan Application | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-5c-disaster-home-loan-application,46
"Addendum to Franchise Agreement | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-2462-addendum-franchise-agreement,45
"PPP EZ Loan Forgiveness Application + Instructions | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-3508ez-ppp-ez-loan-forgiveness-application-instructions,45
"Unconditional Guarantee | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-148-unconditional-guarantee,44
"COVID-19 EIDL Reports 2020 | U.S. Small Business Administration",file_download,www.sba.gov/document/report-covid-19-eidl-reports-2020,43
"Dallas / Fort Worth | U.S. Small Business Administration",file_download,www.sba.gov/district/dallas-fort-worth,42
"LGPC Submission Checklist | U.S. Small Business Administration",file_download,www.sba.gov/document/support-lgpc-submission-checklist,42
"SBA Charge Off Tabs/Wrap-Up Report | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-sba-charge-tabswrap-report,42
"Washington Metropolitan Area | U.S. Small Business Administration",file_download,www.sba.gov/district/washington-metropolitan-area,42
"First Draw Borrower Application Form for Schedule C Filers Using Gross Income | U.S. Small Business Administration",file_download,www.sba.gov/document/sba-form-2483-c-first-draw-borrower-application-form-schedule-c-filers-using-gross-income,41
"Restaurant Revitalization Funding Program Guide | U.S. Small Business Administration",file_download,www.sba.gov/document/support-restaurant-revitalization-funding-program-guide,41
"SBA Form 413 Updated and Issued | U.S. Small Business Administration",file_download,www.sba.gov/document/information-notice-5000-813332-sba-form-413-updated-issued,41
"SBA Programs - Scams and Fraud Alerts | U.S. Small Business Administration",file_download,www.sba.gov/document/support-sba-programs-scams-fraud-alerts,41
"504 Debenture Funding Schedule for Calendar Year 2024 | U.S. Small Business Administration",file_download,www.sba.gov/document/information-notice-5000-849343-504-debenture-funding-schedule-calendar-year-2024,40
