domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
www.sba.gov,/,717296,249228,205870,2.8780714847448921,238.85312225741089,0.28453865536777567
www.sba.gov,/funding-programs/loans,272098,103940,93656,2.6178372137771793,231.485669932182,0.22570713873388493
www.sba.gov,/funding-programs/loans/covid-19-relief-options/paycheck-protection-program,172409,143559,136063,1.2009626704003231,38.91032030215451,0.87516630792914407
www.sba.gov,/funding-programs/grants,139202,64592,58734,2.1550966063908845,205.53710733353975,0.24628436958137231
www.sbir.gov,/,130752,30473,25608,4.2907491878055986,328.47015613100126,0.32957043940537523
www.sba.gov,/business-guide/plan-your-business/write-your-business-plan,123091,65518,53449,1.8787356146402516,236.59182740158428,0.42863030007020969
certify.sba.gov,/,122275,18080,11265,6.76299778761062,571.83487932887169,0.23777654867256637
www.sba.gov,/business-guide/10-steps-start-your-business,113837,61589,53814,1.848333306272224,226.20538627615321,0.401873711214665
www.sba.gov,/funding-programs/loans/make-payment-sba,110978,70712,61840,1.5694365878493042,127.24867751568333,0.41463966512048872
certify.sba.gov,/users/sign_in,110736,11724,4609,9.4452405322415558,784.948477767059,0.19941999317639031
www.sba.gov,/funding-programs/loans/covid-19-relief-options/eidl,96420,46964,39293,2.0530619197683331,136.94570164721912,0.34583936632314111
www.sba.gov,/business-guide/launch-your-business/choose-business-structure,40138,24740,20852,1.6223928860145513,261.50840492146324,0.42380759902991105
www.sba.gov,/about-sba/open-government/about-sbagov-website/sba-account-login-registration-portals,39171,19202,16758,2.0399437558587645,174.22634423268411,0.30668680345797311
www.sba.gov,/funding-programs,38124,10993,10133,3.4680251068862002,285.15867989493313,0.2021286273082871
www.sba.gov,/business-guide/launch-your-business/register-your-business,34902,18991,16713,1.8378179137486177,205.54555521799801,0.40350692433257856
www.sba.gov,/funding-programs/loans/7a-loans,32226,15419,13035,2.0900188079642,243.08292013956807,0.33919190608988908
www.sba.gov,/business-guide/plan-your-business/fund-your-business,30535,16821,14986,1.8152904107960288,188.59634573027765,0.44878425777302183
www.sba.gov,/funding-programs/disaster-assistance,29793,15180,12706,1.9626482213438736,184.68930051133069,0.36745718050065879
www.sba.gov,/business-guide/launch-your-business/choose-your-business-name,28380,15755,13920,1.8013329101872422,192.90233800825135,0.32586480482386543
www.sba.gov,/business-guide/grow-your-business/veteran-owned-businesses,27634,10227,9164,2.7020631661288745,298.13046305847269,0.25080668817835144
