date,browser,visits
2024-01-04,Chrome,648434
2024-01-04,Safari,532090
2024-01-04,Edge,171904
2024-01-04,Firefox,31272
2024-01-04,Samsung Internet,21551
2024-01-04,Android Webview,14258
2024-01-04,Safari (in-app),12707
2024-01-04,Amazon Silk,4487
2024-01-04,Internet Explorer,3093
2024-01-04,Opera,1476
2024-01-04,Mozilla Compatible Agent,518
2024-01-04,(not set),147
2024-01-04,YaBrowser,63
2024-01-04,Whale Browser,40
2024-01-04,Aloha Browser,29
2024-01-04,Opera Mini,23
2024-01-04,DuckDuckGo Browser,15
2024-01-04,UC Browser,15
2024-01-04,Android Runtime,12
2024-01-04,Puffin,11
2024-01-04,PaleMoon,8
2024-01-04,SeaMonkey,7
2024-01-04,Coc Coc,6
2024-01-04,Meta Quest Browser,2
2024-01-04,Mozilla,2
2024-01-04,Iron,1
2024-01-04,Lynx,1
2024-01-04,Maxthon,1
2024-01-04,Nintendo Browser,1
2024-01-04,Phoenix Browser,1
2024-01-03,Chrome,683780
2024-01-03,Safari,523030
2024-01-03,Edge,192656
2024-01-03,Firefox,34963
2024-01-03,Samsung Internet,21824
2024-01-03,Safari (in-app),16089
2024-01-03,Android Webview,14086
2024-01-03,Amazon Silk,3757
2024-01-03,Internet Explorer,3182
2024-01-03,Opera,1599
2024-01-03,Mozilla Compatible Agent,435
2024-01-03,(not set),88
2024-01-03,YaBrowser,61
2024-01-03,Whale Browser,32
2024-01-03,Opera Mini,28
2024-01-03,Aloha Browser,20
2024-01-03,Coc Coc,15
2024-01-03,UC Browser,15
2024-01-03,DuckDuckGo Browser,13
2024-01-03,Android Runtime,11
2024-01-03,PaleMoon,8
2024-01-03,Puffin,8
2024-01-03,SeaMonkey,4
2024-01-03,Waterfox,3
2024-01-03,Android Browser,2
2024-01-03,Mozilla,2
2024-01-03,Lynx,1
2024-01-03,Meta Quest Browser,1
2024-01-03,Phoenix Browser,1
2024-01-02,Chrome,690625
2024-01-02,Safari,534250
2024-01-02,Edge,179412
2024-01-02,Firefox,33641
2024-01-02,Samsung Internet,22401
2024-01-02,Safari (in-app),17284
2024-01-02,Android Webview,14646
2024-01-02,Amazon Silk,3913
2024-01-02,Internet Explorer,2863
2024-01-02,Opera,1613
2024-01-02,Mozilla Compatible Agent,423
2024-01-02,(not set),95
2024-01-02,YaBrowser,50
2024-01-02,Whale Browser,28
2024-01-02,Opera Mini,26
2024-01-02,Aloha Browser,18
2024-01-02,UC Browser,14
2024-01-02,DuckDuckGo Browser,12
2024-01-02,Coc Coc,10
2024-01-02,Android Runtime,7
2024-01-02,Puffin,6
2024-01-02,PaleMoon,5
2024-01-02,Phoenix Browser,4
2024-01-02,Android Browser,3
2024-01-02,Waterfox,3
2024-01-02,SeaMonkey,2
2024-01-02,Meta Quest Browser,1
2024-01-01,Chrome,353192
2024-01-01,Safari,327577
2024-01-01,Edge,72389
2024-01-01,Safari (in-app),18368
2024-01-01,Firefox,16822
2024-01-01,Android Webview,15682
2024-01-01,Samsung Internet,14045
2024-01-01,Amazon Silk,2883
2024-01-01,Opera,1043
2024-01-01,Mozilla Compatible Agent,349
2024-01-01,Internet Explorer,94
2024-01-01,(not set),75
2024-01-01,YaBrowser,31
2024-01-01,Aloha Browser,17
2024-01-01,Opera Mini,17
2024-01-01,Whale Browser,12
2024-01-01,UC Browser,11
2024-01-01,Android Runtime,9
2024-01-01,DuckDuckGo Browser,8
2024-01-01,Coc Coc,7
2024-01-01,Puffin,6
2024-01-01,Waterfox,6
2024-01-01,PaleMoon,3
2024-01-01,SeaMonkey,3
2024-01-01,Android Browser,2
2024-01-01,Maxthon,1
2024-01-01,Meta Quest Browser,1
2024-01-01,Mozilla,1
2024-01-01,Nintendo Browser,1
2023-12-31,Safari,257823
2023-12-31,Chrome,249390
2023-12-31,Edge,47922
2023-12-31,Android Webview,13365
2023-12-31,Safari (in-app),12561
2023-12-31,Firefox,11582
2023-12-31,Samsung Internet,9628
2023-12-31,Amazon Silk,1879
2023-12-31,Opera,808
2023-12-31,Mozilla Compatible Agent,354
2023-12-31,Internet Explorer,118
2023-12-31,(not set),58
2023-12-31,Aloha Browser,27
2023-12-31,Opera Mini,22
2023-12-31,YaBrowser,22
2023-12-31,UC Browser,18
2023-12-31,Whale Browser,10
2023-12-31,Android Runtime,8
2023-12-31,DuckDuckGo Browser,8
2023-12-31,Puffin,8
2023-12-31,Coc Coc,3
2023-12-31,PaleMoon,3
2023-12-31,Phoenix Browser,3
2023-12-31,SeaMonkey,3
2023-12-31,Waterfox,3
2023-12-31,Android Browser,2
2023-12-31,Nintendo Browser,2
2023-12-31,Meta Quest Browser,1
2023-12-31,Mozilla,1
2023-12-30,Chrome,309474
2023-12-30,Safari,288667
2023-12-30,Edge,56917
2023-12-30,Android Webview,14205
2023-12-30,Firefox,13789
2023-12-30,Safari (in-app),12923
2023-12-30,Samsung Internet,12335
2023-12-30,Amazon Silk,2518
2023-12-30,Opera,934
2023-12-30,Mozilla Compatible Agent,379
2023-12-30,Internet Explorer,125
2023-12-30,(not set),57
2023-12-30,YaBrowser,34
2023-12-30,Opera Mini,14
