date,mobile_device,visits
2024-01-04,iPhone,471482
2024-01-04,Chrome,298362
2024-01-04,Edge,169976
2024-01-04,Safari,156491
2024-01-04,Firefox,24522
2024-01-04,ChromeBook,18650
2024-01-04,(not set),17770
2024-01-04,iPad,16609
2024-01-04,SM-A146U,10155
2024-01-04,SM-S908U,9022
2024-01-04,SM-S918U,8889
2024-01-04,SM-S901U,7094
2024-01-04,SM-G991U,5524
2024-01-04,SM-S911U,5432
2024-01-04,moto g pure,4680
2024-01-04,SM-A037U,4587
2024-01-04,SM-A136U,4477
2024-01-04,SM-S916U,4036
2024-01-04,SM-A326B,4023
2024-01-04,SM-G998U,4017
2024-01-04,SM-S906U,3535
2024-01-04,Moto G Stylus 5G,3198
2024-01-04,SM-G781U,3080
2024-01-04,moto g play (2023),3072
2024-01-04,SM-G996U,2982
2024-01-04,Moto G 5G (2022),2898
2024-01-04,Moto G Stylus 5G (2022),2591
2024-01-04,SM-A037F,2477
2024-01-04,Internet Explorer,2380
2024-01-04,SM-N986U,2263
2024-01-04,Moto G Power (2022),2250
2024-01-04,SM-A125U,2246
2024-01-04,SM-A546U,2169
2024-01-04,Pixel 6a,2102
2024-01-04,SM-A536U,2052
2024-01-04,SM-G973U,1988
2024-01-04,SM-G960U,1960
2024-01-04,Pixel 7,1893
2024-01-04,SM-G781V,1878
2024-01-04,SM-G990U,1843
2024-01-04,Pixel 7 Pro,1824
2024-01-04,SM-G970U,1787
2024-01-04,SM-G975U,1728
2024-01-04,SM-A236U,1687
2024-01-04,moto g stylus 5G - 2023,1676
2024-01-04,Pixel 6,1583
2024-01-04,SM-N960U,1563
2024-01-04,KFONWI,1541
2024-01-04,SM-N981U,1515
2024-01-04,SM-S918U1,1490
2024-01-04,Moto G Power (2021),1485
2024-01-04,moto g 5G - 2023,1472
2024-01-04,SM-G965U,1470
2024-01-04,SM-S136DL,1470
2024-01-04,Edge 5G UW,1417
2024-01-04,Firefox for Android,1410
2024-01-04,DE2118,1396
2024-01-04,SM-G990U2,1391
2024-01-04,SM-A716U,1320
2024-01-04,SM-S908U1,1300
2024-01-04,SM-N975U,1267
2024-01-04,SM-A426U,1252
2024-01-04,SM-G986U,1244
2024-01-04,SM-A135U,1188
2024-01-04,SM-A526U,1183
2024-01-04,SM-F711U,1149
2024-01-04,iPhone 11,1129
2024-01-04,iPhone 13,1118
2024-01-04,KFTRWI,1116
2024-01-04,SM-F721U,1116
2024-01-04,Opera,1092
2024-01-04,moto g stylus (2023),1076
2024-01-04,SM-G950U,1070
2024-01-04,Pixel 6 Pro,1057
2024-01-04,SM-S146VL,1041
2024-01-04,Moto G Stylus (2022),1018
2024-01-04,SM-F936U,1013
2024-01-04,TMAF025G,964
2024-01-04,one 5G ace,940
2024-01-04,Moto G Stylus,894
2024-01-04,TMAF035G,894
2024-01-04,SM-S711U,893
2024-01-04,SM-A102U,887
2024-01-04,SM-F926U,873
2024-01-04,REVVL V+ 5G,849
2024-01-04,moto g play (2021),849
2024-01-04,SM-F731U,845
2024-01-04,SM-A205U,826
2024-01-04,KFMAWI,817
2024-01-04,SM-G981U,815
2024-01-04,Pixel 7a,804
2024-01-04,B131DL,802
2024-01-04,SM-F946U,771
2024-01-04,SM-G960U1,759
2024-01-04,LM-Q730,744
2024-01-04,SM-N950U,744
2024-01-04,Pixel 8 Pro,738
2024-01-04,SM-X200,735
2024-01-04,SM-G988U,721
2024-01-04,SM-N970U,720
2024-01-04,Stratus C7,704
2024-01-04,Volt SV55,698
2024-01-04,SM-A515U,694
2024-01-04,iPhone 12,692
2024-01-04,SM-A215U,683
2024-01-04,9137W,670
2024-01-04,T602DL,642
2024-01-04,SM-G781U1,639
2024-01-04,iPhone 13 Pro Max,636
2024-01-04,SM-G955U,609
2024-01-04,LM-K500,599
2024-01-04,SM-S536DL,597
2024-01-04,B140DL,586
2024-01-04,iPhone 14 Pro Max,582
2024-01-04,SM-G991U1,571
2024-01-04,SM-A146U1,570
2024-01-04,SM-G998U1,570
2024-01-04,iPhone XR,570
2024-01-04,GN2200,568
2024-01-04,One 5G UW Ace,554
2024-01-04,CPH2515,549
2024-01-04,SM-S901U1,546
2024-01-04,iPhone 14,541
2024-01-04,Moto G Power 5G - 2023,513
2024-01-04,U616AT,511
2024-01-04,SM-S236DL,507
2024-01-04,iPhone SE (2nd generation),505
2024-01-04,SM-A516U,496
2024-01-04,SM-A115U,493
2024-01-04,TMRV065G,493
2024-01-04,KFQUWI,491
2024-01-04,Edge (2022),479
2024-01-04,SM-T510,476
2024-01-04,SM-G973U1,468
2024-01-04,SM-T227U,464
2024-01-04,A509DL,463
