date,os,visits
2024-01-04,iOS,495719
2024-01-04,Windows,484213
2024-01-04,Android,271288
2024-01-04,Macintosh,156254
2024-01-04,Chrome OS,18648
2024-01-04,Linux,15377
2024-01-04,(not set),190
2024-01-04,Firefox OS,19
2024-01-04,Fuchsia,18
2024-01-04,Tizen,16
2024-01-04,Playstation 4,9
2024-01-04,OS/2,6
2024-01-04,OpenBSD,2
2024-01-04,BlackBerry,1
2024-01-04,FreeBSD,1
2024-01-04,UNIX,1
2024-01-03,Windows,514660
2024-01-03,iOS,486283
2024-01-03,Android,292611
2024-01-03,Macintosh,163515
2024-01-03,Chrome OS,19843
2024-01-03,Linux,16326
2024-01-03,(not set),96
2024-01-03,OS/2,22
2024-01-03,Firefox OS,21
2024-01-03,Tizen,14
2024-01-03,Fuchsia,9
2024-01-03,Playstation 4,7
2024-01-03,FreeBSD,2
2024-01-02,Windows,497299
2024-01-02,iOS,490152
2024-01-02,Android,305483
2024-01-02,Macintosh,165954
2024-01-02,Chrome OS,19819
2024-01-02,Linux,15762
2024-01-02,(not set),109
2024-01-02,Firefox OS,17
2024-01-02,Fuchsia,13
2024-01-02,Tizen,13
2024-01-02,OS/2,12
2024-01-02,Playstation 4,9
2024-01-02,FreeBSD,4
2024-01-02,OpenBSD,1
2024-01-01,iOS,317843
2024-01-01,Windows,200185
2024-01-01,Android,185797
2024-01-01,Macintosh,92618
2024-01-01,Linux,13103
2024-01-01,Chrome OS,10807
2024-01-01,(not set),80
2024-01-01,Firefox OS,14
2024-01-01,Fuchsia,11
2024-01-01,OS/2,8
2024-01-01,Playstation 4,5
2024-01-01,Tizen,4
2024-01-01,Nokia,1
2023-12-31,iOS,248233
2023-12-31,Android,139036
2023-12-31,Windows,133248
2023-12-31,Macintosh,66523
2023-12-31,Linux,11764
2023-12-31,Chrome OS,7480
2023-12-31,(not set),77
2023-12-31,OS/2,15
2023-12-31,Fuchsia,14
2023-12-31,Firefox OS,12
2023-12-31,Tizen,9
2023-12-31,Playstation 4,7
2023-12-31,OpenBSD,1
2023-12-31,SymbianOS,1
2023-12-30,iOS,272599
2023-12-30,Android,170371
2023-12-30,Windows,163471
2023-12-30,Macintosh,79774
2023-12-30,Linux,12915
2023-12-30,Chrome OS,9072
2023-12-30,(not set),68
2023-12-30,Firefox OS,16
2023-12-30,OS/2,14
2023-12-30,Fuchsia,9
2023-12-30,Playstation 4,7
2023-12-30,BlackBerry,1
2023-12-30,FreeBSD,1
2023-12-30,Tizen,1
2023-12-30,Windows Phone,1
2023-12-29,iOS,405654
