domain,visits,users,pageviews,pageviews_per_session,avg_session_duration,bounce_rate
www.ssa.gov,30170312,17509137,63098407,2.0914071753716037,243.45314411595908,0.42160220285424954
secure.ssa.gov,4857813,3578263,17960224,3.6971830739470621,243.45163335958443,0.13106885752909797
faq.ssa.gov,1062944,927313,1541627,1.4503369885901798,147.63574859929872,0.23351841677454316
search.ssa.gov,461643,379068,760988,1.6484339630407046,146.86990493422192,0.05194490114655697
choosework.ssa.gov,74849,57412,133761,1.7870779836737967,221.65230099816964,0.30736549586500822
oig.ssa.gov,60579,51274,100865,1.6650159296125719,163.89166636060349,0.23027781904620412
yourtickettowork.ssa.gov,10520,7453,24798,2.3572243346007604,231.72823871264256,0.23925855513307984
www.choosework.ssa.gov,1228,941,2124,1.729641693811075,266.4834362776873,0.21579804560260588
www.ecfr.gov,598,477,709,1.18561872909699,183.36221742474916,0.28762541806020064
www.yourtickettowork.ssa.gov,150,105,246,1.64,204.48754375333334,0.12
ssabest.benefits.gov,132,106,112,0.84848484848484851,142.21600196969698,0.098484848484848481
oig-demo.ssa.gov,113,107,130,1.1504424778761062,16.352648946902654,0.87610619469026552
www.opm.gov,71,64,72,1.0140845070422535,139.11713635211268,0.16901408450704225
www.transportation.gov,56,48,78,1.3928571428571428,125.08968714285716,0.25
www.dol.gov,48,41,51,1.0625,97.566948604166669,0.25
search.usa.gov,45,42,78,1.7333333333333334,150.9326771111111,0.17777777777777778
www.whitehouse.gov,42,41,46,1.0952380952380953,63.051649071428571,0.59523809523809523
www.tsp.gov,39,36,44,1.1282051282051282,98.163062974358965,0.17948717948717949
www.usa.gov,36,30,28,0.77777777777777779,21.006358722222224,0.55555555555555558
www.uscis.gov,36,29,48,1.3333333333333333,114.37543325000001,0.5
