page_title,event_label,page,total_events
"Replace Social Security card | SSA",https://www.ssa.gov/forms/ss-5.pdf,ssa.gov/number-card/replace-card,23370
"Change name with Social Security | SSA",https://www.ssa.gov/forms/ss-5.pdf,ssa.gov/personal-record/change-name,12581
"Cost-of-Living Adjustment (COLA) Information | SSA",https://www.ssa.gov/news/press/factsheets/colafacts2024.pdf,ssa.gov/cola/,11543
"Disability Benefits | SSA",https://www.ssa.gov/hlp/radr/10/ovw001-checklist.pdf,ssa.gov/benefits/disability/,7897
"Schedule of Social Security Payments | SSA",https://www.ssa.gov/pubs/EN-05-10031-2023.pdf,ssa.gov/pubs/calendar.htm,5051
Apply Online for Disability Benefits,https://www.ssa.gov/hlp/radr/10/ovw001-checklist.pdf,ssa.gov/applyfordisability/,4665
"Request to lower an Income-Related Monthly Adjustment Amount (IRMAA) | SSA",https://www.ssa.gov/forms/ssa-44.pdf,ssa.gov/medicare/lower-irmaa,4591
Apply Online for Disability Benefits,https://www.ssa.gov/pubs/EN-05-10550.pdf,ssa.gov/applyfordisability/,3921
"Social Security Forms | Social Security Administration",https://www.ssa.gov/forms/ssa-44.pdf,ssa.gov/forms/,3747
"Social Security Forms | Social Security Administration",https://www.ssa.gov/forms/ssa-561-u2.pdf,ssa.gov/forms/,3242
"Request for a Social Security Statement (SSA-7004) | Social Security Administration",https://www.ssa.gov/forms/ssa-7004.pdf,ssa.gov/help/global_statement7004.html,3177
"Sign up for Part B only | SSA",https://www.cms.gov/files/document/cms-40b-application-enrollment-medicare-part-b-medical-insurance.pdf,ssa.gov/medicare/sign-up/part-b-only,2838
"Social Security Forms | Social Security Administration",https://www.ssa.gov/forms/ss-5.pdf,ssa.gov/forms/,2828
"Survivors Benefits | SSA",https://www.ssa.gov/pubs/EN-05-10008.pdf,ssa.gov/benefits/survivors/,2691
"Get Your Social Security Statement | my Social Security | SSA",https://www.ssa.gov/myaccount/assets/materials/statement-redesign-online.pdf,ssa.gov/myaccount/statement.html,2645
"Request a Social Security number | SSA",https://www.ssa.gov/pubs/EN-05-10096.pdf,ssa.gov/number-card/request-number-first-time,2296
"Form SSA-561 | Request for Reconsideration | Social Security Administration",https://www.ssa.gov/forms/ssa-561-u2.pdf,ssa.gov/forms/ssa-561.html,2130
"Cost-of-Living Adjustment (COLA) Information | SSA",https://www.ssa.gov/news/press/factsheets/colafacts2023.pdf,ssa.gov/cola/,2057
"Protect Yourself from Social Security Scams | SSA",https://oig.ssa.gov/assets/uploads/scam-alert-press-release-march-2023.pdf,ssa.gov/scam/,1984
"Disability Benefits | SSA",https://www.ssa.gov/pubs/EN-05-10029.pdf,ssa.gov/benefits/disability/,1938
"Schedule of Social Security Payments | SSA",https://www.ssa.gov/pubs/EN-05-10031-2024.pdf,ssa.gov/pubs/calendar.htm,1910
"Social Security Forms | Social Security Administration",https://www.irs.gov/pub/irs-pdf/fw4v.pdf,ssa.gov/forms/,1791
"Benefits Planner: Retirement | Windfall Elimination Provision (WEP) | SSA",https://www.ssa.gov/pubs/EN-05-10045.pdf,ssa.gov/benefits/retirement/planner/wep.html,1699
"Form SSA-632 | Request For Waiver Of Overpayment Recovery Or Change In Repayment Rate",https://www.ssa.gov/forms/ssa-632-bk.pdf,ssa.gov/forms/ssa-632.html,1662
Form SSA-827,https://www.ssa.gov/online/ssa-827.pdf,ssa.gov/disability/professionals/ssa827_informationpage.htm,1616
Adult Disability Starter Kit,https://www.ssa.gov/disability/Documents/Adult%20Disability%20Starter%20Kit%20Checklist.pdf,ssa.gov/disability/disability_starter_kits_adult_eng.htm,1579
"Survivors Benefits | SSA",https://www.ssa.gov/pubs/EN-05-10077.pdf,ssa.gov/benefits/survivors/,1524
"Form SSA-1724 | Claim For Amounts Due In The Case Of Deceased Beneficiary | Social Security Administration",https://www.ssa.gov/forms/ssa-1724.pdf,ssa.gov/forms/ssa-1724.html,1488
