date,browser,visits
2024-01-04,Chrome,1008544
2024-01-04,Safari,551530
2024-01-04,Edge,136699
2024-01-04,Firefox,33022
2024-01-04,Safari (in-app),25997
2024-01-04,Samsung Internet,24330
2024-01-04,Android Webview,20493
2024-01-04,Opera,6141
2024-01-04,(not set),1718
2024-01-04,YaBrowser,891
2024-01-04,Mozilla Compatible Agent,677
2024-01-04,Amazon Silk,565
2024-01-04,Opera Mini,398
2024-01-04,UC Browser,340
2024-01-04,Internet Explorer,332
2024-01-04,Whale Browser,296
2024-01-04,Coc Coc,178
2024-01-03,Chrome,976154
2024-01-03,Safari,556064
2024-01-03,Edge,136156
2024-01-03,Firefox,33716
2024-01-03,Safari (in-app),24984
2024-01-03,Samsung Internet,23898
2024-01-03,Android Webview,23775
2024-01-03,Opera,6062
2024-01-03,(not set),1756
2024-01-03,YaBrowser,877
2024-01-03,Mozilla Compatible Agent,692
2024-01-03,Amazon Silk,589
2024-01-03,Opera Mini,376
2024-01-03,Internet Explorer,338
2024-01-03,UC Browser,315
2024-01-03,Whale Browser,285
2024-01-03,Coc Coc,146
2024-01-02,Chrome,940178
2024-01-02,Safari,556985
2024-01-02,Edge,130577
2024-01-02,Firefox,32415
2024-01-02,Android Webview,26567
2024-01-02,Samsung Internet,24096
2024-01-02,Safari (in-app),24012
2024-01-02,Opera,5941
2024-01-02,(not set),1659
2024-01-02,YaBrowser,841
2024-01-02,Mozilla Compatible Agent,678
2024-01-02,Amazon Silk,579
2024-01-02,Opera Mini,340
2024-01-02,Whale Browser,324
2024-01-02,UC Browser,323
2024-01-02,Internet Explorer,293
2024-01-02,Coc Coc,166
2024-01-01,Chrome,522773
2024-01-01,Safari,380378
2024-01-01,Edge,49537
2024-01-01,Android Webview,19810
2024-01-01,Samsung Internet,17146
2024-01-01,Firefox,16002
2024-01-01,Safari (in-app),13738
2024-01-01,Opera,3950
2024-01-01,(not set),1494
2024-01-01,YaBrowser,603
2024-01-01,Amazon Silk,534
2024-01-01,Mozilla Compatible Agent,381
2024-01-01,Opera Mini,380
2024-01-01,UC Browser,275
2024-01-01,Whale Browser,244
2024-01-01,Internet Explorer,186
2024-01-01,Coc Coc,119
2023-12-31,Chrome,377536
2023-12-31,Safari,295885
2023-12-31,Edge,32157
2023-12-31,Samsung Internet,13135
2023-12-31,Firefox,11398
2023-12-31,Safari (in-app),9725
2023-12-31,Android Webview,8483
2023-12-31,Opera,2957
2023-12-31,(not set),1866
2023-12-31,Amazon Silk,487
2023-12-31,Mozilla Compatible Agent,392
2023-12-31,YaBrowser,344
2023-12-31,Opera Mini,342
2023-12-31,UC Browser,260
2023-12-31,Internet Explorer,190
2023-12-31,Whale Browser,101
2023-12-30,Chrome,437727
2023-12-30,Safari,329871
2023-12-30,Edge,39805
2023-12-30,Samsung Internet,14986
2023-12-30,Firefox,14029
2023-12-30,Safari (in-app),13209
2023-12-30,Android Webview,12026
2023-12-30,Opera,3471
2023-12-30,(not set),1357
2023-12-30,Amazon Silk,545
2023-12-30,YaBrowser,467
2023-12-30,Mozilla Compatible Agent,405
2023-12-30,Opera Mini,281
2023-12-30,UC Browser,272
2023-12-30,Internet Explorer,163
2023-12-30,Whale Browser,105
2023-12-29,Chrome,601002
2023-12-29,Safari,404014
2023-12-29,Edge,74185
2023-12-29,Firefox,20153
2023-12-29,Samsung Internet,18137
2023-12-29,Safari (in-app),16619
2023-12-29,Android Webview,14089
2023-12-29,Opera,4363
2023-12-29,(not set),1503
2023-12-29,YaBrowser,595
2023-12-29,Mozilla Compatible Agent,554
2023-12-29,Amazon Silk,490
2023-12-29,Opera Mini,346
2023-12-29,UC Browser,254
2023-12-29,Internet Explorer,208
2023-12-29,Whale Browser,182
2023-12-28,Chrome,704930
2023-12-28,Safari,459459
2023-12-28,Edge,91152
2023-12-28,Firefox,23924
2023-12-28,Samsung Internet,20155
2023-12-28,Safari (in-app),18969
2023-12-28,Android Webview,14708
2023-12-28,Opera,4543
2023-12-28,(not set),2578
2023-12-28,YaBrowser,696
2023-12-28,Mozilla Compatible Agent,555
2023-12-28,Amazon Silk,495
2023-12-28,UC Browser,324
2023-12-28,Opera Mini,316
2023-12-28,Internet Explorer,267
2023-12-28,Whale Browser,216
2023-12-28,Coc Coc,133
2023-12-27,Chrome,726336
2023-12-27,Safari,452339
2023-12-27,Edge,93707
2023-12-27,Safari (in-app),26660
2023-12-27,Firefox,24353
2023-12-27,Samsung Internet,21199
2023-12-27,Android Webview,18731
2023-12-27,Opera,4898
2023-12-27,(not set),1738
2023-12-27,YaBrowser,857
2023-12-27,Mozilla Compatible Agent,584
2023-12-27,Amazon Silk,519
2023-12-27,Opera Mini,317
2023-12-27,UC Browser,305
2023-12-27,Internet Explorer,277
2023-12-27,Whale Browser,259
2023-12-27,Coc Coc,125
2023-12-26,Chrome,679850
2023-12-26,Safari,414911
2023-12-26,Edge,79509
2023-12-26,Firefox,20434
2023-12-26,Samsung Internet,18699
2023-12-26,Safari (in-app),16472
2023-12-26,Android Webview,15096
2023-12-26,Opera,4667
2023-12-26,(not set),1458
2023-12-26,YaBrowser,875
2023-12-26,Mozilla Compatible Agent,562
2023-12-26,Amazon Silk,465
2023-12-26,Opera Mini,355
2023-12-26,UC Browser,300
2023-12-26,Whale Browser,247
2023-12-26,Internet Explorer,236
2023-12-26,Coc Coc,133
2023-12-25,Chrome,419788
2023-12-25,Safari,289436
2023-12-25,Edge,36897
2023-12-25,Samsung Internet,13865
2023-12-25,Firefox,11651
2023-12-25,Android Webview,11254
2023-12-25,Safari (in-app),11214
2023-12-25,Opera,3365
2023-12-25,(not set),1559
2023-12-25,YaBrowser,1027
2023-12-25,Mozilla Compatible Agent,433
2023-12-25,Amazon Silk,317
2023-12-25,UC Browser,265
2023-12-25,Opera Mini,254
2023-12-25,Whale Browser,214
2023-12-25,Internet Explorer,192
2023-12-25,Coc Coc,161
2023-12-24,Chrome,334453
2023-12-24,Safari,240521
2023-12-24,Edge,28186
2023-12-24,Samsung Internet,11710
2023-12-24,Android Webview,11135
2023-12-24,Safari (in-app),10178
2023-12-24,Firefox,9655
2023-12-24,Opera,2857
2023-12-24,(not set),1776
2023-12-24,YaBrowser,824
2023-12-24,Opera Mini,388
2023-12-24,Mozilla Compatible Agent,350
2023-12-24,Amazon Silk,287
2023-12-24,UC Browser,262
2023-12-24,Internet Explorer,200
2023-12-24,Whale Browser,117
2023-12-23,Chrome,377454
2023-12-23,Safari,273170
2023-12-23,Edge,31637
2023-12-23,Samsung Internet,12992
2023-12-23,Safari (in-app),12708
2023-12-23,Firefox,11691
2023-12-23,Android Webview,10194
2023-12-23,Opera,3195
2023-12-23,(not set),2237
2023-12-23,YaBrowser,667
2023-12-23,Mozilla Compatible Agent,376
2023-12-23,Opera Mini,313
2023-12-23,UC Browser,277
2023-12-23,Amazon Silk,266
2023-12-23,Internet Explorer,166
2023-12-23,Whale Browser,121
2023-12-22,Chrome,542450
2023-12-22,Safari,326587
2023-12-22,Edge,66868
2023-12-22,Firefox,17929
2023-12-22,Samsung Internet,16050
2023-12-22,Safari (in-app),15446
2023-12-22,Android Webview,10871
2023-12-22,Opera,4091
2023-12-22,(not set),1840
2023-12-22,YaBrowser,881
2023-12-22,Mozilla Compatible Agent,462
2023-12-22,Amazon Silk,323
2023-12-22,UC Browser,307
2023-12-22,Opera Mini,306
2023-12-22,Internet Explorer,247
2023-12-22,Whale Browser,172
2023-12-22,Coc Coc,123
2023-12-21,Chrome,685729
2023-12-21,Safari,372362
2023-12-21,Edge,88255
2023-12-21,Firefox,22616
2023-12-21,Safari (in-app),20491
2023-12-21,Samsung Internet,19329
2023-12-21,Android Webview,13976
2023-12-21,Opera,4909
2023-12-21,(not set),2076
2023-12-21,YaBrowser,1036
2023-12-21,Mozilla Compatible Agent,569
2023-12-21,UC Browser,336
2023-12-21,Amazon Silk,325
2023-12-21,Internet Explorer,314
2023-12-21,Opera Mini,308
2023-12-21,Whale Browser,230
2023-12-21,Coc Coc,165
2023-12-20,Chrome,726514
2023-12-20,Safari,381442
2023-12-20,Edge,97503
2023-12-20,Firefox,25173
2023-12-20,Safari (in-app),19634
2023-12-20,Samsung Internet,18044
2023-12-20,Android Webview,13549
2023-12-20,Opera,4804
2023-12-20,(not set),2066
2023-12-20,YaBrowser,1047
2023-12-20,Mozilla Compatible Agent,557
2023-12-20,Amazon Silk,377
2023-12-20,Internet Explorer,350
2023-12-20,Opera Mini,330
2023-12-20,UC Browser,271
2023-12-20,Whale Browser,245
2023-12-20,Coc Coc,179
2023-12-19,Chrome,760392
2023-12-19,Safari,396162
2023-12-19,Edge,101723
2023-12-19,Firefox,25228
2023-12-19,Safari (in-app),19678
2023-12-19,Samsung Internet,19406
2023-12-19,Android Webview,15871
2023-12-19,Opera,5124
2023-12-19,(not set),2027
2023-12-19,YaBrowser,999
2023-12-19,Mozilla Compatible Agent,564
2023-12-19,Amazon Silk,418
2023-12-19,Internet Explorer,345
2023-12-19,Opera Mini,342
2023-12-19,UC Browser,323
2023-12-19,Whale Browser,280
2023-12-19,Coc Coc,162
2023-12-18,Chrome,806676
2023-12-18,Safari,420678
2023-12-18,Edge,108314
2023-12-18,Firefox,28059
2023-12-18,Samsung Internet,18966
2023-12-18,Safari (in-app),18517
2023-12-18,Android Webview,14617
2023-12-18,Opera,5609
2023-12-18,(not set),1773
2023-12-18,YaBrowser,1001
2023-12-18,Mozilla Compatible Agent,613
2023-12-18,Amazon Silk,439
2023-12-18,Internet Explorer,369
2023-12-18,Opera Mini,358
2023-12-18,UC Browser,317
2023-12-18,Whale Browser,272
2023-12-18,Coc Coc,172
2023-12-17,Chrome,478775
2023-12-17,Safari,330567
2023-12-17,Edge,47287
2023-12-17,Samsung Internet,15703
2023-12-17,Firefox,15078
2023-12-17,Safari (in-app),13352
2023-12-17,Android Webview,10008
2023-12-17,Opera,4068
2023-12-17,(not set),1103
2023-12-17,YaBrowser,817
2023-12-17,Mozilla Compatible Agent,478
2023-12-17,Opera Mini,372
2023-12-17,Amazon Silk,352
2023-12-17,UC Browser,293
2023-12-17,Internet Explorer,261
2023-12-17,Whale Browser,210
2023-12-17,Coc Coc,138
2023-12-16,Chrome,438669
2023-12-16,Safari,313878
2023-12-16,Edge,39358
2023-12-16,Samsung Internet,15016
2023-12-16,Firefox,13506
2023-12-16,Safari (in-app),13235
2023-12-16,Android Webview,9424
2023-12-16,Opera,3757
2023-12-16,(not set),1865
2023-12-16,YaBrowser,687
2023-12-16,Mozilla Compatible Agent,404
2023-12-16,Amazon Silk,364
2023-12-16,UC Browser,335
2023-12-16,Opera Mini,313
2023-12-16,Internet Explorer,242
2023-12-16,Whale Browser,124
2023-12-15,Chrome,679906
2023-12-15,Safari,350799
2023-12-15,Edge,81705
2023-12-15,Firefox,21052
2023-12-15,Samsung Internet,18079
2023-12-15,Safari (in-app),16905
2023-12-15,Android Webview,10933
2023-12-15,Opera,4711
2023-12-15,(not set),2130
2023-12-15,YaBrowser,954
2023-12-15,Mozilla Compatible Agent,470
2023-12-15,Amazon Silk,349
2023-12-15,Internet Explorer,349
2023-12-15,Opera Mini,346
2023-12-15,UC Browser,305
2023-12-15,Whale Browser,208
2023-12-15,Coc Coc,155
2023-12-14,Chrome,778956
2023-12-14,Safari,409456
2023-12-14,Edge,99597
2023-12-14,Firefox,25187
