date,mobile_device,visits
2024-01-04,iPhone,546974
2024-01-04,Chrome,466281
2024-01-04,Safari,235369
2024-01-04,Edge,132887
2024-01-04,(not set),31021
2024-01-04,ChromeBook,26312
2024-01-04,Firefox,24812
2024-01-04,iPad,11113
2024-01-04,SM-S908U,5750
2024-01-04,SM-S918U,5600
2024-01-04,Opera,4004
2024-01-04,SM-S901U,3715
2024-01-04,SM-G991U,3401
2024-01-04,SM-G998U,2806
2024-01-04,Pixel 7,2778
2024-01-04,SM-S911U,2777
2024-01-04,SM-S918B,2599
2024-01-04,Pixel 7 Pro,2335
2024-01-04,SM-S918U1,2287
2024-01-04,Pixel 6,2254
2024-01-04,SM-S908U1,2192
2024-01-04,Pixel 6a,2144
2024-01-04,SM-A146U,2112
2024-01-04,SM-S916U,2077
2024-01-04,SM-S906U,2059
2024-01-04,Firefox for Android,1863
2024-01-04,SM-G996U,1679
2024-01-04,SM-A515F,1554
2024-01-04,Pixel 6 Pro,1470
2024-01-04,SM-N986U,1450
2024-01-04,SM-A546E,1448
2024-01-04,SM-S908E,1448
2024-01-04,SM-A528B,1445
2024-01-04,SM-A326B,1395
2024-01-04,SM-G780F,1374
2024-01-04,SM-G781U,1354
2024-01-04,SM-G975U,1305
2024-01-04,SM-A715F,1271
2024-01-04,Pixel 8 Pro,1235
2024-01-04,SM-G973U,1230
2024-01-04,SM-A536E,1185
2024-01-04,SM-A325F,1181
2024-01-04,SM-A127F,1067
2024-01-04,M2101K6G,1045
2024-01-04,SM-A136U,1041
2024-01-04,SM-G990E,1030
2024-01-04,Redmi Note 8 Pro,1029
2024-01-04,SM-G998B,1029
2024-01-04,SM-G991B,1027
2024-01-04,SM-G960U,1015
2024-01-03,iPhone,550160
2024-01-03,Chrome,476331
2024-01-03,Safari,243136
2024-01-03,Edge,133900
2024-01-03,(not set),29414
2024-01-03,Firefox,25577
2024-01-03,ChromeBook,22384
2024-01-03,iPad,10954
2024-01-03,SM-S918U,5680
2024-01-03,SM-S908U,5654
2024-01-03,Opera,4102
2024-01-03,SM-S901U,3779
2024-01-03,SM-G991U,3462
2024-01-03,SM-G998U,2873
2024-01-03,SM-S911U,2813
2024-01-03,Pixel 7,2658
2024-01-03,SM-S918B,2602
2024-01-03,SM-S918U1,2353
2024-01-03,Pixel 7 Pro,2339
2024-01-03,Pixel 6,2301
2024-01-03,Pixel 6a,2209
2024-01-03,SM-S908U1,2122
2024-01-03,SM-A146U,2081
2024-01-03,SM-S916U,2077
2024-01-03,SM-S906U,2069
2024-01-03,SM-G996U,1682
2024-01-03,SM-A515F,1662
2024-01-03,Firefox for Android,1621
2024-01-03,SM-N986U,1499
2024-01-03,SM-A326B,1491
2024-01-03,SM-G781U,1483
2024-01-03,SM-A546E,1474
2024-01-03,SM-A528B,1467
2024-01-03,Pixel 6 Pro,1457
2024-01-03,SM-S908E,1416
2024-01-03,SM-G780F,1408
2024-01-03,SM-A715F,1325
2024-01-03,SM-A536E,1313
2024-01-03,SM-G973U,1288
2024-01-03,SM-G975U,1284
2024-01-03,iPhone 11,1210
2024-01-03,Pixel 8 Pro,1185
2024-01-03,SM-G991B,1181
2024-01-03,SM-A127F,1171
2024-01-03,SM-A325F,1156
2024-01-03,SM-G960U,1143
2024-01-03,SM-S911B,1065
2024-01-03,SM-A136U,1057
2024-01-03,Redmi Note 8 Pro,1051
2024-01-03,SM-G990E,1045
2024-01-03,SM-G998U1,1035
2024-01-03,M2101K6G,1028
2024-01-03,SM-A325M,1024
2024-01-03,SM-A135F,1018
2024-01-03,SM-A125F,1017
2024-01-03,SM-G970U,1003
2024-01-02,iPhone,532873
2024-01-02,Chrome,440901
2024-01-02,Safari,236319
2024-01-02,Edge,128304
2024-01-02,(not set),28632
2024-01-02,Firefox,24731
2024-01-02,ChromeBook,16549
2024-01-02,iPad,11297
2024-01-02,SM-S918U,5834
2024-01-02,SM-S908U,5615
2024-01-02,SM-S901U,3985
2024-01-02,Opera,3899
2024-01-02,SM-G991U,3557
2024-01-02,SM-G998U,2959
2024-01-02,SM-S911U,2877
2024-01-02,Pixel 7,2853
2024-01-02,SM-S918B,2575
2024-01-02,SM-S918U1,2416
2024-01-02,Pixel 6,2303
2024-01-02,Pixel 7 Pro,2289
2024-01-02,SM-S916U,2260
2024-01-02,Pixel 6a,2240
2024-01-02,SM-S906U,2157
2024-01-02,SM-A146U,2151
2024-01-02,SM-S908U1,2066
2024-01-02,Firefox for Android,1754
2024-01-02,SM-G996U,1733
2024-01-02,SM-A515F,1688
2024-01-02,SM-N986U,1560
2024-01-02,SM-G781U,1502
2024-01-02,Pixel 6 Pro,1460
2024-01-02,SM-A326B,1441
2024-01-02,SM-A546E,1430
2024-01-02,SM-S908E,1392
2024-01-02,SM-A528B,1361
2024-01-02,SM-G973U,1358
2024-01-02,SM-A536E,1292
2024-01-02,SM-G975U,1269
2024-01-02,SM-A715F,1246
2024-01-02,Pixel 8 Pro,1225
2024-01-02,SM-G780F,1224
2024-01-02,iPhone 11,1181
2024-01-02,SM-A325F,1136
2024-01-02,SM-A136U,1092
2024-01-02,SM-A127F,1087
2024-01-02,SM-G960U,1073
2024-01-02,SM-G991B,1070
2024-01-02,Redmi Note 8 Pro,1066
2024-01-02,SM-G998B,1038
2024-01-02,SM-G970U,1014
2024-01-01,iPhone,373406
2024-01-01,Chrome,187915
2024-01-01,Safari,136946
2024-01-01,Edge,48041
2024-01-01,Firefox,11251
2024-01-01,(not set),10983
2024-01-01,iPad,8819
2024-01-01,ChromeBook,7508
2024-01-01,SM-S908U,4049
2024-01-01,SM-S918U,3878
2024-01-01,SM-S901U,2778
2024-01-01,SM-G991U,2640
2024-01-01,Opera,2355
2024-01-01,Pixel 7,2191
2024-01-01,SM-S911U,2173
2024-01-01,SM-G998U,2081
2024-01-01,SM-S918B,1896
2024-01-01,Pixel 7 Pro,1813
2024-01-01,Pixel 6,1800
2024-01-01,Pixel 6a,1743
2024-01-01,SM-S918U1,1705
2024-01-01,SM-S916U,1660
2024-01-01,SM-S906U,1550
2024-01-01,SM-A146U,1534
2024-01-01,SM-S908U1,1513
2024-01-01,Firefox for Android,1362
2024-01-01,SM-A515F,1189
2024-01-01,Pixel 6 Pro,1167
2024-01-01,SM-G996U,1167
2024-01-01,SM-A326B,1103
2024-01-01,SM-G781U,1043
2024-01-01,SM-A528B,1019
2023-12-31,iPhone,294367
2023-12-31,Chrome,129441
2023-12-31,Safari,88537
2023-12-31,Edge,31400
2023-12-31,(not set),8275
2023-12-31,Firefox,8261
2023-12-31,iPad,6132
2023-12-31,ChromeBook,4737
2023-12-31,SM-S918U,3134
2023-12-31,SM-S908U,3027
2023-12-31,SM-S901U,2237
2023-12-31,SM-G991U,1936
2023-12-31,Opera,1726
2023-12-31,Pixel 7,1694
2023-12-31,SM-S911U,1599
2023-12-31,SM-G998U,1560
2023-12-31,Pixel 6,1397
2023-12-31,SM-S918B,1396
2023-12-31,Pixel 7 Pro,1384
2023-12-31,Pixel 6a,1354
2023-12-31,SM-S918U1,1208
2023-12-31,SM-S906U,1190
2023-12-31,SM-S908U1,1139
2023-12-31,SM-S916U,1132
2023-12-31,SM-A146U,1131
2023-12-31,Firefox for Android,1063
2023-12-30,iPhone,326251
2023-12-30,Chrome,152285
2023-12-30,Safari,106007
2023-12-30,Edge,38581
2023-12-30,Firefox,10181
2023-12-30,(not set),8825
2023-12-30,iPad,7389
2023-12-30,ChromeBook,5758
2023-12-30,SM-S918U,3781
2023-12-30,SM-S908U,3610
2023-12-30,SM-S901U,2738
2023-12-30,SM-G991U,2402
2023-12-30,Opera,2135
2023-12-30,SM-S911U,1959
2023-12-30,Pixel 7,1888
2023-12-30,SM-G998U,1831
2023-12-30,Pixel 6,1679
2023-12-30,Pixel 7 Pro,1658
2023-12-30,SM-S918B,1561
2023-12-30,SM-S918U1,1474
2023-12-30,SM-S916U,1460
2023-12-30,SM-S906U,1449
2023-12-30,SM-A146U,1424
2023-12-30,Pixel 6a,1410
2023-12-30,SM-S908U1,1371
2023-12-30,Firefox for Android,1245
2023-12-30,SM-G996U,1113
2023-12-29,iPhone,399085
2023-12-29,Chrome,252064
2023-12-29,Safari,147314
2023-12-29,Edge,72627
2023-12-29,(not set),16643
2023-12-29,Firefox,15255
2023-12-29,iPad,8001
2023-12-29,ChromeBook,7264
2023-12-29,SM-S908U,4462
2023-12-29,SM-S918U,4413
2023-12-29,SM-S901U,3090
2023-12-29,SM-G991U,2938
2023-12-29,Opera,2773
2023-12-29,SM-S911U,2294
