date,language,visits
2024-01-04,English,1424927
2024-01-04,Spanish,159395
2024-01-04,Chinese,57972
2024-01-04,Portuguese,39893
2024-01-04,French,35138
2024-01-04,Russian,15001
2024-01-04,Japanese,11146
2024-01-04,German,10853
2024-01-04,Turkish,9209
2024-01-04,Arabic,7251
2024-01-04,Italian,6348
2024-01-04,Korean,4849
2024-01-04,Polish,3765
2024-01-04,Vietnamese,3586
2024-01-04,Romanian,2187
2024-01-04,Indonesian,2067
2024-01-04,Dutch,2058
2024-01-04,Thai,1935
2024-01-04,Ukrainian,1766
2024-01-04,Swedish,1545
2024-01-04,Hebrew,1419
2024-01-04,Hungarian,1389
2024-01-04,Greek,1349
2024-01-04,Czech,1257
2024-01-04,Norwegian Bokmål,1075
2024-01-04,Danish,986
2024-01-04,Bulgarian,656
2024-01-04,Slovak,613
2024-01-04,Croatian,586
2024-01-04,Persian,537
2024-01-04,Serbian,463
2024-01-04,Finnish,436
2024-01-04,Uzbek,250
2024-01-04,Catalan,228
2024-01-04,Azerbaijani,226
2024-01-04,Slovenian,217
2024-01-04,(other),196
2024-01-04,Lithuanian,184
2024-01-04,Albanian,144
2024-01-04,Georgian,136
2024-01-04,Hindi,124
2024-01-04,Bosnian,108
2024-01-04,Latvian,102
2024-01-04,Estonian,98
2024-01-04,Bengali,83
2024-01-04,Central Khmer,62
2024-01-04,Macedonian,58
2024-01-04,Burmese,45
2024-01-04,Mongolian,43
2024-01-04,Malay,39
2024-01-04,Armenian,38
2024-01-04,Panjabi,38
2024-01-04,Amharic,36
2024-01-04,Gujarati,30
2024-01-04,Telugu,26
2024-01-04,Afrikaans,19
2024-01-04,Belarusian,18
2024-01-04,Urdu,18
2024-01-04,Nepali,17
2024-01-04,Tamil,17
2024-01-04,Tonga,17
2024-01-04,Icelandic,15
2024-01-04,Somali,14
2024-01-04,Kazakh,13
2024-01-04,Lao,12
2024-01-04,Marathi,12
2024-01-04,Swahili,12
2024-01-04,Kannada,11
2024-01-04,Pushto,11
2024-01-03,English,1426479
2024-01-03,Spanish,171986
2024-01-03,Portuguese,39456
2024-01-03,French,37287
2024-01-03,Chinese,29435
2024-01-03,Russian,15139
2024-01-03,German,11367
2024-01-03,Turkish,9743
2024-01-03,Japanese,8569
2024-01-03,Arabic,7453
2024-01-03,Italian,6641
2024-01-03,Korean,5037
2024-01-03,Polish,3996
2024-01-03,Vietnamese,3448
2024-01-03,Dutch,2295
2024-01-03,Romanian,2232
2024-01-03,Thai,1835
2024-01-03,Ukrainian,1801
2024-01-03,Hebrew,1754
2024-01-03,Swedish,1623
2024-01-03,Hungarian,1595
2024-01-03,Indonesian,1357
2024-01-03,Greek,1324
2024-01-03,Czech,1211
2024-01-03,Danish,1175
2024-01-03,Norwegian Bokmål,1149
2024-01-03,Bulgarian,569
2024-01-03,Persian,545
