date,screen_resolution,visits
2024-01-04,1920x1080,234651
2024-01-04,390x844,156136
2024-01-04,1440x900,109827
2024-01-04,1366x768,103092
2024-01-04,1536x864,100072
2024-01-04,428x926,84063
2024-01-04,430x932,79764
2024-01-04,414x896,76845
2024-01-04,1280x720,74302
2024-01-04,393x852,61180
2024-01-04,375x812,50305
2024-01-04,360x800,38833
2024-01-04,412x915,35579
2024-01-04,2560x1440,24664
2024-01-04,375x667,22172
2024-01-04,1280x800,22140
2024-01-04,360x780,21012
2024-01-04,1680x1050,20191
2024-01-04,393x873,18946
2024-01-04,1600x900,18354
2024-01-04,412x892,13781
2024-01-04,384x854,13254
2024-01-04,1470x956,12600
2024-01-04,385x854,12037
2024-01-04,1512x982,11154
2024-01-04,384x824,11142
2024-01-04,1920x1200,10902
2024-01-04,800x600,10863
2024-01-04,810x1080,10731
2024-01-04,384x857,9429
2024-01-04,414x736,9386
2024-01-04,384x832,9043
2024-01-04,412x869,8915
2024-01-04,412x883,8481
2024-01-04,3440x1440,8461
2024-01-04,1024x768,8453
2024-01-04,320x693,8113
2024-01-04,1728x1117,8108
2024-01-04,1280x1024,7559
2024-01-04,1536x960,7546
2024-01-04,393x851,7497
2024-01-04,768x1024,7387
2024-01-04,820x1180,7357
2024-01-04,1024x1366,6533
2024-01-04,360x806,5905
2024-01-04,360x760,5839
2024-01-04,2048x1152,5835
2024-01-04,412x846,5755
2024-01-04,1792x1120,5663
2024-01-04,834x1194,5289
2024-01-04,1280x960,5202
2024-01-04,360x640,5004
2024-01-04,360x820,4758
2024-01-04,360x740,3927
2024-01-04,1368x912,3618
2024-01-04,432x960,3486
2024-01-04,2240x1260,3472
2024-01-04,2560x1080,3445
2024-01-04,1504x1003,3380
2024-01-04,320x712,3163
2024-01-04,360x772,3120
2024-01-04,320x568,2861
2024-01-04,360x720,2524
2024-01-04,1360x768,2517
2024-01-04,1707x1067,2479
2024-01-04,1710x1107,2444
2024-01-04,360x880,2398
2024-01-04,834x1112,2287
2024-01-04,360x804,2202
2024-01-04,385x824,2118
2024-01-04,1440x960,2031
