domain,visits
zw.usembassy.gov,7172
zm.usembassy.gov,7916
za.usembassy.gov,20945
ylai.state.gov,3097
ye.usembassy.gov,2815
yali.state.gov,21836
xk.usembassy.gov,6840
wwwnc.cdc.gov,41
www.whitehouse.gov,153
www.usembassy.gov,341823
www.uscis.gov,347
www.usau.usmission.gov,641
www.usa.gov,24
www.tsa.gov,17
www.treasurydirect.gov,28
www.state.gov,1440170
www.ssa.gov,32
www.osac.gov,30207
www.nps.gov,10
www.mapgive.state.gov,72
www.epa.gov,23
www.ecfr.gov,31
www.cdc.gov,1710
www.cbp.gov,108
www.ait.org.tw,12
ws.usembassy.gov,1520
westafrica.ilea.state.gov,190
webcache.googleusercontent.com,90
web.archive.org,13
vn.usembassy.gov,73606
vienna.usmission.gov,704
ve.usembassy.gov,13101
va.usembassy.gov,1237
uz.usembassy.gov,26627
uz.edit.usembassy.gov,10
uy.usembassy.gov,44373
usunrome.usmission.gov,471
usun.usmission.gov,21205
usoecd.usmission.gov,663
usoas.usmission.gov,11822
useu.usmission.gov,986
uk.usembassy.gov,239119
ug.usembassy.gov,31076
ua.usembassy.gov,26185
tz.usembassy.gov,11697
tt.usembassy.gov,17319
travel.state.gov,7976376
translated.turbopages.org,413
tr.usembassy.gov,113996
tr.edit.usembassy.gov,16
tn.usembassy.gov,15053
tm.usembassy.gov,9785
tm.edit.usembassy.gov,10
tl.usembassy.gov,1212
tj.usembassy.gov,6431
th.usembassy.gov,64090
th.edit.usembassy.gov,18
tg.usembassy.gov,5503
test.j1visa.state.gov,53
techcamp.edit.america.gov,27
techcamp.america.gov,653
td.usembassy.gov,3813
sz.usembassy.gov,3522
sy.usembassy.gov,1174
sv.usembassy.gov,61303
sv.edit.usembassy.gov,10
studyinthestates.dhs.gov,15
studyabroad.state.gov,2091
staging.j1visa.state.gov,127
ss.usembassy.gov,2796
sr.usembassy.gov,5772
so.usembassy.gov,2089
sn.usembassy.gov,11076
sm.usmission.gov,524
sl.usembassy.gov,10430
sk.usembassy.gov,6780
si.usembassy.gov,2273
share.america.gov,139835
sg.usembassy.gov,14857
search.usembassy.gov,76265
search.usa.gov,11
se.usembassy.gov,15216
sd.usembassy.gov,1919
sansalvador.ilea.state.gov,338
sample2.usembassy.gov,135
sample2.edit.usembassy.gov,10
sample.usembassy.gov,456
sa.usembassy.gov,26222
rw.usembassy.gov,6513
ru.usembassy.gov,50992
rs.usembassy.gov,10334
roswell.ilea.state.gov,229
ro.usembassy.gov,32504
qa.usembassy.gov,17493
py.usembassy.gov,16311
pw.usembassy.gov,733
publications.america.gov,1006
pt.usembassy.gov,16851
pptform.state.gov,1545285
pl.usembassy.gov,54951
pl.edit.usembassy.gov,17
pk.usembassy.gov,57228
ph.usembassy.gov,77618
pg.usembassy.gov,8573
pe.usembassy.gov,54379
passportstatus.state.gov,564645
passportappointment.travel.state.gov,156130
palestinianaffairs.state.gov,2392
pa.usembassy.gov,22925
osce.usmission.gov,2316
online.fsi.state.gov,133
online-dev.fsi.state.gov,30
om.usembassy.gov,8539
ofac.treasury.gov,296
nz.usembassy.gov,11040
np.usembassy.gov,19419
no.usembassy.gov,7396
nl.usembassy.gov,58098
ni.usembassy.gov,16663
ng.usembassy.gov,31957
ne.usembassy.gov,2271
nato.usmission.gov,2000
na.usembassy.gov,4338
mz.usembassy.gov,4067
my.usembassy.gov,17404
mx.usembassy.gov,307311
mw.usembassy.gov,4306
mv.usmission.gov,792
mu.usembassy.gov,2762
mt.usembassy.gov,3040
mr.usembassy.gov,6629
mn.usembassy.gov,10352
mm.usembassy.gov,9816
ml.usembassy.gov,15565
mk.usembassy.gov,5896
mh.usembassy.gov,2175
mg.usembassy.gov,8241
mepi.state.gov,4988
me.usembassy.gov,5339
md.usembassy.gov,8409
mapgive.state.gov,258
ma.usembassy.gov,31961
ly.usembassy.gov,3787
lv.usembassy.gov,4604
lu.usembassy.gov,3072
lt.usembassy.gov,5724
ls.usembassy.gov,925
lr.usembassy.gov,10084
lk.usembassy.gov,13240
lk.edit.usembassy.gov,11
lb.usembassy.gov,14317
la.usembassy.gov,3277
kz.usembassy.gov,20377
kw.usembassy.gov,7911
kr.usembassy.gov,56283
km.usembassy.gov,821
kh.usembassy.gov,12878
kg.usembassy.gov,8387
ke.usembassy.gov,28365
jp.usembassy.gov,183231
jo.usembassy.gov,23229
jo.edit.usembassy.gov,13
jm.usembassy.gov,23720
j1visawaiverstatus.state.gov,20728
j1visawaiverrecommendation.state.gov,8044
j1visa.state.gov,45558
it.usembassy.gov,87308
is.usembassy.gov,7355
ir.usembassy.gov,2625
iq.usembassy.gov,20931
interactive.state.gov,289
infocentral.state.gov,21
in.usembassy.gov,303598
in.edit.usembassy.gov,31
ilet.state.gov,61
ilea.state.gov,843
il.usembassy.gov,67469
ie.usembassy.gov,15240
id.usembassy.gov,35727
id.edit.usembassy.gov,11
ict.state.gov,94
icao.usmission.gov,558
iawg.gov,77
i94.cbp.dhs.gov,14
hu.usembassy.gov,18216
ht.usembassy.gov,31316
hr.usembassy.gov,6961
hn.usembassy.gov,35203
hk.usconsulate.gov,54217
hk-consulate.edit.usembassy.gov,21
history.state.gov,570221
gy.usembassy.gov,9999
gw.usmission.gov,1030
gt.usembassy.gov,36098
gr.usembassy.gov,18030
gq.usembassy.gov,2518
gn.usembassy.gov,5562
gm.usembassy.gov,2790
gh.usembassy.gov,30528
geneva.usmission.gov,3527
ge.usembassy.gov,14738
gaborone.ilea.state.gov,171
ga.usembassy.gov,4212
ga.edit.usembassy.gov,12
fsitraining.state.gov,1615
fsitraining-dev.fsi.state.gov,17
fr.usembassy.gov,65563
fm.usembassy.gov,1093
fj.usembassy.gov,3983
findit.state.gov,24417
fi.usembassy.gov,5298
fam.state.gov,75
exchanges.state.gov,44616
et.usembassy.gov,24422
es.usembassy.gov,62633
er.usembassy.gov,2238
eg.usembassy.gov,60271
eg.edit.usembassy.gov,15
eforms.state.gov,15362
ee.usembassy.gov,7969
educationusa.state.gov,12054
edit.usembassy.gov,30
eca.state.gov,19369
ec.usembassy.gov,65120
ec.edit.usembassy.gov,13
dz.usembassy.gov,16948
