domain,landing_page,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
travel.state.gov,/content/travel/en/passports.html,3431817,933113,857910,3.6778150127583689,294.44385635272283,0.14137516035035413
passportstatus.state.gov,/,2647555,860811,545711,3.07565075260423,181.86109175698735,0.12420844993848824
travel.state.gov,/content/travel.html,2458365,589570,462279,4.1697593161117421,327.51126578546263,0.18888511966348356
travel.state.gov,/content/travel/en/legal/visa-law0/visa-bulletin.html,1975072,796687,358766,2.4791066002081119,261.82684601837667,0.32438209736069495
travel.state.gov,/content/travel/en/passports/how-apply.html,1503465,431640,396027,3.4831433602075803,308.66334853153739,0.13781855249745159
travel.state.gov,/content/travel/en/passports.html/,1356582,345185,323116,3.9300143401364487,329.27233927024741,0.11738922606718137
travel.state.gov,/content/travel/en/passports/have-passport/renew.html,1289007,599544,448772,2.1499789840278614,261.14516423847641,0.3782591436158147
www.state.gov,/,1081828,695246,660087,1.5560362806833841,70.1612713515412,0.71091814983473478
travel.state.gov,/content/travel/en/us-visas/tourism-visit.html,1054393,278225,237088,3.7897133614880043,445.65208898615577,0.12882738790547218
www.usembassy.gov,/,972995,460937,396091,2.110904527082877,195.91678683692191,0.18554162499430507
travel.state.gov,/content/travel/en/passports/how-apply/forms.html,948158,431527,360947,2.1972159331861043,236.34955861493893,0.2288709628829714
travel.state.gov,/content/travel/en/passports/how-apply/fees.html,860726,362987,307438,2.3712309256254356,274.99827834004333,0.27596580593795372
travel.state.gov,/content/travel/en/us-visas/visa-information-resources/wait-times.html,808365,393302,278579,2.05532644125888,276.68139294607857,0.36017614962547861
travel.state.gov,/content/travel/en/traveladvisories/traveladvisories.html/,802467,187305,165567,4.28427965083687,339.88039691551114,0.21746349536851659
pptform.state.gov,/content/travel/en/passports.html,729386,296055,286961,2.4636841127493203,395.33308691419927,0.00094577021161608486
travel.state.gov,/content/travel/en/legal/visa-law0/visa-bulletin/2024/visa-bulletin-for-january-2024.html,689248,438736,292783,1.5709857408555488,147.53861487959298,0.56506646365923929
history.state.gov,/countries/all,674361,471591,403076,1.4299700375961373,189.40161383743396,0.45102641907924451
travel.state.gov,/content/travel/en/passports/need-passport/under-16.html,672831,367329,264560,1.8316822249264284,261.94967865186072,0.38447277508718342
travel.state.gov,/content/travel/en/us-visas.html,635887,167102,140088,3.8053823413244605,369.09405954191232,0.24114612631805724
pptform.state.gov,/content/travel/en/passports/how-apply/forms.html,627913,246241,230660,2.5499937053536983,432.23122744396017,0.010120166828432309
