domain,page,page_title,pageviews,visits,active_visitors,pageviews_per_session,avg_session_duration,bounce_rate
tools.usps.com,/go/TrackConfirmAction_input,USPS.com® - USPS Tracking® Results,175722689,137155951,54712579,1.281188958399625,150.00762687187782,0.70290132726359067
tools.usps.com,/go/TrackConfirmAction,USPS.com® - USPS Tracking® Results,175530508,125536790,41820152,1.3982395758247443,174.2187298019883,0.54619015668633875
www.time.gov,/,"National Institute of Standards and Technology | NIST",89837980,1303367,605076,68.927616703507141,5059.9273217820783,0.28922628852809684
time.gov,/,"National Institute of Standards and Technology | NIST",83485394,625915,230797,133.38135849116892,11058.021978043251,0.22911737216714731
informeddelivery.usps.com,/box/pages/secure/DashboardAction_input.action,Informed Delivery,66454459,37543092,6838830,1.7700848401085345,143.91295614479958,0.06148113746198635
reg.usps.com,/entreg/LoginAction_input,USPS.com® - Sign In,46157713,40402133,18347074,1.1424573054100882,64.378028210577753,0.26601714320380065
www.usps.com,/,"Welcome | USPS",39809606,31410171,17129976,1.2674113108139398,76.11556084139626,0.16141459401796954
tools.usps.com,/go/TrackConfirmAction.action,USPS.com® - USPS Tracking® Results,39123638,32015770,12801827,1.2220114962095243,133.97373187546185,0.68136665149705911
www.usps.com,/manage/informed-delivery.htm,"Informed Delivery - Mail & Package Notifications | USPS",34381250,30639728,8249976,1.1221134208502113,47.355973501012954,0.0692706540998014
reg.usps.com,/portal/login,USPS.com® - Sign In,28108582,26003477,4463789,1.0809547507819819,32.479470468846849,0.010880544936356011
informeddelivery.usps.com,/box/pages/secure/packageDashboardAction,(not set),26708938,18526931,6194690,1.4416277579918659,119.24229425117977,0.074308799444441173
tools.usps.com,/go/TrackConfirmAction_input,USPS.com® - USPS Tracking®,20278821,15515145,9229033,1.307033933617765,70.6922443662925,0.0963783451588754
radar.weather.gov,/,NWS Radar,16894398,4705117,2854187,3.5906437608246513,406.59559050753342,0.44850298090355672
www.nsopw.gov,/search-public-sex-offender-registries,"Search Public Sex Offender Registries | Dru Sjodin National Sex Offender Public Website",14066503,4228062,3639344,3.3269386778150367,142.96806032919184,0.10367965275816675
www.ssa.gov,/,"The United States Social Security Administration | SSA",13086700,10566086,7044829,1.2385570210198933,157.88302611753488,0.28733307678926712
reg.usps.com,/logout,USPS.com® - Sign Out,11335334,8473752,3855427,1.3376994039948302,330.84984770804937,0.044081063500560319
www.usajobs.gov,/,USAJOBS - The Federal Government's official employment site,10906903,8539481,4323294,1.2772325390735104,104.8443688001522,0.27518592757569227
www.myhealth.va.gov,/mhv-portal-web/home,Home - My HealtheVet - My HealtheVet,10322068,7137148,4297302,1.4462454750833247,88.834514964987335,0.46444462129691022
www.weather.gov,/,National Weather Service,10002463,8063546,2958830,1.2404546337306193,95.4129098102872,0.1788750259501217
www.va.gov,/,"VA.gov Home | Veterans Affairs",9772190,6488751,2950688,1.506020033747635,104.89983034434862,0.24594240093355407
