domain,page,page_title,pageviews
(other),(other),(other),142780119
tools.usps.com,/go/TrackConfirmAction,USPS.com® - USPS Tracking® Results,48970377
tools.usps.com,/go/TrackConfirmAction_input,USPS.com® - USPS Tracking® Results,47627913
www.time.gov,/,"National Institute of Standards and Technology | NIST",23683686
time.gov,/,"National Institute of Standards and Technology | NIST",21125997
informeddelivery.usps.com,/box/pages/secure/DashboardAction_input.action,Informed Delivery,17903572
reg.usps.com,/entreg/LoginAction_input,USPS.com® - Sign In,12736731
tools.usps.com,/go/TrackConfirmAction.action,USPS.com® - USPS Tracking® Results,10933484
www.usps.com,/,"Welcome | USPS",9429627
www.usps.com,/manage/informed-delivery.htm,"Informed Delivery - Mail & Package Notifications | USPS",9107381
informeddelivery.usps.com,/box/pages/secure/packageDashboardAction,(not set),8157293
reg.usps.com,/portal/login,USPS.com® - Sign In,7413088
tools.usps.com,/go/TrackConfirmAction_input,USPS.com® - USPS Tracking®,5780704
radar.weather.gov,/,NWS Radar,4095478
reg.usps.com,/logout,USPS.com® - Sign Out,2899535
www.weather.gov,/,National Weather Service,2717693
www.nsopw.gov,/search-public-sex-offender-registries,"Search Public Sex Offender Registries | Dru Sjodin National Sex Offender Public Website",2647256
www.ssa.gov,/,"The United States Social Security Administration | SSA",2587466
www.usajobs.gov,/,USAJOBS - The Federal Government's official employment site,2507104
informeddelivery.usps.com,/box/pages/secure/DashboardAction_input,Informed Delivery,2497339
