date,device,visits
2024-01-04,desktop,264450
2024-01-04,mobile,127191
2024-01-04,tablet,5747
2024-01-04,smart tv,11
2024-01-03,desktop,279307
2024-01-03,mobile,130235
2024-01-03,tablet,5901
2024-01-03,smart tv,22
2024-01-02,desktop,271229
2024-01-02,mobile,132189
2024-01-02,tablet,6291
2024-01-02,smart tv,16
2024-01-01,mobile,143057
2024-01-01,desktop,116596
2024-01-01,tablet,8206
2024-01-01,smart tv,9
2023-12-31,mobile,165003
2023-12-31,desktop,82102
2023-12-31,tablet,10217
2023-12-31,smart tv,17
2023-12-30,mobile,170987
2023-12-30,desktop,121994
2023-12-30,tablet,10280
2023-12-30,smart tv,18
2023-12-29,mobile,190008
2023-12-29,desktop,182274
2023-12-29,tablet,10103
2023-12-29,smart tv,26
2023-12-28,desktop,206301
2023-12-28,mobile,191351
2023-12-28,tablet,10144
2023-12-28,smart tv,27
2023-12-27,desktop,211425
2023-12-27,mobile,205988
2023-12-27,tablet,10448
2023-12-27,smart tv,25
2023-12-26,mobile,188340
2023-12-26,desktop,175688
2023-12-26,tablet,10273
2023-12-26,smart tv,10
2023-12-25,mobile,153158
2023-12-25,desktop,85532
2023-12-25,tablet,8473
2023-12-25,smart tv,27
2023-12-24,mobile,153252
2023-12-24,desktop,68965
2023-12-24,tablet,8403
2023-12-24,smart tv,14
2023-12-23,mobile,162782
2023-12-23,desktop,97974
2023-12-23,tablet,9044
2023-12-23,smart tv,16
2023-12-22,desktop,201931
2023-12-22,mobile,182512
2023-12-22,tablet,9492
2023-12-22,smart tv,15
2023-12-21,desktop,238724
2023-12-21,mobile,193939
2023-12-21,tablet,9724
2023-12-21,smart tv,18
2023-12-20,desktop,256304
2023-12-20,mobile,171538
2023-12-20,tablet,8644
2023-12-20,smart tv,21
2023-12-19,desktop,269018
2023-12-19,mobile,178678
2023-12-19,tablet,8792
2023-12-19,smart tv,22
2023-12-18,desktop,259247
2023-12-18,mobile,177375
2023-12-18,tablet,9330
2023-12-18,smart tv,13
2023-12-17,mobile,150473
2023-12-17,desktop,96907
2023-12-17,tablet,8374
2023-12-17,smart tv,15
2023-12-16,mobile,146010
2023-12-16,desktop,108571
2023-12-16,tablet,7845
2023-12-16,smart tv,19
2023-12-15,desktop,216208
2023-12-15,mobile,152353
2023-12-15,tablet,8278
2023-12-15,smart tv,15
2023-12-14,desktop,257696
2023-12-14,mobile,170022
2023-12-14,tablet,8870
2023-12-14,smart tv,13
2023-12-13,desktop,277810
2023-12-13,mobile,160161
2023-12-13,tablet,9682
2023-12-13,smart tv,10
2023-12-12,desktop,269661
2023-12-12,mobile,126696
2023-12-12,tablet,6428
2023-12-12,smart tv,13
2023-12-11,desktop,279586
2023-12-11,mobile,120897
2023-12-11,tablet,6072
2023-12-11,smart tv,14
2023-12-10,desktop,103336
2023-12-10,mobile,103059
2023-12-10,tablet,5073
2023-12-10,smart tv,13
2023-12-09,desktop,110138
2023-12-09,mobile,106317
2023-12-09,tablet,4955
2023-12-09,smart tv,19
2023-12-08,desktop,227444
2023-12-08,mobile,124505
2023-12-08,tablet,5723
2023-12-08,smart tv,14
2023-12-07,desktop,271988
2023-12-07,mobile,112425
2023-12-07,tablet,5712
2023-12-07,smart tv,12
2023-12-06,desktop,279703
2023-12-06,mobile,118336
2023-12-06,tablet,5739
2023-12-06,smart tv,11
