date,language,visits
2024-01-04,English,377301
2024-01-04,Spanish,5540
2024-01-04,Chinese,2863
2024-01-04,Japanese,1225
2024-01-04,French,1128
2024-01-04,Korean,1063
2024-01-04,German,888
2024-01-04,Portuguese,796
2024-01-04,Russian,781
2024-01-04,Turkish,368
2024-01-04,Italian,321
2024-01-04,Polish,320
2024-01-04,Dutch,215
2024-01-04,Persian,204
2024-01-04,Arabic,187
2024-01-04,Vietnamese,138
2024-01-04,Swedish,137
2024-01-04,Norwegian Bokmål,133
2024-01-04,Indonesian,110
2024-01-04,Ukrainian,104
2024-01-04,Hebrew,98
2024-01-04,Thai,89
2024-01-04,(other),84
2024-01-04,Greek,78
2024-01-04,Danish,77
2024-01-04,Czech,75
2024-01-04,Hungarian,65
2024-01-04,Romanian,54
2024-01-04,Finnish,52
2024-01-04,Slovak,30
2024-01-04,Serbian,28
2024-01-04,Bulgarian,27
2024-01-04,Croatian,21
2024-01-04,Slovenian,17
2024-01-04,Estonian,15
2024-01-04,Catalan,12
2024-01-04,Lithuanian,11
2024-01-03,English,398933
2024-01-03,Spanish,5524
2024-01-03,Chinese,2798
2024-01-03,Korean,1052
2024-01-03,French,1024
2024-01-03,German,893
2024-01-03,Japanese,873
2024-01-03,Portuguese,783
2024-01-03,Russian,690
2024-01-03,Turkish,413
2024-01-03,Polish,315
2024-01-03,Italian,273
2024-01-03,Dutch,236
2024-01-03,Persian,200
2024-01-03,Arabic,177
2024-01-03,Swedish,151
2024-01-03,Vietnamese,122
2024-01-03,Norwegian Bokmål,116
2024-01-03,Indonesian,105
2024-01-03,Danish,104
2024-01-03,Ukrainian,101
2024-01-03,Thai,100
2024-01-03,Greek,97
2024-01-03,Czech,96
2024-01-03,Finnish,84
2024-01-03,Hungarian,80
2024-01-03,Hebrew,74
2024-01-03,Romanian,45
2024-01-03,(other),44
2024-01-03,Bulgarian,33
2024-01-03,Slovak,26
2024-01-03,Slovenian,26
2024-01-03,Croatian,24
2024-01-03,Lithuanian,23
2024-01-03,Hindi,16
2024-01-03,Serbian,16
2024-01-03,Catalan,11
2024-01-02,English,385656
2024-01-02,Spanish,5687
2024-01-02,Chinese,2713
2024-01-02,Korean,1006
2024-01-02,French,929
2024-01-02,German,899
2024-01-02,Portuguese,730
2024-01-02,Russian,636
2024-01-02,Japanese,574
2024-01-02,Turkish,411
2024-01-02,Polish,305
2024-01-02,Italian,275
2024-01-02,Persian,226
2024-01-02,Dutch,216
2024-01-02,Arabic,205
2024-01-02,Vietnamese,188
2024-01-02,Swedish,163
2024-01-02,Ukrainian,117
2024-01-02,Indonesian,109
2024-01-02,Thai,105
2024-01-02,Norwegian Bokmål,94
2024-01-02,Czech,90
2024-01-02,Hebrew,90
2024-01-02,Hungarian,77
2024-01-02,Danish,76
2024-01-02,Greek,67
2024-01-02,(other),58
2024-01-02,Romanian,49
2024-01-02,Finnish,44
2024-01-02,Slovak,31
2024-01-02,Croatian,25
2024-01-02,Bulgarian,24
2024-01-02,Slovenian,15
2024-01-02,Lithuanian,14
2024-01-02,Estonian,13
2024-01-02,Catalan,12
2024-01-02,Latvian,11
2024-01-01,English,252096
2024-01-01,Spanish,13649
2024-01-01,Chinese,1882
2024-01-01,Korean,676
2024-01-01,French,577
2024-01-01,German,444
2024-01-01,Russian,433
2024-01-01,Portuguese,390
2024-01-01,Japanese,344
2024-01-01,Turkish,295
2024-01-01,Persian,236
2024-01-01,Arabic,208
2024-01-01,Polish,179
2024-01-01,Italian,158
2024-01-01,Vietnamese,143
2024-01-01,Dutch,122
2024-01-01,Swedish,101
2024-01-01,Hebrew,79
2024-01-01,Ukrainian,72
2024-01-01,Indonesian,67
2024-01-01,Hungarian,64
2024-01-01,Danish,56
2024-01-01,Thai,54
2024-01-01,Czech,48
2024-01-01,Finnish,48
2024-01-01,Norwegian Bokmål,43
2024-01-01,Romanian,40
2024-01-01,Greek,35
2024-01-01,(other),31
2024-01-01,Catalan,19
2024-01-01,Croatian,18
2024-01-01,Bulgarian,16
2024-01-01,Slovak,13
2024-01-01,Serbian,11
2023-12-31,English,233103
2023-12-31,Spanish,14262
2023-12-31,Chinese,1593
