date,os,visits
2024-01-04,Windows,204024
2024-01-04,iOS,85733
2024-01-04,Android,47140
2024-01-04,Macintosh,38589
2024-01-04,Linux,15938
2024-01-04,Chrome OS,4862
2024-01-04,(not set),2437
2024-01-03,Windows,219422
2024-01-03,iOS,87222
2024-01-03,Android,46779
2024-01-03,Macintosh,36401
2024-01-03,Linux,13119
2024-01-03,Chrome OS,4174
2024-01-03,(not set),2404
2024-01-02,Windows,212347
2024-01-02,iOS,88812
2024-01-02,Android,48654
2024-01-02,Macintosh,36714
2024-01-02,Linux,15336
2024-01-02,Chrome OS,3190
2024-01-02,(not set),2345
2024-01-01,iOS,91937
2024-01-01,Windows,73442
2024-01-01,Android,60296
2024-01-01,Macintosh,24023
2024-01-01,Linux,14042
2024-01-01,(not set),2243
2024-01-01,Chrome OS,1577
2023-12-31,iOS,106354
2023-12-31,Android,67200
2023-12-31,Windows,44681
2023-12-31,Macintosh,22964
2023-12-31,Linux,11569
2023-12-31,(not set),2113
2023-12-31,Chrome OS,1461
2023-12-30,iOS,110996
2023-12-30,Windows,82462
2023-12-30,Android,70070
2023-12-30,Macintosh,24666
2023-12-30,Linux,11602
2023-12-30,(not set),2323
2023-12-30,Chrome OS,1584
2023-12-29,Windows,133437
2023-12-29,iOS,125775
2023-12-29,Android,73578
2023-12-29,Macintosh,31580
2023-12-29,Linux,13453
2023-12-29,(not set),2398
2023-12-29,Chrome OS,1923
2023-12-28,Windows,155472
2023-12-28,iOS,125395
2023-12-28,Android,74618
2023-12-28,Macintosh,33504
2023-12-28,Linux,13312
2023-12-28,(not set),2406
2023-12-28,Chrome OS,2067
2023-12-27,Windows,158935
2023-12-27,iOS,137839
2023-12-27,Android,78038
2023-12-27,Macintosh,32955
2023-12-27,Linux,13309
2023-12-27,(not set),2377
2023-12-27,Chrome OS,2182
2023-12-26,Windows,130538
2023-12-26,iOS,124805
2023-12-26,Android,73378
2023-12-26,Macintosh,29649
2023-12-26,Linux,13522
2023-12-26,(not set),2302
2023-12-26,Chrome OS,2009
2023-12-25,iOS,98800
2023-12-25,Android,64836
2023-12-25,Windows,51048
2023-12-25,Macintosh,18067
2023-12-25,Linux,14080
2023-12-25,(not set),2037
2023-12-25,Chrome OS,1066
2023-12-24,iOS,96822
2023-12-24,Android,62757
2023-12-24,Windows,34127
2023-12-24,Macintosh,18895
2023-12-24,Linux,13481
2023-12-24,(not set),2118
2023-12-24,Chrome OS,1033
2023-12-23,iOS,108628
2023-12-23,Android,66549
2023-12-23,Windows,59459
2023-12-23,Macintosh,21649
2023-12-23,Linux,14769
2023-12-23,(not set),2246
2023-12-23,Chrome OS,1260
2023-12-22,Windows,152592
2023-12-22,iOS,122371
2023-12-22,Android,69968
2023-12-22,Macintosh,31025
2023-12-22,Linux,13683
2023-12-22,Chrome OS,2262
2023-12-22,(not set),2204
2023-12-21,Windows,188559
2023-12-21,iOS,130405
2023-12-21,Android,70148
2023-12-21,Macintosh,35976
2023-12-21,Linux,14255
2023-12-21,Chrome OS,3371
2023-12-21,(not set),2281
2023-12-20,Windows,202356
2023-12-20,iOS,116235
2023-12-20,Android,65633
2023-12-20,Macintosh,37223
2023-12-20,Linux,13622
2023-12-20,Chrome OS,4292
2023-12-20,(not set),2300
2023-12-19,Windows,212599
2023-12-19,iOS,118826
2023-12-19,Android,70369
2023-12-19,Macintosh,38837
2023-12-19,Linux,13572
2023-12-19,Chrome OS,4914
2023-12-19,(not set),1681
2023-12-18,Windows,197523
2023-12-18,iOS,117913
2023-12-18,Android,72280
2023-12-18,Macintosh,39166
2023-12-18,Linux,13318
2023-12-18,Chrome OS,5372
2023-12-18,(not set),1476
2023-12-17,iOS,101610
2023-12-17,Android,56804
2023-12-17,Windows,55214
2023-12-17,Macintosh,25424
2023-12-17,Linux,13338
2023-12-17,Chrome OS,1986
2023-12-17,(not set),1295
2023-12-16,iOS,98640
2023-12-16,Windows,69467
2023-12-16,Android,54666
2023-12-16,Macintosh,22861
2023-12-16,Linux,12350
2023-12-16,Chrome OS,1577
2023-12-16,(not set),1312
2023-12-15,Windows,163677
2023-12-15,iOS,102378
2023-12-15,Android,59106
2023-12-15,Macintosh,31625
2023-12-15,Linux,14265
2023-12-15,Chrome OS,5368
2023-12-15,(not set),1386
2023-12-14,Windows,193082
2023-12-14,iOS,118123
2023-12-14,Android,64536
2023-12-14,Macintosh,38585
2023-12-14,Linux,14954
2023-12-14,Chrome OS,6327
2023-12-14,(not set),1322
2023-12-13,Windows,218154
2023-12-13,iOS,110449
2023-12-13,Android,59199
2023-12-13,Macintosh,40465
2023-12-13,Linux,15342
2023-12-13,Chrome OS,6289
2023-12-13,(not set),1100
2023-12-12,Windows,212183
2023-12-12,iOS,84082
2023-12-12,Android,49820
2023-12-12,Macintosh,37508
2023-12-12,Linux,13658
2023-12-12,Chrome OS,6605
2023-12-12,(not set),967
2023-12-11,Windows,218428
2023-12-11,iOS,80793
2023-12-11,Android,48433
2023-12-11,Macintosh,38913
2023-12-11,Linux,13794
2023-12-11,Chrome OS,6795
2023-12-11,(not set),964
2023-12-10,iOS,67919
2023-12-10,Windows,60777
2023-12-10,Android,39816
2023-12-10,Macintosh,24108
2023-12-10,Linux,14642
2023-12-10,Chrome OS,2123
2023-12-10,(not set),970
2023-12-09,Windows,69954
2023-12-09,iOS,69862
2023-12-09,Android,41308
2023-12-09,Macintosh,23075
2023-12-09,Linux,13798
2023-12-09,Chrome OS,1802
2023-12-09,(not set),984
2023-12-08,Windows,172606
2023-12-08,iOS,83790
2023-12-08,Android,45278
2023-12-08,Macintosh,35390
2023-12-08,Linux,12598
2023-12-08,Chrome OS,6155
2023-12-08,(not set),1032
2023-12-07,Windows,214272
2023-12-07,iOS,76665
2023-12-07,Android,42848
2023-12-07,Macintosh,36479
2023-12-07,Linux,13686
2023-12-07,Chrome OS,6960
2023-12-07,(not set),978
2023-12-06,Windows,220876
2023-12-06,iOS,77794
2023-12-06,Android,45850
2023-12-06,Macintosh,39105
2023-12-06,Linux,12322
2023-12-06,Chrome OS,7072
2023-12-06,(not set),950
2023-12-05,Windows,240939
2023-12-05,iOS,81700
2023-12-05,Android,47067
2023-12-05,Macintosh,38576
2023-12-05,Linux,18920
2023-12-05,Chrome OS,7092
2023-12-05,(not set),961
2023-12-04,Windows,217630
2023-12-04,iOS,81205
2023-12-04,Android,47422
2023-12-04,Macintosh,40687
2023-12-04,Linux,14868
2023-12-04,Chrome OS,7180
2023-12-04,(not set),1048
2023-12-03,iOS,63757
2023-12-03,Windows,62050
2023-12-03,Android,39959
2023-12-03,Macintosh,25501
2023-12-03,Linux,12613
2023-12-03,Chrome OS,2307
2023-12-03,(not set),952
2023-12-02,Windows,72462
2023-12-02,iOS,67214
2023-12-02,Android,39935
2023-12-02,Macintosh,22754
2023-12-02,Linux,12222
2023-12-02,Chrome OS,1733
2023-12-02,(not set),990
2023-12-01,Windows,177270
2023-12-01,iOS,77615
2023-12-01,Android,41250
2023-12-01,Macintosh,31748
2023-12-01,Linux,13469
2023-12-01,Chrome OS,6114
2023-12-01,(not set),1068
2023-11-30,Windows,218620
2023-11-30,iOS,84739
2023-11-30,Android,44471
2023-11-30,Macintosh,38826
2023-11-30,Linux,13155
2023-11-30,Chrome OS,7428
2023-11-30,(not set),1053
2023-11-29,Windows,224928
2023-11-29,iOS,83847
2023-11-29,Android,47062
2023-11-29,Macintosh,40732
2023-11-29,Linux,12685
2023-11-29,Chrome OS,7078
2023-11-29,(not set),1153
2023-11-28,Windows,248834
2023-11-28,iOS,84438
2023-11-28,Android,51049
2023-11-28,Macintosh,41830
2023-11-28,Linux,12653
2023-11-28,Chrome OS,6766
2023-11-28,(not set),1002
2023-11-27,Windows,223352
2023-11-27,iOS,88060
2023-11-27,Android,51965
2023-11-27,Macintosh,41776
2023-11-27,Linux,12780
2023-11-27,Chrome OS,6487
2023-11-27,(not set),973
2023-11-26,iOS,71532
2023-11-26,Windows,60375
2023-11-26,Android,42661
2023-11-26,Macintosh,25819
2023-11-26,Linux,11772
2023-11-26,Chrome OS,1947
2023-11-26,(not set),949
2023-11-25,iOS,66451
2023-11-25,Windows,63424
2023-11-25,Android,42399
2023-11-25,Macintosh,20315
2023-11-25,Linux,11413
2023-11-25,Chrome OS,1476
2023-11-25,(not set),954
2023-11-24,Windows,90494
2023-11-24,iOS,65700
2023-11-24,Android,40548
2023-11-24,Macintosh,22114
2023-11-24,Linux,11708
2023-11-24,Chrome OS,1511
2023-11-24,(not set),879
2023-11-23,Windows,61603
2023-11-23,iOS,57344
2023-11-23,Android,34207
2023-11-23,Macintosh,16846
2023-11-23,Linux,11596
2023-11-23,Chrome OS,1222
2023-11-23,(not set),684
2023-11-22,Windows,144003
2023-11-22,iOS,76516
2023-11-22,Android,43705
2023-11-22,Macintosh,27270
2023-11-22,Linux,11828
2023-11-22,Chrome OS,2244
2023-11-22,(not set),660
2023-11-21,Windows,199195
2023-11-21,iOS,85527
2023-11-21,Android,47988
2023-11-21,Macintosh,34408
2023-11-21,Linux,12668
2023-11-21,Chrome OS,4129
2023-11-21,(not set),715
2023-11-20,Windows,204503
2023-11-20,iOS,89585
2023-11-20,Android,51977
2023-11-20,Macintosh,37553
2023-11-20,Linux,12823
2023-11-20,Chrome OS,5080
2023-11-20,(not set),532
2023-11-19,iOS,72421
2023-11-19,Windows,57373
2023-11-19,Android,43061
2023-11-19,Macintosh,24260
2023-11-19,Linux,14343
2023-11-19,Chrome OS,1858
2023-11-19,(not set),168
2023-11-18,iOS,76668
2023-11-18,Windows,73927
2023-11-18,Android,45322
2023-11-18,Macintosh,21134
2023-11-18,Linux,14232
2023-11-18,Chrome OS,1641
2023-11-18,(not set),201
2023-11-17,Windows,174025
2023-11-17,iOS,85295
2023-11-17,Android,48275
2023-11-17,Macintosh,31863
2023-11-17,Linux,12189
2023-11-17,Chrome OS,5319
2023-11-17,(not set),175
2023-11-16,Windows,198079
2023-11-16,iOS,86496
2023-11-16,Android,44089
2023-11-16,Macintosh,35920
2023-11-16,Linux,12595
2023-11-16,Chrome OS,6762
2023-11-16,(not set),272
2023-11-15,Windows,210585
2023-11-15,iOS,94301
2023-11-15,Android,47265
2023-11-15,Macintosh,38593
2023-11-15,Linux,12665
