date,screen_resolution,visits
2024-01-04,1920x1080,106328
2024-01-04,390x844,24051
2024-01-04,1536x864,23549
2024-01-04,1440x900,15214
2024-01-04,1280x720,14425
2024-01-04,428x926,12737
2024-01-04,1366x768,12499
2024-01-04,430x932,11737
2024-01-04,393x852,9626
2024-01-04,414x896,9149
2024-01-04,800x600,9044
2024-01-04,375x812,8179
2024-01-04,2560x1440,7672
2024-01-04,1680x1050,6686
2024-01-04,1280x1024,6514
2024-01-04,1920x1200,5127
2024-01-04,1600x900,5113
2024-01-04,412x915,5008
2024-01-04,360x800,3822
2024-01-04,375x667,3798
2024-01-04,1280x800,3440
2024-01-04,412x812,3409
2024-01-04,1280x960,3243
2024-01-04,810x1080,3072
2024-01-04,360x780,3038
2024-01-04,1220x1280,2437
2024-01-04,1536x960,2394
2024-01-04,3440x1440,2289
2024-01-04,384x824,2283
2024-01-04,768x1024,2191
2024-01-04,412x892,2106
2024-01-04,820x1180,2011
2024-01-04,412x883,1825
2024-01-04,320x693,1755
2024-01-04,2048x1152,1733
2024-01-04,1024x1366,1726
2024-01-04,834x1194,1657
2024-01-04,384x854,1547
2024-01-04,1512x982,1479
2024-01-04,384x832,1388
2024-01-04,2560x1080,1381
2024-01-04,1470x956,1364
2024-01-04,385x854,1297
2024-01-04,1728x1117,1216
2024-01-04,384x857,1159
2024-01-04,412x869,1045
2024-01-03,1920x1080,109439
2024-01-03,390x844,24452
2024-01-03,1536x864,24344
2024-01-03,1440x900,15151
2024-01-03,1280x720,14055
2024-01-03,428x926,13422
2024-01-03,1366x768,12000
2024-01-03,430x932,11995
2024-01-03,414x896,9761
2024-01-03,1280x960,9633
2024-01-03,393x852,9112
2024-01-03,375x812,7918
2024-01-03,2560x1440,7746
2024-01-03,1680x1050,6875
2024-01-03,1280x1024,6329
2024-01-03,1600x900,5425
2024-01-03,800x600,5307
2024-01-03,1920x1200,5255
2024-01-03,412x915,5211
2024-01-03,375x667,3961
2024-01-03,360x800,3891
2024-01-03,412x812,3738
2024-01-03,1280x800,3336
2024-01-03,360x780,3202
2024-01-03,810x1080,3076
2024-01-03,3440x1440,2444
2024-01-03,1220x1280,2389
2024-01-03,1536x960,2347
2024-01-03,768x1024,2294
2024-01-03,384x824,2256
2024-01-03,820x1180,2147
2024-01-03,412x892,2086
2024-01-03,412x883,1867
2024-01-03,320x693,1859
2024-01-03,2048x1152,1822
2024-01-03,1024x1366,1749
2024-01-03,384x854,1709
2024-01-03,834x1194,1694
2024-01-03,1512x982,1504
2024-01-03,384x832,1442
2024-01-03,385x854,1432
2024-01-03,1470x956,1389
2024-01-03,2560x1080,1328
2024-01-03,384x857,1243
2024-01-03,1728x1117,1224
2024-01-03,412x869,1116
2024-01-02,1920x1080,109830
2024-01-02,1536x864,25808
2024-01-02,390x844,24471
2024-01-02,1440x900,14850
2024-01-02,1280x720,13108
2024-01-02,428x926,12778
2024-01-02,430x932,11967
