exit_page,visits,pageviews,users,pageviews_per_session,avg_session_duration,exits
nhtsa.gov/recalls,1421795,1960690,914551,1.3790244022520828,74.2562865954656,1421795
faa.gov/,385737,512394,276868,1.3283506637942433,55.22844839877948,385737
portal.fmcsa.dot.gov/wps/myportal/enforcement/e/home/!ut/p/z1/hy7lcsiweew_pytum2o0etwvheapichys5fu27ssjiwn_x7jy9nqrozxzmvaqahcylfv0rfwsb3ms1hfcs4ozyzu8lhd4d60pogcrijc6r8gwhlnkn354o3mjrzof_irkyfq2pafd1ntlpkc4aq6cpujdxfwjff9sikxxt46lzwpu-sgyc16ouwyo7aqnvn2ywcpxzqefvfgpdfjnkbre-gvjci!/dz/d5/l2dbisevz0fbis9nqseh/,372501,408001,307763,1.0953017575791744,31.951243083911184,372501
nhtsa.gov/campaign/right-seat,366512,467061,273067,1.2743402671672415,21.239678373422972,366512
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_carrlist,233615,1646669,108356,7.0486441367206725,357.3645570703936,233615
nhtsa.gov/vin-decoder,192316,211257,165117,1.098488945277564,33.81251169949458,192316
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_getdetail,169499,1200717,61605,7.083917899220644,365.65697732729984,169499
nhtsa.gov/campaign/heatstroke,156126,161794,146226,1.0363040108630208,6.497213788862841,156126
nationalregistry.fmcsa.dot.gov/home,150072,186439,65716,1.2423303480995789,67.71149848072925,150072
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_activeinsurance,136143,1246922,37740,9.158913789177555,470.7504682576409,136143
transportation.gov/,112307,323593,103029,2.8813252958408646,46.52697516628527,112307
fmcsa.dot.gov/,112241,224567,88740,2.0007572990262026,113.57963667465543,112241
nhtsa.gov/equipment/car-seats-and-booster-seats,74718,103948,63454,1.391204261356032,50.57891003506518,74718
nhtsa.gov/,74177,124010,63502,1.6718120172020976,75.8712404114483,74177
fmcsa.dot.gov/registration/ask-fmcsa,63765,184426,30877,2.8922763271387124,249.1254449933349,63765
nhtsa.gov/search-safety-issues,61834,112154,58784,1.8137917650483553,51.946081443865836,61834
faa.gov/uas/commercial_operators/become_a_drone_pilot,57558,94922,43459,1.64915389693874,151.33507071128253,57558
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_authorityhistory,55909,441780,16514,7.901768945965766,418.9355738789819,55909
transportation.gov/individuals/aviation-consumer-protection/bumping-oversales,54304,123510,42490,2.2744180907483793,52.73118002357101,54304
li-public.fmcsa.dot.gov/liview/pkg_carrquery.prc_insurancehistory,51588,499131,20385,9.67533147243545,464.6908389547957,51588
